Contact,Fonction,Sigle structure
Pierre Barré,DIR,LG-ENS
Nikola Besic,CR,LIF
Antonio Bispo,DIR,Info&Sols
Line Boulonne,INGE,Info&Sols
Elisa Bruni,POSTDOC,LG-ENS
Rémi Cardinael,DIR,AIDA
Youssef Chatty,POSTDOC,Info&Sols
Claire Chenu,DIR,ECOSYS
Tiphaine Chevallier,DIR,Eco&Sols
Moussa Mory Diédhiou,CR,Eco&Sols
Alexandre Eymard,INGE,Eco&Sols
Fabien Ferchaud,INGE,Eco&Sols
Bertrand Guenet,DIR,LG-ENS
Issiakou Alladé Houssoukpèvi,DOC,Info&Sols
Léa Husson,INGE,Info&Sols
Kenji Fujisaki,INGE,Info&Sols
Fabrice Jégou,DIR,LPC2E
Lydie Lardy,DIR,Eco&Sols
Julia Le Noë,CR,iEES
Raia silvia Massad,CR,ECOSYS
Florian Mezerette,DOC,BEF
Philippe Peylin,DIR,LSCE
Christian Pichot,CR,URFM
Renaud Pouysegur,INGE,Info&Sols
Laurent Saint-André,DIR,BEF
Vincent Blanfort,CR,SELMET
Antoine Versini,DIR,Recyclage&Risques
Annemiek Stegehuis,POSTDOC,LG-ENS
Alyssa Clavreul,INGE,EMMAH
Eric Ceschia,DIR,CESBIO
Benjamin Loubet,DIR,ECOSYS
Isabelle Cousin,DIR,Info&Sols
Gwenaëlle Lashermes,DIR,FARE
François Lebourgeois,PROFESSEUR,SILVA
Emmanuel Tillard,CR,SELMET
Aurélie Cambou,INGE,Eco&Sols
Cécile Gomez,DIR,LISAH
François Baudin,PROFESSEUR,iSTeP
Frédéric Frappart,DIR,ISPA
Agnès Grossel,INGE,Info&Sols
Bruna Winck,POSTDOC,UREP
Israël Kpemoua,CR,BEF
Olivier Darsonville,CR,UREP
Sylvie Assagba,DOC,UREP
Joséphine Hazera,POSTDOC,METIS
Kristoffel Jacobs,INGE,ELI
Amaël Le Squin,POSTDOC,LIF
Marie Ruille,POSTDOC,AIDA
Laurent Thuries,CR,Recyclage&Risques
Julie-Maï Paris,DOC,LG-ENS
Yanis Hemeray,INGE,LG-ENS
Marija Stojanova,POSTDOC,LG-ENS
Elie Le Guyader,POSTDOC,FARE
Agathe Souiry,INGE,FARE
Alassane Bah,PROFESSEUR,UMMISCO
Alexis Drogoul,DIR,UMMISCO
Antonello Lobianco,INGE,BETA
Arthur Lenoir,POSTDOC,LAE
Baptiste Lesquoy,INGE,UMMISCO
Benoit Gaudou,PROFESSEUR,IRIT
Bernard Kurek,DIR,FARE
Céline Pelosi,DIR,EMMAH
Christine Delire,CR,CNRM
Clémence Ravier,POSTDOC,LAE
Cyprien Drommi,DOC,LIED
Dominique Courault,DIR,EMMAH
Dominique Masse,DIR,Eco&Sols
Eléonore Loiseau,CR,ITAP
Fabien Michel,MAITRE_DE_CONF,LIRMM
Florian Goutieras,DOC,IATE
Frédéric Do,CR,Eco&Sols
Gabin Guillemaud,DOC,ITAP
Hadrien Delattre,INGE,LAE
Hélène Raynal,INGE,AGIR
Hugo Senges,INGE,AGIR
Hugues Clivot,INGE,FARE
Jean-Christophe Soulié,DIR,Recyclage&Risques
Jean-Denis Mathias,CR,LISC
Jean-Luc Chotte,DIR,UMMISCO
Jean-Marc Blazy,DIR,ASTRO
Jérémy Pantet,POSTDOC,SMART-LERECO
Jonathan Vayssières,CR,SELMET
Julia Le Noë,DIR,iEES
Julie Auberger,INGE,SAS
Julie Constantin,CR,AGIR
Julie Jimenez,CR,LBE
Kevin Bertin,POSTDOC,TBI
Laurent Saint-André,DIR,BEF
Laurent Thuries,CR,Recyclage&Risques
Lorie Hamelin,DIR,TBI
Ludovic Harter,DOC,iEES
Mame Diarra Diouf,DOC,UMMISCO
Manon Dardonville,CR,LAE
Marc Girard,CR,BEF
Mélanie Munch,INGE,STLO
Oliver Frings,DOC,BETA
Olivier Therond,DIR,LAE
Patrice Buche,DIR,IATE
Petros Chatzimpiros,PROFESSEUR,LIED
Pierre Thiriet,INGE,OPAALE
Sandrine Allain,CR,LESSEM
Simon Charriere,INGE,EMMAH
Suzon Garnier,DOC,ASTRO
Thomas Houet,DIR,LETG
Timothée Fouqueray,CR,LETG
Tiziano Maisonhaute,DOC,Recyclage&Risques
Ugo Javourez,POSTDOC,LAE
Wafa Malik,CR,Recyclage&Risques
Wasim Ahmed,POSTDOC,LBE
Laure Gandois,DIR,CRBE
Camille Bouchez,CR,Geosciences Rennes
Julien Bouchez,CR,IPGP
Eric Chaumillon,PROFESSEUR,LIENSs
Eliot Chatton,INGE,Geosciences Rennes
Christine Dupuy,PROFESSEUR,LIENSs
Yoann Copard,PROFESSEUR,M2C
Camille Crapart,POSTDOC,IGE
Sophie Darfeuil,INGE,IGE
Clément Fabre,POSTDOC,CRBE
Josette Garnier,DIR,METIS
Sébastien Gogo,MAITRE_DE_CONF,ISTO
Sophie Guillon,CR,Geosciences Fontainebleau
Adrien Jacotot,CR,CARBOFLUX
Didier Jezequel,MAITRE_DE_CONF,CARRTEL
Line Jourdain,MAITRE_DE_CONF,ISTO
Viet Tran-Khac,INGE,CARRTEL
Wolfgang Ludwig,MAITRE_DE_CONF,CEFREM
Jeremy Mayen,DOC,LERPC
Edouard Metzger,PROFESSEUR,LPG
Jean-Sébastien Moquet,POSTDOC,ISTO
Julien Némery,PROFESSEUR,IGE
Pierre Polsenaere,CR,LERPC
Cristina Ribaudo,MAITRE_DE_CONF,EPOC
Philippe Rosa,INGE,ISOMer
Nicolas Savoye,PROFESSEUR,EPOC
Vincent Thieu,MAITRE_DE_CONF,METIS
Delphine Tisserand,INGE,ISTERRE
Claire Verin,INGE,IGE
Marine Afonso,INGE,LIENSs
Hélène Masclaux,MAITRE_DE_CONF,LCE
Vona Méléder,PROFESSEUR,ISOMer
Laurent Millet,DIR,LCE
Roxane Ory,INGE,BOREA
Hajar Saad Elimanni,POSTDOC,ISOMer
Matthieu Gilles,DOC,IGE
Lise Pinault,POSTDOC,LCE
Noémie Poteaux,DOC,LCE
Gwenaël Abril,DIR,BOREA
Daniel Gilbert,PROFESSEUR,LCE
Florent Arthaud,MAITRE_DE_CONF,CARRTEL
 Guillaume Bertrand,MAITRE_DE_CONF,LCE
Romain Biron,INGE,IGE
Laurie Boithas,MAITRE_DE_CONF,GET
Sylvain Campillo,INGE,ISTERRE
Jean-Christophe Clément,PROFESSEUR,CARRTEL
Frédéric Darboux,DIR,IGE
Sarah Coffinet,MAITRE_DE_CONF,ECOBIO
Nicolas Flipo,MAITRE_DE_CONF,METIS
Cédric Legout,MAITRE_DE_CONF,IGE
Christophe Mavon,INGE,LCE
Florentina Moatar,MAITRE_DE_CONF,RiverLy
Guillaume Nord,INGE,IGE
Serena Rasconi,CR,CARRTEL
José-Miguel Sanchez-Perez,DIR,CRBE
Sabine Sauvage,INGE,CRBE
Caroline Lebouteiller,INGE,IGE
Benjamin Amann,POSTDOC,LIENSs
Fanny Colas,MAITRE_DE_CONF,LEHNA
Etienne Dambrine,DIR,CARRTEL
Isabelle Domaizon,DIR,CARRTEL
Julien Fouché,MAITRE_DE_CONF,LISAH
David Gateuille,PROFESSEUR,EDYTEM
Roberto Grilli,CR,IGE
Stephane Guedron,CR,ISTERRE
Jérôme Poulenard,PROFESSEUR,EDYTEM
Damien Raclot,DIR,LISAH
Mélanie Raimonet,CR,LEMAR
Jean-Philippe Jenny,DIR,CARRTEL
Yann Nouvellon,DIR,Eco&Sols
Lionel Alletto,DIR,AGIR
Pascal Jouquet,DIR,iEES
Mathilde Sester,CR,AIDA
