Contact,ORCID,Nombre_publis
Jérôme Demarty,0000-0001-5173-9030,151.0
Jean-Philippe Jenny,0000-0002-2740-174X,17.0
Jean-Martial Cohard,0000-0001-8418-8888,45.0
Léna Collet,0009-0004-6092-7534,0.0
Lionel Jarlan,0000-0002-6542-5793,132.0
Valérie Le Dantec,0000-0002-8744-9024,4.0
Olivier Roupsard,0000-0002-1319-142X,0.0
Yann Nouvellon,0000-0003-1920-3847,140.0
Vincent Blanfort,0000-0002-9280-9119,22.0
Laurent Kergoat,0000-0003-1792-8473,0.0
Chloé Ollivier,0000-0003-0526-0488,8.0
Pierre Barré,0000-0002-0822-0556,55.0
Nikola Besic,0000-0002-2597-4042,64.0
Antonio Bispo,0000-0002-6985-8385,158.0
Line Boulonne,0000-0002-5789-6691,49.0
Elisa Bruni,0000-0001-5820-1153,4.0
Rémi Cardinael,0000-0002-9924-3269,58.0
Youssef Chatty,,
Claire Chenu,0000-0001-9054-0489,42.0
Tiphaine Chevallier,0000-0001-8285-3856,76.0
Moussa Mory Diédhiou,0009-0008-6233-0626,0.0
Alexandre Eymard,0009-0007-3908-970X,1.0
Fabien Ferchaud,0000-0002-2078-3570,47.0
Bertrand Guenet,0000-0002-4311-8645,222.0
Issiakou Alladé Houssoukpèvi,0000-0002-9810-2114,8.0
Léa Husson,,
Kenji Fujisaki,0000-0001-5067-2567,13.0
Fabrice Jégou,0000-0003-3527-1399,71.0
Lydie Lardy,0000-0003-0393-3239,78.0
Julia Le Noë,0000-0001-8816-5800,46.0
Raia silvia Massad,0000-0002-1296-1744,69.0
Florian Mezerette,0009-0005-4494-0584,0.0
Philippe Peylin,0000-0001-9335-6994,119.0
Christian Pichot,0000-0003-1636-9438,9.0
Renaud Pouysegur,0009-0005-6175-0598,0.0
Laurent Saint-André,0000-0002-3089-416X,289.0
Vincent Blanfort,0000-0002-9280-9119,22.0
Antoine Versini,0000-0001-9799-2701,10.0
Annemiek Stegehuis,,
Alyssa Clavreul,0000-0003-1758-6661,0.0
Manon Boulay,,
Olivia Desgué-Itier,,
Edward Duarte,0000-0001-8788-909X,5.0
Valentin Essert,0000-0002-3197-7397,6.0
Ronny Lauerwald,0000-0001-5554-0897,110.0
Théo Mazure,0009-0001-0098-2855,8.0
Viet Tran-Khac,0009-0009-2450-3925,0.0
Justine Frison,,
Didier Jezequel,0000-0002-1983-9899,0.0
Hélène Masclaux,0000-0002-5869-8419,18.0
Laurent Millet,0000-0003-2050-206X,65.0
Jérôme Gaillardet,0000-0001-7982-1159,0.0
Fabien Arnaud,0000-0002-8706-9902,123.0
David Gateuille,0000-0002-3351-7458,12.0
Etienne Dambrine,0000-0001-8982-6340,0.0
David Etienne,0000-0003-1139-8678,0.0
Florence Mazier,0000-0003-2643-0925,54.0
Isabelle Domaizon,0000-0001-9785-3082,134.0
Julien Azuara,0000-0002-3533-3281,0.0
Laurent Marquer,0000-0002-5772-3782,65.0
Mathieu Dellinger,0000-0002-1770-4333,32.0
Nuno Carvalhais,0000-0003-0465-1436,142.0
Patrick Durand,0000-0002-5597-4457,8.0
Philippe Ciais,0000-0001-8560-4943,1.0
Yves Prairie,0000-0003-1210-992X,139.0
Pierre Sabatier,0000-0002-2734-1791,36.0
Valérie Verneaux,,
Ahmed-Adam Ali,0000-0002-6927-6633,8.0
Anaëlle Simonneau,0000-0001-6194-4812,34.0
Charline Giguet-Covex,0000-0002-5141-4815,37.0
Emilie Lyautey,0000-0003-0754-197X,44.0
Erwan Messager,0000-0001-5192-9088,57.0
Georges-Marie Saulnier,0000-0002-9130-7002,128.0
Jérôme Poulenard,0000-0003-0810-0308,312.0
Pierre Regnier,0000-0002-3241-3235,16.0
Vincent Chanudet,0000-0001-5980-5426,0.0
Fanny Colas,0000-0002-5485-6715,23.0
Aliénor Allain,0000-0002-5786-8754,5.0
Christine Delire,0000-0002-6114-3211,86.0
Lucie Germain,0009-0007-9644-3998,3.0
Maialen Barret,0000-0003-1583-4502,0.0
Julien Fouché,0000-0002-3943-3001,16.0
Laure Gandois,0000-0002-9326-6830,32.0
Olivier Thérond,0000-0003-0191-3509,41.0
Baptiste Lesquoy,,
Wafa Malik,0000-0002-3581-9652,1.0
Florian Goutieras,,
Julie Jimenez,0000-0002-6802-4696,22.0
Jonathan Vayssières,0000-0003-3127-7208,0.0
Jérémy Pantet,0009-0001-1771-8591,0.0
Tiziano Maisonhaute,0009-0005-1544-9454,0.0
Michelle Malara,,
Agathe Souiry,,
Marc Girard,0000-0001-7215-5237,3.0
Sandrine Allain,0000-0002-2868-8711,6.0
Thomas Houet,0000-0001-5890-6145,81.0
Jean-Luc Chotte,0000-0003-0633-0898,9.0
