Acronyme PEPR,Acronyme projet,Acronyme unité,Type_Data,Source de l'information,Code RNSR,Type structure,Libellé structure,Sigle structure,Lien établissement,Adresse,Latitude,Longitude,Mail,Domaines scientifiques,Discipline ERC,Responsable
FairCarboN,ALAMOD,Aïda,Labo,email Pierre Barre 11/07/2024,201421281A,Unité propre,Agro-écologie et Intensification Durable des cultures Annuelles,AIDA,CIRAD-tutelle (UPR 115),Avenue Agropolis-34398-Montpellier Cedex 5,43.64494300143383,3.869559219046218,diraida@cirad.fr,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards","M. Gerardeaux EDWARD (Directeur adjoint),
M. Krishna NAUDIN (Directeur)"
FairCarboN,ALAMOD,BEF,Labo,email Pierre Barre 11/07/2024,200117918B,Unité propre,Biogéochimie des Ecosystèmes Forestiers,BEF,INRAE-tutelle (UR 1138),INRA Champenoux-54280-Champenoux,48.744439,6.348987,,10-Sciences agronomiques et écologiques,,"M. Bernhard ZELLER (Directeur),
M. Arnaud LEGOUT (Directeur adjoint)"
FairCarboN,ALAMOD,BioEcoAgro,Labo,email Pierre Barre 11/07/2024,202023591K,Unité mixte,UMR 1158 - BioEcoAgro - UMR Transfrontalière BioEcoAgro,BioEcoAgro,"INRAE-tutelle (UMR 1158),
ARTOIS-participant ( ),
LILLE-tutelle (UMR 1158),
JUNIA-tutelle ( ),
AMIENS-tutelle (UMR 1158),
LITTORAL-participant ( )",Cité Scientifique - Bâtiment Polytech - Aile C-59650-Villeneuve d'Ascq,49.6100251,3.6639052,,10-Sciences agronomiques et écologiques                                                                8-Sciences pour l'ingénieur,"LS3-Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,
LS2-Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
PE8-Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,
LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling",
FairCarboN,ALAMOD,BIOGECO,Labo,email Pierre Barre 11/07/2024,200317684N,Unité mixte,"Biodiversité, Gènes et Communautés",BIOGECO,"BORDEAUX-tutelle (UMR_A 1202),
INRAE-tutelle (UMR 1202)",69  route d'Arcachon-33612-Cestas,44.736162,-0.773948,christophe.plomion@inrae.fr,"3-Sciences de la terre et de l'univers, espace                                                        5-Biologie, médecine et santé                                                                         10-Sciences agronomiques et écologiques","LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","M. Virgil FIEVET (Dir adjoint),
M. Christophe PLOMION (DR),
Mme Myriam HEUERTZ (Dir adjoint),
M. Frédéric REVERS (Dir adjoint)"
FairCarboN,ALAMOD,CESBIO,Labo,email Pierre Barre 11/07/2024,200317531X,Unité mixte,Centre d'études spatiales de la biosphère,CESBIO,"CNES-tutelle (UMR 5126),
CNRS-tutelle (UMR 5126),
INRAE-participant (USC 1439),
TOULOUSE 3-tutelle (UMR 5126),
IRD-tutelle (UMR 113)",18 avenue Edouard Belin 31401 TOULOUSE CEDEX 9,43.5618099,1.4817304,direction@cesbio.cnes.fr,"9-Sciences et technologies de l'information et de la communication                                    3-Sciences de la terre et de l'univers, espace                                                        10-Sciences agronomiques et écologiques",,
FairCarboN,ALAMOD,Eco&Sols,Labo,email Pierre Barre 11/07/2024,199917859W,Unité mixte,Ecologie Fonctionnelle et Biogéochimie des Sols et Agrosystèmes,Eco&Sols,"CIRAD-tutelle (UMR 111),
Institut Agro-tutelle ( ),
INRAE-tutelle (UMR 1222),
IRD-tutelle (UMR 210)",Campus Institut Agro Montpellier- 2 PLACE Viala - 34060 MONTPELLIER CEDEX 2,43.617144,3.8547696,eco-sols@ird.fr,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",
FairCarboN,ALAMOD,EcoFoG,Labo,email Pierre Barre 11/07/2024,200617664D,Unité mixte,Ecologie des forêts de Guyane,ECOFOG,"ANTILLES-tutelle ( ),
GUYANE-tutelle (UM 43),
CNRS-tutelle (UMR 8172),
AGROPARISTECH-tutelle (UMR 745),
INRAE-tutelle (UMR 0745),
CIRAD-tutelle (UMR 93)",Campus Agronomique - BP 316-97310-Kourou,45.169554,5.712397,eric.marcon@agroparistech.fr,8-Sciences pour l'ingénieur                                                                           4-Chimie                                                                                              10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,
LS2-Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine","M. Jean-Christophe ROGGY (DIR-ADJ),
M. Eric MARCON (DIR)"
FairCarboN,ALAMOD,ECOSYS,Labo,email Pierre Barre 11/07/2024,201521783S,Unité mixte,Ecologie fonctionnelle et écotoxicologie des agroécosystèmes,ECOSYS,"AGROPARISTECH-tutelle (UMR 1402),
INRAE-tutelle (UMR 1402),
U PARIS-SACLAY-tutelle ( )",Campus Agro Paris-Saclay - 22 place de l'Agronomie-91120-PALAISEAU,48.7140958,2.1959595,umr-ecosys@inrae.fr,10-Sciences agronomiques et écologiques,"LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","M. Erwan PERSONNE (Directeur adjoint),
M. Cyril GIRARDIN (Directeur adjoint),
Mme Sylvie LA MANTIA (Directrice adjointe),
M. Pierre BENOIT (Directeur)"
FairCarboN,ALAMOD,ESE,Labo,email Pierre Barre 11/07/2024,200212739T,Unité mixte,"Écologie, systématique et évolution",ESE,"AGROPARISTECH-tutelle (UMR 8079),
CNRS-tutelle (UMR 8079),
U PARIS-SACLAY-tutelle ( )","Université Paris-Saclay, Bâtiment IDEEV - 680, 12 Route RD128-91190-Gif-Sur-Yvette",48.71051406860352,2.1532793045043945,direction.ese@universite-paris-saclay.fr,,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards","M. Bruno COLAS (DIR-ADJ),
Mme Nathalie FRASCARIA-LACOSTE (DIR),
M. Stéphane BAZOT (DIR-ADJ)"
FairCarboN,ALAMOD,FARE,Labo,email Pierre Barre 11/07/2024,199417885W,Unité mixte,Fractionnement des Agro-Ressources et  Environnement,FARE,"REIMS-tutelle (UMR 614),
INRAE-tutelle (UMR 0614)",2 esplanade Roland Garros BP 224-51686-Reims,49.2384995,4.0625913,gabriel.paes@inrae.fr,8-Sciences pour l'ingénieur                                                                           10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards","Mme Gwenaelle LASHERMES (Directrice adjointe),
M. GABRIEL PAES (DIRECTEUR),
Mme CAROLINE REMOND (DIRECTEUR ADJOINT)"
