Nom_archive,Auteur_recherché,Ids,Uri,Titre_unique,Labo_unique,Langue_unique,DOI sources,Type de document,Date de publication,Mots_clés_,ANR project acronyme_,In_FairCarboN,Mots_clés,ANR project acronyme,Value
HAL,Dominique Lamy,5191619,https://hal.science/hal-05191619v1,Studying unconscious processing: Contention and consensus,,en,['10.1017/s0140525x25101489&#x27E9'],ART,2025,Unconscious processing/Perceptual awareness/Awareness measures/Recommendations/Best practices,,False,"['Unconscious processing', 'Perceptual awareness', 'Awareness measures', 'Recommendations', 'Best practices']",[],1
HAL,Antoine Versini,5191432,https://hal.science/hal-00614014v1,Prévision des coupures de routes par submersion lors des crues soudaines dans le Gard,,fr,[''],ART,2025.0,CRUE/ZONE INONDABLE/MODELE/PREVISION/RESEAU ROUTIER/GARD,,False,"['CRUE', 'ZONE INONDABLE', 'MODELE', 'PREVISION', 'RESEAU ROUTIER', 'GARD']",[],1
HAL,Mathieu Dellinger,5190937,https://hal.science/hal-05190937v1,"Human and climate impacts on the alpine Critical Zone over the past 10,000 y","Environnements, Dynamiques et Territoires de Montagne",en,['10.1073/pnas.2506030122&#x27E9'],ART,2025,Human impact/Anthropocene/Soil evolution/Erosion/Lake sediments,,False,"['Human impact', 'Anthropocene', 'Soil evolution', 'Erosion', 'Lake sediments']",[],1
HAL,Pierre Sabatier,5190937,https://hal.science/hal-05190937v1,"Human and climate impacts on the alpine Critical Zone over the past 10,000 y","Environnements, Dynamiques et Territoires de Montagne",en,['10.1073/pnas.2506030122&#x27E9'],ART,2025.0,Human impact/Anthropocene/Soil evolution/Erosion/Lake sediments,,False,"['Human impact', 'Anthropocene', 'Soil evolution', 'Erosion', 'Lake sediments']",[],1
HAL,Jérôme Gaillardet,5190937,https://hal.science/hal-05190937v1,"Human and climate impacts on the alpine Critical Zone over the past 10,000 y",Institut de Physique du Globe de Paris,en,['10.1073/pnas.2506030122&#x27E9'],ART,2025,Human impact/Anthropocene/Soil evolution/Erosion/Lake sediments,,False,"['Human impact', 'Anthropocene', 'Soil evolution', 'Erosion', 'Lake sediments']",[],1
HAL,Julien Bouchez,5190937,https://hal.science/hal-05190937v1,"Human and climate impacts on the alpine Critical Zone over the past 10,000 y",Institut de Physique du Globe de Paris,en,['10.1073/pnas.2506030122&#x27E9'],ART,2025,Human impact/Anthropocene/Soil evolution/Erosion/Lake sediments,,False,"['Human impact', 'Anthropocene', 'Soil evolution', 'Erosion', 'Lake sediments']",[],1
HAL,Fabien Arnaud,5190937,https://hal.science/hal-05190937v1,"Human and climate impacts on the alpine Critical Zone over the past 10,000 y","Environnements, Dynamiques et Territoires de Montagne",en,['10.1073/pnas.2506030122&#x27E9'],ART,2025.0,Human impact/Anthropocene/Soil evolution/Erosion/Lake sediments,,False,"['Human impact', 'Anthropocene', 'Soil evolution', 'Erosion', 'Lake sediments']",[],1
HAL,Jérôme Poulenard,5190937,https://hal.science/hal-05190937v1,"Human and climate impacts on the alpine Critical Zone over the past 10,000 y","Environnements, Dynamiques et Territoires de Montagne",en,['10.1073/pnas.2506030122&#x27E9'],ART,2025.0,Human impact/Anthropocene/Soil evolution/Erosion/Lake sediments,,False,"['Human impact', 'Anthropocene', 'Soil evolution', 'Erosion', 'Lake sediments']",[],1
HAL,Florent Mouillot,5190742,https://hal.science/hal-04224966v1,Global intercomparison of functional pyrodiversity from two satellite sensors,Centre d’Ecologie Fonctionnelle et Evolutive,en,['10.1080/01431161.2021.1999529&#x27E9'],ART,2025,,,False,[],[],1
HAL,Isabelle Cousin,5190310,https://hal.science/hal-05190310v1,Création de jumeaux numériques environnementaux à l'interface entre les agro/écosystèmes et l'atmosphère : Projet SOL-AIR du programme JUNON,Info&Sols,fr,[''],POSTER,2025,,,False,[],[],1
HAL,Jean-Sébastien Moquet,5190310,https://hal.science/hal-05190310v1,Création de jumeaux numériques environnementaux à l'interface entre les agro/écosystèmes et l'atmosphère : Projet SOL-AIR du programme JUNON,Institut des Sciences de la Terre d'Orléans - UMR7327,fr,[''],POSTER,2025,,,False,[],[],1
HAL,Agnès Grossel,5190310,https://hal.science/hal-05190310v1,Création de jumeaux numériques environnementaux à l'interface entre les agro/écosystèmes et l'atmosphère : Projet SOL-AIR du programme JUNON,Info&Sols,fr,[''],POSTER,2025,,,False,[],[],1
HAL,Antonio Bispo,5190192,https://hal.inrae.fr/hal-05190192v1,Comparaisons entre les réseaux nationaux de surveillance des sols dans l'UE et le réseau LUCAS Soil,Info&Sols,fr,[''],COMM,2025.0,Lucas Soil/RMQS/Réseau de mesures de la qualité des sols RMQS,,False,"['Lucas Soil', 'RMQS', 'Réseau de mesures de la qualité des sols RMQS']",[],1
HAL,Antonio Bispo,5190168,https://hal.inrae.fr/hal-05190168v1,Troisième collecte nationale d’analyses en éléments traces métalliques dans les sols agricoles français,Info&Sols,fr,[''],POSTER,2025.0,BDETM/Sol/Pédologie/Base de données/Élément trace métallique,,False,"['BDETM', 'Sol', 'Pédologie', 'Base de données', 'Élément trace métallique']",[],1
HAL,Jean-Christophe Domec,5190124,https://hal.science/hal-05190124v1,Optimisation of forest management under climate change in the French maritime pine (Pinus pinaster Aiton) forests,,en,['10.1186/s13595-025-01300-y&#x27E9'],ART,2025,,,False,[],[],1
HAL,Denis Loustau,5190124,https://hal.science/hal-05190124v1,Optimisation of forest management under climate change in the French maritime pine (Pinus pinaster Aiton) forests,,en,['10.1186/s13595-025-01300-y&#x27E9'],ART,2025.0,,,False,[],[],1
