HAL ID;Titre;Auteurs;Type de document;Date de dépôt;Date de production;Date de publication;Mots-clés;Domaines;Financement;Acronyme projet ANR;Référence projet ANR;Titre projet ANR;Projet européen;Revue;Conférence;Langue;Accès ouvert;Résumé;Lien HAL
hal-05663153;Effects of tree diversity and mycorrhizal type on the spatio‐temporal variability of leaf litter production and quality in temperate forests;Elisabeth Bönisch | Benjamin M Delory | Šárka Angst | Gerrit Angst | Abderrahim Diane | Peter Dietrich | Olga Ferlian | Andreas Fichtner | Rahel Gormanns | Claudia R Guimarães‐steinicke | Stephan Hättenschwiler | Julius Quosh | Tama Ray | Anika Walter | Nico Eisenhauer | Rémy Beugnon;ART;2026-06-19;2026-04-28;2026-04-28;Tree diversity | Stoichiometry | Spatio-temporal dynamics | MyDiv | Litterfall | Elemental fluxes | Ectomycorrhiza | Arbuscular mycorrhiza;0.sde | 1.sde.be | 0.sdv | 1.sdv.sa | 2.sdv.sa.sf;;Pilotage et gouvernance du programme FairCarboN | CeMEB;ANR-22-PEXF-0001 | ANR-10-LABX-0004;Pilotage et gouvernance du programme FairCarboN | Mediterranean Center for Environment and Biodiversity;;Journal of Ecology;;en;Oui;Forest ecosystem productivity is affected by tree species richness and may be further modulated by different mycorrhizal fungal types, for example, arbuscular mycorrhizal (AM) and ectomycorrhizal (EM) fungi, which strongly affect soil processes. Productivity and soil processes are linked through leaf litterfall, a major pathway for carbon and nutrient input to soils. Higher tree diversity and contrasting mycorrhizal strategies may enhance the variability and heterogeneity of litterfall quantity and quality, yet the combined effects of tree species richness and mycorrhizal type mixtures on the temporal dynamics and spatial distribution of litterfall remain underexplored. We investigated leaf litterfall dynamics over 1 year in the 8‐year‐old MyDiv tree diversity experiment, spanning a gradient of tree species richness (one, two, four species) and mycorrhizal treatments (AM, EM, AM+EM). Monthly litterfall production and nutrient concentrations were measured, and annual wood production (i.e. wood biomass increment) was assessed to quantify aboveground biomass allocation to wood and litter. Tree species richness did not affect annual production of wood or leaf litter. In contrast, annual wood production varied with mycorrhizal types, being highest in EM tree communities, whereas mycorrhizal type did not affect annual leaf litterfall. However, litterfall dynamics were influenced by both tree species richness and mycorrhizal type. Specifically, higher tree diversity extended the litterfall period and increased spatial variability (CV) of litterfall at the meter scale, while temporal variability remained unaffected. Phosphorus concentration in leaf litter differed among mycorrhizal types, with the highest values observed in AM communities. Species‐rich stands exhibited lower C:P and N:P ratios in leaf litter and greater phosphorus fluxes. Contrary to expectations, mixed mycorrhizal communities did not produce more leaf litter than monotypic combinations (AM or EM tree species). Synthesis: Our findings show that leaf litterfall dynamics are modified by tree species richness and mycorrhizal type. The increased spatial variability of litterfall at the meter scale and the extended litterfall period associated with higher tree species richness could create a wider range of resource niches for soil organisms in time and space. This may promote the diversity and activity of the decomposer community, ultimately strengthening overall forest nutrient cycling. | Zusammenfassung Die Produktivität von Waldökosystemen wird durch den Baumartenreichtum beeinflusst und kann zusätzlich durch unterschiedliche Mykorrhiza‐Typen, z. B. arbuskuläre Mykorrhiza (AM) und Ektomykorrhiza (EM), moduliert werden, da diese Bodenprozesse stark beeinflussen. Produktivität und Bodenprozesse sind über den Streufall (hier: Blattstreu) eng verknüpft, der einen wesentlichen Eintragspfad für Kohlenstoff und Nährstoffe in den Boden darstellt. Eine höhere Baumdiversität sowie kontrastierende Mykorrhiza‐Strategien könnten die Variabilität und Heterogenität der Menge und Qualität des Streufalls erhöhen. Die kombinierten Effekte von Baumartenreichtum und Mischungen von Mykorrhiza‐Typen auf die zeitliche Dynamik und räumliche Verteilung des Streufalls sind jedoch bislang unzureichend untersucht. Wir haben die Dynamik des Blattstreufalls über die Dauer eines Jahres im achtjährigen MyDiv‐Baumdiversitätsexperiment untersucht. Dieses kombiniert Baumgemeinschaften mit unterschiedlichem Artenreichtum (eine, zwei, vier Arten) und verschiedenen Mykorrhiza‐Typen (AM, EM, AM+EM). Monatlich wurden Blattstreumengen und Nährstoffkonzentrationen erfasst. Zusätzlich wurde die jährliche Holzproduktion (Zuwachs an Holzbiomasse) bestimmt, um die oberirdische Biomasseallokation in Holz und Streu zu quantifizieren. Der Baumartenreichtum beeinflusste weder die jährliche Holzproduktion noch die Gesamtmenge des Blattstreufalls. Dagegen variierte die jährliche Holzproduktion mit dem Mykorrhiza‐Typ und war in EM‐Baumgemeinschaften am höchsten. Auf den jährlichen Streufall hatte der Mykorrhiza‐Typ jedoch keinen Einfluss. Allerdings wurden die Dynamiken des Streufalls sowohl durch Baumartenreichtum als auch durch den Mykorrhiza‐Typ verändert. Höhere Baumdiversität verlängerte die Streufallperiode und erhöhte die räumliche Variabilität (CV) des Streufalls im Meterbereich innerhalb der Bestände. Die zeitliche Variabilität blieb unverändert. Die Phosphorkonzentration im Blattstreu unterschied sich zwischen den Mykorrhiza‐Typen und war in AM‐Gemeinschaften am höchsten. Artenreiche Bestände wiesen niedrigere C:P‐ und N:P‐Verhältnisse sowie erhöhte Phosphorflüsse auf. Entgegen unseren Erwartungen produzierten gemischte Mykorrhiza‐Gemeinschaften nicht mehr Blattstreu als monotypische Bestände (d.h. AM‐ oder EM‐Baumarten allein). Synthese: Unsere Ergebnisse zeigen, dass Baumartenreichtum und den Mykorrhiza‐Typ die Dynamik des Streufalls verändern. Die erhöhte räumliche Variabilität sowie die verlängerte Streufallperiode bei artenreichen Beständen könnten ein breiteres Spektrum an Ressourcen‐Nischen für Bodenorganismen in Raum und Zeit schaffen. Dies könnte die Diversität und Aktivität von Destruenten fördern und somit langfristig den Nährstoffkreislauf in Waldökosystemen stärken.;https://hal.science/hal-05663153v1
hal-05655499;Integrative Digital Platform to Enhance the Value of Data, Knowledge and Scientific Expertise for Biorefinery Platforms;Amaya Saint-Bois | Jean-Pierre Belaud | Rachid Ouaret | Claire Vialle | Caroline Sablayrolles | Patrice Buche | Claire Mayer-Laigle;ART;2026-06-15;2025;2025;;0.spi | 1.spi.gproc | 0.spi;Carnot 3BCAR ICAM;Pilotage et gouvernance du programme FairCarboN;ANR-22-PEXF-0001;Pilotage et gouvernance du programme FairCarboN;;Chemical Engineering Transactions;;en;Oui;"<div><p>The French 3BCAR ICAM 2024-2026 project aims at leveraging digitalization tools and sustainability principles to obtain an integrated digital platform for bioeconomy actors. ICAM, in French, stands for Knowledge Engineering and Multidimensional Analysis. The project's goal is to develop an ontology based integrative digital platform that enhances data, knowledge, and scientific expertise around bio-refinery platforms. This paper introduces PowderLib, an instantiation of ICAM's integrative digital platform for vegetable powders. The platform stores data and knowledge on the production and valorisation of plant powders. It connects four modules: PO2, an experimental database, Makebook, a tool to store and manage electronic knowledge books, CAPEX, a decision tree-reasoning engine and AdCVcalc&amp;visu, an environmental assessment and visualization tool. The modules are interoperable because they adopt the same vocabulary from the domain ontology PO2/TransformON, designed to describe transformation processes and observations of associated characterization experiments. A use case shows how the platform assists users in the discovery of vegetal powders that match given end-product functional specifications in a reverse engineering approach.</p></div>";https://hal.inrae.fr/hal-05655499v1
hal-05644247;Task No. 1.6a – Modèle d'optimisation des filières de valorisation de biomasse;Jeremy Pantet | Pierre Thiriet | Ludovic Montastruc;REPORT;2026-06-04;2026-04-16;2026-04-16;Biomass supply chain design Optimization Operational research Mixed integer linear programming Scénario Lab | Biomass supply chain design | Optimization | Operational research | Mixed integer linear programming | Scénario Lab;0.info | 1.info.info-ro | 0.sdv | 1.sdv.sa | 2.sdv.sa.aep;;SLAM-B;ANR-22-PEXF-0003;Scenario labs to design and evaluate trajectories toward C neutrality;;;;fr;Oui;<div><p>This report is part of Task 1.6a of the SLAM-B</p></div>;https://hal.inrae.fr/hal-05644247v1
hal-05644147;Effet du prix d’import en dual sourcing, conception de filières robustes aux conditions de marché;Jeremy Pantet;POSTER;2026-06-04;2025-11-03;2025-11-03;Mixed integer linear programming | Operational research | Optimization | Biomass supply chain design | Biomass supply chain design Optimization Operational research Mixed integer linear programming Scénario Lab | Scénario Lab;0.info | 1.info.info-ro;;SLAM-B;ANR-22-PEXF-0003;Scenario labs to design and evaluate trajectories toward C neutrality;;;Journées Annuelles FairCarboN 2025;en;Oui;<div><p>This report is part of Task 1.6a of the SLAM-B</p></div>;https://hal.science/hal-05644147v1
hal-05644061;What’s new in biomass supply chain optimization? current trends and insights;Jeremy Pantet | Ludovic Montastruc | Pierre Thiriet;ART;2026-06-04;2026-04;2026-04;;0.info | 1.info.info-ro | 0.sdv | 1.sdv.sa | 0.spi | 1.spi.gproc;;SLAM-B;ANR-22-PEXF-0003;Scenario labs to design and evaluate trajectories toward C neutrality;;Computers & Chemical Engineering;;en;Oui;Biomass has emerged as a pivotal new resource that could alleviate dependence on fossil resources and support the ecological transition by benefiting local communities. There has been an expanding literature on the subject for the past two decades. The focus of this literature is primarily on the organization and optimization of the biomass supply chain (BSC), which is the key component in providing profitable and sustainable valorized goods from biomass. The aim of this paper is to evaluate the present state of known research gaps, identify research gaps in BSC design by including economic considerations, and propose new research orientations on the subject that rely on more multidisciplinary approaches. We found three main understudied gaps. The majority of papers still only consider the strategic and tactical decision levels, excluding the operational decision level. Therefore, there are still opportunities to improve the currently accepted BSC design. The demand, as part of the supply chain, appears to be understudied. In the reviewed literature, the demand is treated as a parameter, and is perfectly met by the production, without consideration for pricing, surplus, or shortage. The other gap found is that most of the models considered in this review describe a BSC in autarky, and few take into account importations either of additional biomass or of bioproduct in their studied case, or the potential exportation of surplus. Consequently, closing these gaps in biomass supply design and optimization would facilitate the integration of BSC modeling into broader economic models.;https://hal.science/hal-05644061v1
hal-05409782;Enhancing territorial life cycle assessment with integrated assessment modeling of agricultural landscapes: Insights from a French cropping region;Wafa Malik | Julie Auberger | Manon Dardonville | Nirina Ratsimba | Olivier Therond | Eléonore Loiseau;ART;2026-06-03;2025-12;2025-12;Eco-efficiency | Environmental assessment | Spatial and temporal variability | MAELIA multi-agent platform;0.sdv;This study is part of the SLAM-B project of the exploratory research program FairCarboN and received government funding from the Agence Nationale de la Recherche under the France 2030 program (reference ANR-22-PEXF-0003).;SLAM-B;ANR-22-PEXF-0003;Scenario labs to design and evaluate trajectories toward C neutrality;;Science of the Total Environment;;en;Non;Environmental assessment of agricultural regions is complex due to their dynamic nature and spatial heterogeneity. While Territorial Life Cycle Assessment (T-LCA) provides a holistic view of territorial performance, it is static and ignores spatial and temporal variability. To address these limitations, this study coupled T-LCA with the MAELIA multi-agent platform, which integrates high-resolution spatial and temporal and data and simulates interactions between socio-technical practices and biophysical processes at the field level. This innovative framework was applied to a 345 km2 agricultural territory in northeastern France. The main objectives were to assess (i) dynamics in eco-efficiency indicators (over a 10-year period) and (ii) the spatial and temporal variability in environmental impacts at the field and crop levels. Results revealed high interannual variability in environmental performance, which demonstrates that relying on single-year means can mislead policy design and highlights the need for long-term monitoring. Performance trends differed among the impact categories: the eco-efficiency of climate change peaked in 2008 (higher than 120 %), but that of acidification and eutrophication did not. These contrasting patterns highlight trade-offs between impact categories and indicate the need for integrated strategies that address multiple environmental challenges. At the field level, impacts varied greatly among crops and locations. This spatio-temporal accuracy can provide operational guidance for targeted interventions at the field level, while also providing strategic insights at the territorial level to help policymakers and stakeholders decrease environmental impacts.;https://hal.inrae.fr/hal-05409782v1
hal-05636138;RMQS Forest Data Collection Guide for the ALAMOD Project (INRAE Orléans/DSF);Renaud Pouységur | Line Boulonne | Kenji Fujisaki | François-Xavier Saintonge;UNDEFINED;2026-05-28;2026-05-21;2026-05-21;RMQS | Forest | Inventory | Guide | ALAMOD | France | Above Ground Biomass | RSSDF;0.sdv | 1.sdv.ee | 2.sdv.ee.eco;;ALAMOD;ANR-22-PEXF-0002;Shared, accurate models and open datasets;;;;en;Oui;As part of the PEPR FairCarboN programme, the ALAMOD project aims, amongst other things, to make comprehensive datasets available to a broad scientific community. These datasets are derived from sites and monitoring networks tracking changes in carbon stocks (soil and biomass) managed by the French research community. The French Soil Quality Monitoring Network (RMQS) lacks forest data (stand management and structure) at the site level. Most of the RMQS’s forest sites are adjacent to those of the Forest Damage Monitoring Network (RSSDF). This document is a simplified inventory protocol, adapted to the time constraints of the observer correspondents. It is carried out using a smartphone app. The procedure is explained in detail. | En el marco del programa PEPR FairCarboN, el proyecto ALAMOD tiene como objetivo, entre otras cosas, poner a disposición de una amplia comunidad científica conjuntos de datos completos procedentes de emplazamientos y redes de seguimiento de la evolución de las reservas de carbono (suelo y biomasa) gestionados por la comunidad investigadora francesa. La Red Francesa de Vigilancia de la Calidad del Suelo (RMQS) carece de datos forestales (gestión y estructura de las masas forestales) a nivel de los sitios. La mayoría de los sitios forestales de la RMQS son adyacentes a los de la Red de Vigilancia de Daños Forestales (RSSDF). Este documento es un protocolo de inventario simplificado, adaptado a las limitaciones de tiempo de los observadores corresponsales. Se lleva a cabo mediante una aplicación para teléfonos inteligentes. El procedimiento se explica en detalle. | Dans le cadre du programme PEPR FairCarboN, le projet ALAMOD vise, entre autres, à mettre à la disposition d’une large communauté scientifique des ensembles de données complets issus de sites et de réseaux de suivi de l’évolution des stocks de carbone (sol et biomasse) gérés par la communauté de recherche française. Le Réseau français de surveillance de la qualité des sols (RMQS) manque de données forestières (gestion et structure des peuplements) au niveau des sites. Les sites forestiers du RMQS sont pour la plupart adjacents à ceux du Réseau de surveillance des dommages forestiers (RSSDF). Ce document est donc un protocole d'inventaire simplifié, adapté aux contraintes de temps des correspondants observateurs sur le terrain. Il se fait à l'aide d'une application sur smartphone. La procédure est expliqué dans le détail.;https://hal.inrae.fr/hal-05636138v1
hal-05628619;Drivers and vertical CO2 flux balances in a Sahelian agroforestry system: Insights from high frequency measurements;Seydina Ba | Olivier Roupsard | Lydie Chapuis-Lardy | Frédéric Bouvery | Yélognissè Frédi Agbohessou | Maxime Duthoit | Aleksander Wieckowski | Torbern Tagesson | Mohamed Habibou Assouma | Espoir Koudjo Gaglo | Claire Delon | Bienvenu Sambou | Dominique Serça;ART;2026-05-21;2026;2026;Sénégal | Sahel | Agroforesterie | Séquestration du carbone | Changement climatique | Photosynthèse | Dioxyde de carbone | Systèmes agroforestiers | Système de culture | Faidherbia albida | Écosystème | Cycle du carbone | Carbone;0.sdu | 1.sdu.envi | 0.sdv | 1.sdv.sa | 2.sdv.sa.sds;"European Commission;EC;UE;http://dx.doi.org/10.13039/501100000780 | Agence Nationale de la Recherche;ANR;FRA;http://dx.doi.org/10.13039/501100001665";RIFT;ANR-22-PEXF-0004;Support to experimental infrastrucure (flux towers);SustainSAHEL;Soil;;en;Oui;Agroforestry systems – combining trees with crops and/or livestock – are increasingly promoted as sustainable and climate-resilient land-use strategies. Despite their widespread presence in the Sahel, experimental data on their potential as carbon sinks are scarce. This study presents a full-year, high-frequency dataset of CO2 fluxes in a Sahelian agro-silvo-pastoral parkland dominated by Faidherbia albida, located in Senegal's groundnut basin. CO2 fluxes were continuously measured using automated dynamic chambers, allowing the quantification of soil and crop respiration (Rch), gross primary production (GPPch), and net carbon exchange (FCO2ch) under both full sun and shaded (under tree canopies) environments. Seasonal patterns of CO2 fluxes were similar in both environments, with peaks during the rainy season. Rch and GPPch were significantly higher under tree canopies, indicating a “fertile island” effect. CO2 flux variability was primarily driven by soil moisture and leaf area index. Chamber-based GPP estimates closely matched those from Eddy Covariance measurements. On an annual scale, F. albida trees contributed approximately 23 % of total ecosystem GPP, with a carbon use efficiency of 0.48. Net annual vertical CO2 exchange was estimated at −1.4 ± 0.46 and −1.8 ± 0.17 Mg C-CO2 ha−1 using chamber and Eddy Covariance methods, respectively. These findings underscore the role of F. albida-based agroforestry systems as effective carbon sinks in Sahelian landscapes, supporting their potential contribution to climate change mitigation.;https://hal.science/hal-05628619v1
hal-05614714;Impact of UAV Flight Parameters and Acquisition Context for Canopy Height and Trunk Circumference Measurement Using LiDAR;Clément Battista | Frédéric Frappart | Martin Schwartz | Frédéric Baup;ART;2026-05-06;2026;2026;UAV Lidar | Canopy height | Tree-level metrics | Trunk circumference | Flight configuration | Plantation forestry;0.sde;;ALAMOD;ANR-22-PEXF-0002;Shared, accurate models and open datasets;;Research Square - Preprint;;en;Oui;"UAV-borne LiDAR has emerged as a promising tool for tree-level forest inventory, yet the influence of flight parameters and acquisition context on the accuracy of structural metrics remains insufficiently documented. This study evaluates how UAV flight altitude, speed, area margins, number of returns, flight plan geometry, and seasonal conditions affect the estimation of canopy height and trunk circumference in a managed 0.23-ha poplar plantation in southwestern France. Twenty-two UAV flights were conducted between 2024 and 2025 using a DJI Matrice 300 equipped with a Zenmuse L1 LiDAR sensor, with systematically varied acquisition parameters. Tree-level metrics derived from point clouds were compared with field measurements, terrestrial LiDAR scans, airborne LiDAR (IGN LiDAR HD), and satellite-derived canopy height maps (FORMS-T). Canopy height estimation proved highly robust across UAV flights, showing close agreement with terrestrial LiDAR (R² = 0.99, RMSE = 0.33 m) and consistency with expected poplar growth rates (0.9–1.4 m·yr⁻¹). Reliable height retrieval required a minimum point density of approximately 1,000 pts·m⁻², and flight altitudes below about 60 m above the canopy. In contrast, trunk circumference estimation was more sensitive to acquisition parameters and environmental conditions. Accurate retrieval was achieved only under leaf-off conditions, with optimal performance obtained using low flight altitudes (≤ 80 m), triple-return acquisition, high margins, and flight paths aligned with plantation rows (R² = 0.76–0.90; RMSE = 12–35 cm, or 4–11 cm for DBH). Leaf-on acquisitions and understory regrowth substantially reduced accuracy. This study provides practical guidelines for optimizing UAV flight planning in plantation forests and improves the reproducibility of UAV-based forest structural monitoring.";https://hal.science/hal-05614714v1
hal-05611809;Fast net carbon balance recovery after clear-cutting but uncertain long-term carbon accumulation in Eucalyptus plantations;Joannes Guillemot | Guerric Le Maire | Otávio Camargo Campoe | Jean-Paul Laclau | Jose Luiz Stape | Ivan Cornut | Juan Sinforiano Delgado Rojas | Clayton Alcarde Alvares | Geovanni Malatesta Barros | Jean-Marc Bonnefond | Jean-Pierre Bouillet | Raul Chaves | Marco Aurélio Figura | Gabriela Gonçalves Moreira | Rildo Moreira E Moreira | Agnès Robin | Daniel Poultney | Yann Nouvellon;ART;2026-05-05;2026;2026;Eucalyptus grandis | Fertilisation | Carbone | Écosystème forestier | Brésil | Séquestration du carbone | Eucalyptus | Plantation forestière | Coupe rase | Biomasse | Indice de surface foliaire | Écosystème | Biométrie | Production forestière;0.sdv;"Instituto de Pesquisas e Estudos Florestais;IPEF;BRA; | Centre de Coopération Internationale en Recherche Agronomique pour le Développement;CIRAD;FRA;http://dx.doi.org/10.13039/501100007204 | Agence Nationale de la Recherche;ANR;FRA;http://dx.doi.org/10.13039/501100001665";MACACC | RIFT;ANR-13-AGRO-0005 | ANR-22-PEXF-0004;Modélisation pour l'accompagnement des ACteurs, vers l'Adaptation des Couverts pérennes ou agroforestiers aux Changements globaux | Support to experimental infrastrucure (flux towers);;Global Change Biology - Bioenergy;;en;Non;"Forest plantations cover large areas globally, but their climate benefits remain unclear, hampering projections of the future land carbon (C) sink. Here, we combined an unprecedented 14-years series of eddy-covariance CO2 fluxes (net ecosystem productivity, NEP) with biometric measurements to explore C balance in a commercial Eucalyptus plantation in Brazil across three rotations. The plantation exhibited a 14-year average and maximum annual NEP of 9.8 and 20.2 MgC ha−1 y−1, respectively, which ranks among the highest documented forest productivity. The amount of time before the forest recaptures as much C as was emitted after harvest was substantially shorter than previously published values: 20 and 27 months, for first and second harvest, respectively. Time series of leaf area index, but not trunk biomass growth, were strongly related to NEP dynamics (&gt; 75% of explained variance at annual and monthly scales) suggesting possible amenability to remote-sensing assessment in Eucalyptus plantations. Estimates of C accumulation in litter and below-ground stocks varied from positive to negative depending on the methodology used, and showed substantial differences across rotations. This indicates that long-term C accumulation in commercial Eucalyptus plantations is not guaranteed, despite their high productivity.";https://hal.science/hal-05611809v1
