Nom_archive,Titre_unique,global_id,entrepot,parent,Date_Création,Date_Update,Mots_clés,Sujet,Auteurs,Sources,Type de document,PersistentUrl,DOI sources,Contacts_trouvés,Auteur_recherché,projet,Value,Date de publication
Data InDoRes,"Vegetation surveys in mountainous area (Pyrenees, France)",doi:10.48579/PRO/9SI1PN,OHM Pyrénées Haut Vicdessos,file://10.48579/PRO/9SI1PN,2022-09-14T08:44:44Z,2024-01-09 12:52:12+00:00,"['mountainous area', 'biodiversity', 'plant community']",['Earth and Environmental Sciences'],"['Mazier, Florence', 'Plancher, Clara', 'Haunold, Sébastien', 'Bonnet, Colline', 'Belly, Hugo', 'Houet, Thomas', 'Florence Mazier', 'Clara Plancher', 'Sébastien Haunold', 'Colline Bonnet', 'Hugo Belly', 'Thomas Houet']",['https://doi.org/10.15468/4q47d3'],dataset-indores,https://doi.org/10.48579/PRO/9SI1PN,['10.15468/4q47d3'],"['Florence Mazier', 'Thomas Houet']",Florence Mazier,DEEP-C,1,2024
Data InDoRes,"Vegetation surveys in mountainous area (Pyrenees, France)",doi:10.48579/PRO/9SI1PN,OHM Pyrénées Haut Vicdessos,file://10.48579/PRO/9SI1PN,2022-09-14T08:44:44Z,2024-01-09 12:52:12+00:00,"['mountainous area', 'biodiversity', 'plant community']",['Earth and Environmental Sciences'],"['Mazier, Florence', 'Plancher, Clara', 'Haunold, Sébastien', 'Bonnet, Colline', 'Belly, Hugo', 'Houet, Thomas', 'Florence Mazier', 'Clara Plancher', 'Sébastien Haunold', 'Colline Bonnet', 'Hugo Belly', 'Thomas Houet']",['https://doi.org/10.15468/4q47d3'],dataset-indores,https://doi.org/10.48579/PRO/9SI1PN,['10.15468/4q47d3'],"['Florence Mazier', 'Thomas Houet']",Thomas Houet,SLAM-B,1,2024
Data InDoRes,pyRIVE,doi:10.48579/PRO/Z9ACP1,Fédération Île-de-France de Recherche sur l'Environnement (FIRE),file://10.48579/PRO/Z9ACP1,2023-06-22T07:22:11Z,2023-06-22 07:41:01+00:00,"['process based model', 'biogeochemical process', 'PIREN-Seine', 'Zone Atelier Seine']",['Earth and Environmental Sciences'],"['Thieu, Vincent', 'Silvestre, Marie', 'Wang, Shuaitao', 'Marescaux, Audrey', 'Yan, Xingcheng', 'Garnier, Josette', 'Billen, Gilles', 'Vincent Thieu', 'Marie Silvestre', 'Shuaitao Wang', 'Audrey Marescaux', 'Xingcheng Yan', 'Josette Garnier', 'Gilles Billen']","['https://www.federation-fire.cnrs.fr/rive', 'https://gitlab.in2p3.fr/rive/pyrive']",dataset-indores,https://doi.org/10.48579/PRO/Z9ACP1,"['rive', 'rive/pyrive']","['Vincent Thieu', 'Josette Garnier']",Vincent Thieu,CarboNium,1,2023
Data InDoRes,pyRIVE,doi:10.48579/PRO/Z9ACP1,Fédération Île-de-France de Recherche sur l'Environnement (FIRE),file://10.48579/PRO/Z9ACP1,2023-06-22T07:22:11Z,2023-06-22 07:41:01+00:00,"['process based model', 'biogeochemical process', 'PIREN-Seine', 'Zone Atelier Seine']",['Earth and Environmental Sciences'],"['Thieu, Vincent', 'Silvestre, Marie', 'Wang, Shuaitao', 'Marescaux, Audrey', 'Yan, Xingcheng', 'Garnier, Josette', 'Billen, Gilles', 'Vincent Thieu', 'Marie Silvestre', 'Shuaitao Wang', 'Audrey Marescaux', 'Xingcheng Yan', 'Josette Garnier', 'Gilles Billen']","['https://www.federation-fire.cnrs.fr/rive', 'https://gitlab.in2p3.fr/rive/pyrive']",dataset-indores,https://doi.org/10.48579/PRO/Z9ACP1,"['rive', 'rive/pyrive']","['Vincent Thieu', 'Josette Garnier']",Josette Garnier,CarboNium,1,2023
Data InDoRes,Vertical profile of ozone concentration at the Barbeau-Fontainebleau research forest station,doi:10.48579/PRO/WIFYTR,"Écologie, systématique et évolution ",file://10.48579/PRO/WIFYTR,2023-10-23T20:00:34Z,2023-10-24 13:23:20+00:00,"['ozone concentration', 'forest', 'Deciduous Broadleaf Forest', 'pollution']",['Earth and Environmental Sciences'],"['Berveiller, Daniel', 'Cristinacce, Kevin', 'Delpierre, Nicolas', 'Dufrêne, Eric', 'Daniel Berveiller', 'Kevin Cristinacce', 'Nicolas Delpierre', 'Eric Dufrêne']",[],dataset-indores,https://doi.org/10.48579/PRO/WIFYTR,[''],"['Daniel Berveiller', 'Nicolas Delpierre']",Daniel Berveiller,Drought for C,1,2023
Data InDoRes,Vertical profile of ozone concentration at the Barbeau-Fontainebleau research forest station,doi:10.48579/PRO/WIFYTR,"Écologie, systématique et évolution ",file://10.48579/PRO/WIFYTR,2023-10-23T20:00:34Z,2023-10-24 13:23:20+00:00,"['ozone concentration', 'forest', 'Deciduous Broadleaf Forest', 'pollution']",['Earth and Environmental Sciences'],"['Berveiller, Daniel', 'Cristinacce, Kevin', 'Delpierre, Nicolas', 'Dufrêne, Eric', 'Daniel Berveiller', 'Kevin Cristinacce', 'Nicolas Delpierre', 'Eric Dufrêne']",[],dataset-indores,https://doi.org/10.48579/PRO/WIFYTR,[''],"['Daniel Berveiller', 'Nicolas Delpierre']",Nicolas Delpierre,CANETE,1,2023
Data InDoRes,Vertical profile of ozone concentration at the Barbeau-Fontainebleau research forest station,doi:10.48579/PRO/WIFYTR,"Écologie, systématique et évolution ",file://10.48579/PRO/WIFYTR,2023-10-23T20:00:34Z,2023-10-24 13:23:20+00:00,"['ozone concentration', 'forest', 'Deciduous Broadleaf Forest', 'pollution']",['Earth and Environmental Sciences'],"['Berveiller, Daniel', 'Cristinacce, Kevin', 'Delpierre, Nicolas', 'Dufrêne, Eric', 'Daniel Berveiller', 'Kevin Cristinacce', 'Nicolas Delpierre', 'Eric Dufrêne']",[],dataset-indores,https://doi.org/10.48579/PRO/WIFYTR,[''],"['Daniel Berveiller', 'Nicolas Delpierre']",Nicolas Delpierre,Drought for C,1,2023
Data InDoRes,"O3HP june 2022, Amplified drought stress on Quercus pubescens forest soil, data of measured and modelized BVOC associated to abiotic and biotic variables",doi:10.48579/PRO/Z5GIR9,O3HP (Oak Observatory at OHP),file://10.48579/PRO/Z5GIR9,2024-11-06T14:10:13Z,2024-11-08 10:14:03+00:00,"['climate change', 'deciduous broadleaved forest', 'Mediterranean forest', 'precipitation change', 'soil fluxes', 'Quercus pubescens', 'dry season', 'gas exchange system', 'rainfall exclusion']","['Chemistry', 'Earth and Environmental Sciences']","['Thibaud Legros', 'Elena Ormeno', 'Legros Thibaud', 'Ormeno Elena']",[],dataset-indores,https://doi.org/10.48579/PRO/Z5GIR9,[''],['Elena Ormeno'],Elena Ormeno,Drought for C,1,2024
Data InDoRes,"Dataset of physicochemical, microbiological, and plant root parameters of 135 soils from various urban land uses Blois city, France. Project ""En Forme Biensur"".",doi:10.48579/PRO/MTZ0KB,"Site Atelier ""Blois""",file://10.48579/PRO/MTZ0KB,2024-12-02T13:28:08Z,2025-06-17 08:31:49+00:00,"['urban ecosystem', 'soil microbial diversity', 'soil microbial ecology', 'enzyme activity', 'plant trait', 'soil characteristic', 'nitrogen cycling', 'methane flux']",['Earth and Environmental Sciences'],"['Legay, Nicolas', 'Norini, Marie-Paule', 'Harris, Jennifer', 'Bonthoux, Sébastien', 'Arnoldi, Cindy', 'Boscardin, Rachel', 'Cantarel, Amélie', 'Charron, Mickaël', 'Conte, Thibault', 'Cosson, Céline', 'Delort, Abigaïl', 'Deparis, Muriel', 'Gervais, Jonathan', 'Guilloteau, Ulysse', 'Khalfallah, Fadwa', 'Millery, Annie', 'Tissot, Nathalie', 'Tris, Hafida', 'Clément, Jean-Christophe', 'Foulquier, Arnaud', 'Joulian, Catherine', 'Le Milbeau, Claude', 'Le Roux, Xavier', 'Lyautey, Emilie', 'Motelica-Heino, Mikael', 'Pommier Thomas', 'Nicolas Legay', 'Marie-Paule Norini', 'Jennifer Harris', 'Sébastien Bonthoux', 'Cindy Arnoldi', 'Rachel Boscardin', 'Amélie Cantarel', 'Mickaël Charron', 'Thibault Conte', 'Céline Cosson', 'Abigaïl Delort', 'Muriel Deparis', 'Jonathan Gervais', 'Ulysse Guilloteau', 'Fadwa Khalfallah', 'Annie Millery', 'Nathalie Tissot', 'Hafida Tris', 'Jean-Christophe Clément', 'Arnaud Foulquier', 'Catherine Joulian', 'Claude Le Milbeau', 'Xavier Le Roux', 'Emilie Lyautey', 'Mikael Motelica-Heino', 'Thomas Pommier']",[],dataset-indores,https://doi.org/10.48579/PRO/MTZ0KB,[''],['Emilie Lyautey'],Emilie Lyautey,DEEP-C,1,2025
Data InDoRes,"Spectral signatures on the Bassies valley (Haut Vicdessos, Pyrenees, France) - 2010 campaign",doi:10.48579/PRO/PUQ99V,OHM Pyrénées Haut Vicdessos,file://10.48579/PRO/PUQ99V,2023-04-24T12:10:09Z,2023-04-28 08:53:51+00:00,['land cover'],['Earth and Environmental Sciences'],"['Houet, Thomas', 'Thomas Houet']",['https://halshs.archives-ouvertes.fr/halshs-00752923'],dataset-indores,https://doi.org/10.48579/PRO/PUQ99V,['halshs-00752923'],['Thomas Houet'],Thomas Houet,SLAM-B,1,2023
