Orcid,Année,Titre,Type,Source,contact
0000-0001-5173-9030,2025,Multiscale analysis of existing actual evapotranspiration products over agropastoral Sahel,journal-article,https://doi.org/10.1016/j.jhydrol.2024.132585,Jérôme Demarty
0000-0001-5173-9030,2025,Ensemble evapotranspiration estimates and uncertainties: EVASPA,preprint,https://doi.org/10.5194/egusphere-egu25-16717,Jérôme Demarty
0000-0001-5173-9030,2025,Climate Change impacts on hydrological and plant resources in the agro-pastoral Sahel,preprint,https://doi.org/10.5194/egusphere-egu24-11068,Jérôme Demarty
0000-0001-5173-9030,2025,Eco-hydrology modelling in arid areas : Study of root density impact on water fluxes in the Sahelian region,preprint,https://doi.org/10.5194/egusphere-egu24-16680,Jérôme Demarty
0000-0001-5173-9030,2025,Modelling surface water and energy transfer in karstic mediterranean forests,preprint,https://doi.org/10.5194/egusphere-egu24-10997,Jérôme Demarty
0000-0001-5173-9030,2025,Multimodel &#8211; multidata simulations for mapping evapotranspiration and its uncertainty of estimation from remote sensing data,preprint,https://doi.org/10.5194/egusphere-egu24-13113,Jérôme Demarty
0000-0001-5173-9030,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,report,https://insu.hal.science/insu-04936744,Jérôme Demarty
0000-0001-5173-9030,2024,Spatially remotely sensed evapotranspiration estimates in Sahel regions using an ensemble contextual model : structural uncertainty estimation and reduction ,conference-paper,https://hal.science/hal-04908427,Jérôme Demarty
0000-0001-5173-9030,2024,Ensemble Estimation of Evapotranspiration Using EVASPA: a Multi-Data Multi-Method Analysis,journal-article,https://hal.inrae.fr/hal-04803434,Jérôme Demarty
0000-0001-5173-9030,2023,"Caractérisation des processus éco-hydro-géologique autour du site de Ceyrac (Pompignan, Gard)",other,https://hal.science/hal-04933212,Jérôme Demarty
0000-0001-5173-9030,2023,Monitoring global changes and water management strategies in Mediterranean mountain environments: hydro-socio-eco-meteorological observations in the Cévennes Mountains (Southeast France),other,https://imt-mines-ales.hal.science/hal-04285490,Jérôme Demarty
0000-0001-5173-9030,2023,TRISHNA Level-2 products : Daily evapotranspiration and water stress,other,https://hal.inrae.fr/hal-04154762,Jérôme Demarty
0000-0001-5173-9030,2023,The contribution of remote sensing data assimilation to simulate daily evapotranspiration of irrigated and non-irrigated crops in semi-arid context,conference-paper,https://hal.science/hal-04908464,Jérôme Demarty
0000-0001-5173-9030,2023,Tipping points in hydrology: attribution of regime shifts using historical climate simulations and dynamical system modeling,preprint,https://doi.org/10.5194/egusphere-egu23-3354,Jérôme Demarty
0000-0001-5173-9030,2023,Review and evaluation of global evapotranspiration products in Sahelian region,other,https://hal.science/hal-04550980,Jérôme Demarty
0000-0001-5173-9030,2023,A drought-triggered hydrological tipping point in the central Sahel: an attribution study using system dynamics modelling,conference-paper,https://imt-mines-ales.hal.science/hal-04286359,Jérôme Demarty
0000-0001-5173-9030,2023,Evapotranspiration mapping from remote sensing data: uncertainties and ensemble estimates based on multimodel – multidata simulations,conference-paper,https://hal.inrae.fr/hal-04153021,Jérôme Demarty
0000-0001-5173-9030,2023,Improving continuous monitoring of evapotranspiration by combining data from future thermal infrared missions,conference-paper,https://hal.inrae.fr/hal-04154749,Jérôme Demarty
0000-0001-5173-9030,2022,Modélisation des échanges d'énergie et d'eau sur le bassin agricole de l'Orgeval,conference-paper,https://hal.inrae.fr/hal-03899443,Jérôme Demarty
0000-0001-5173-9030,2022,Modélisation éco-hydrologique en zone agropastorale endoréique au Sahel : impact des pratiques agricoles et apport de la télédétection,other,https://hal.science/hal-04551010,Jérôme Demarty
0000-0001-5173-9030,2022,Problématique de modélisation écohydrologique en région méditerranéenne karstique,conference-paper,https://hal.inrae.fr/hal-03899426,Jérôme Demarty
0000-0001-5173-9030,2022,Evap&#8217;Eau project: Estimating actual evapotranspiration from remote sensing in Senegal and Niger,preprint,https://doi.org/10.5194/iahs2022-654,Jérôme Demarty
0000-0001-5173-9030,2022,Spatial assessment of surface-atmosphere fluxes in the Mediterranean region: synergy between satellite estimates and local observations,preprint,https://doi.org/10.5194/iahs2022-495,Jérôme Demarty
0000-0001-5173-9030,2022,Advantages and opportunities in using multisensor remote sensing data for evapotranspiration retrieval as well as better partitioning between evaporation and transpiration,preprint,https://doi.org/10.5194/iahs2022-194,Jérôme Demarty
0000-0001-5173-9030,2022,Assess evapotranspiration over Sahelian regions: Review and evaluation of available products and alternative methods.,conference-paper,https://hal.science/hal-04217405,Jérôme Demarty
0000-0001-5173-9030,2022,"Interactions between energy, water and carbon cycles: A new agro-eco-hydrological model to study impacts of global changes in the agropastoral Sahel",preprint,https://doi.org/10.5194/iahs2022-118,Jérôme Demarty
0000-0001-5173-9030,2022,Evapotranspiration mapping from remote sensing data: uncertainties and ensemble estimates based on multimodel-multidata simulations,conference-paper,https://hal.inrae.fr/hal-04233982,Jérôme Demarty
0000-0001-5173-9030,2022,Coupling numerical approaches for a deeper assessment of karst groundwater vulnerability,other,https://imt-mines-ales.hal.science/hal-03715038,Jérôme Demarty
