Orcid,Année,Titre,Type,Source,Auteurs,contact
0000-0002-6322-6352,2025,"Data and R scripts for 'The amount of reachable habitat determines population fate' (Argote et al., 2025)",data-set,,"['Karolina Argote', 'Benoît Geslin', 'Mathieu Santonja', 'Cécile Albert']",Mathieu Santonja
0000-0002-6322-6352,2025,"Data and R scripts for 'The amount of reachable habitat determines population fate' (Argote et al., 2025)",data-set,,"['Karolina Argote', 'Benoît Geslin', 'Mathieu Santonja', 'Cécile Albert']",Mathieu Santonja
0000-0002-6322-6352,2025,Microbial biomass – not diversity – drives soil carbon and nitrogen mineralization in Spanish holm oak ecosystems,journal-article,http://dx.doi.org/10.1016/j.geoderma.2025.117408,"['Elisa Bruni', 'Jorge Curiel Yuste', 'Lorenzo Menichetti', 'Omar Flores', 'Daniela Guasconi', 'Bertrand Guenet', 'Ana-Maria Hereș', 'Aleksi Lehtonen', 'Raisa Mäkipää', 'Marleen Pallandt', 'Leticia Pérez-Izquierdo', 'Etienne Richy', 'Mathieu Santonja', 'Boris Tupek', 'Stefano Manzoni']",Mathieu Santonja
0000-0002-6322-6352,2025,Impacts of Canopy Disturbances by Tree Logging on Soil Biota Increase With Organism Size,journal-article,http://dx.doi.org/10.1111/gcb.70287,"['Leticia Pérez‐Izquierdo', 'Claire Ménival', 'Petr Baldrian', 'Virginie Baldy', 'Charlotte Biryol', 'Raphael Gros', 'Ana‐Maria Hereş', 'Yoann Le Bagousse‐Pinguet', 'Tijana Martinovic', 'Ion Catalin Petritan', 'Sara Sánchez‐Moreno', 'Mathieu Santonja', 'Jorge Curiel Yuste']",Mathieu Santonja
0000-0002-6322-6352,2025,Legacy Effects of Flooding Duration on Growth and Reproductive Traits of <i>Carex cinerascens</i> in the Poyang Lake Wetland,journal-article,http://dx.doi.org/10.1002/ece3.71395,"['Wenlan Feng', 'Pierre Mariotte', 'Ligang Xu', 'Luca Bragazza', 'Alexandre Buttler', 'Junxiang Cheng', 'Mathieu Santonja']",Mathieu Santonja
0000-0002-6322-6352,2025,Why oaks should stay with their close relatives: growing in a distantly related neighbourhood delays and reorganizes nutrient recycling during litter decomposition,journal-article,http://dx.doi.org/10.1111/oik.10567,"['Mathieu Santonja', 'Xu Pan', 'Pierre-Emmanuel Courty', 'Olaf Butenschön', 'Matty P. Berg', 'Phil Murray', 'Benjamin Yguel', 'Daphnée Brulé', 'Keliang Zhang', 'Andreas Prinzing']",Mathieu Santonja
0000-0002-6322-6352,2025,Decline of soil volatile organic compounds from a Mediterranean deciduous forest under a future drier climate,journal-article,http://dx.doi.org/10.1016/j.atmosenv.2024.120909,"['T. Legros', 'B. Temime-Roussel', 'J. Kammer', 'E. Quivet', 'H. Wortham', 'I.M. Reiter', 'M. Santonja', 'C. Fernandez', 'E. Ormeño']",Mathieu Santonja
0000-0002-6322-6352,2024,Functional traits of plant roots and Collembola determine their tri‐trophic interactions with soil microbes,journal-article,http://dx.doi.org/10.1111/1365-2435.14714,"['Pierre‐Marc Brousseau', 'Estelle Forey', 'Mathieu Santonja', 'Matthieu Chauvat']",Mathieu Santonja
0000-0002-6322-6352,2024,Managing both overstory and understory vegetation mitigates the impact of drought on soil nematode communities in a Mediterranean pine forest,journal-article,http://dx.doi.org/10.1016/j.apsoil.2024.105585,"['Charlotte Biryol', 'Jean Trap', 'Bernard Prévosto', 'Sylvie Dupouyet', 'Virginie Baldy', 'Mathieu Santonja']",Mathieu Santonja
0000-0002-6322-6352,2024,The Detri<sup>2</sup>match conceptual framework: Matching detritivore and detritus traits to unravel consumption rules in a context of decomposition,journal-article,http://dx.doi.org/10.1111/1365-2435.14611,"['Théo Marchand', 'Antoine Lecerf', 'Pierre‐Marc Brousseau', 'Matthieu Chauvat', 'Michael Danger', 'Estelle Forey', 'I. Tanya Handa', 'Mickael Hedde', 'Florence Maunoury‐Danger', 'Mathieu Santonja', 'Benjamin Pey']",Mathieu Santonja
0000-0002-6322-6352,2024,Circadian migrations of cave-dwelling crustaceans guided by their home chemical seascape,journal-article,http://dx.doi.org/10.3389/fmars.2024.1448616,"['Marie Derrien', 'Mathieu Santonja', 'Stéphane Greff', 'Soizic Figueres', 'Charlotte Simmler', 'Pierre Chevaldonné', 'Thierry Pérez']",Mathieu Santonja
0000-0002-6322-6352,2024,Combinative effects of thinning and prescribed burning on fuel reduction and soil arthropods: A case study in a Mediterranean pine forest,journal-article,http://dx.doi.org/10.1002/ece3.70141,"['Pauline Longeard', 'Mathieu Santonja', 'Fréderic Morandini', 'Marc Gibernau', 'Sugahendni Nadarajah', 'Pauline Belliard', 'Nathalie Feignier', 'Antonella Massaiu', 'Marie‐Cécile Andrei‐Ruiz', 'Lila Ferrat']",Mathieu Santonja
0000-0002-6322-6352,2024,"Can allelopathic potentialities of Mediterranean plant species reduce the spread of invasive plant species, <i>Acacia dealbata</i> and <i>Ailanthus altissima</i>?",journal-article,,"['Solène Brasseur', 'Mathieu Santonja', 'Catherine Rébufa', 'Laurence Affre', 'Sylvie Dupouyet', 'Estelle Dumas', 'Thierry Tatoni', 'Anne‐Marie Farnet\xa0Da\xa0Silva', 'Anne Bousquet‐Mélou']",Mathieu Santonja
0000-0002-6322-6352,2024,Meta‐analysis reveals that the effects of precipitation change on soil and litter fauna in forests depend on body size,journal-article,http://dx.doi.org/10.1111/gcb.17305,"['Philip A. Martin', 'Leonora Fisher', 'Leticia Pérez‐Izquierdo', 'Charlotte Biryol', 'Bertrand Guenet', 'Sebastiaan Luyssaert', 'Stefano Manzoni', 'Claire Menival', 'Mathieu Santonja', 'Rebecca Spake', 'Jan C. Axmacher', 'Jorge Curiel Yuste']",Mathieu Santonja
0000-0002-6322-6352,2024,"Interactive effects of soil moisture, air temperature and litter nutrient diversity on soil microbial communities and <i>Folsomia candida</i> population",journal-article,,"['Charlotte Biryol', 'Adriane Aupic‐Samain', 'Caroline Lecareux', 'Thierry Gauquelin', 'Virginie Baldy', 'Mathieu Santonja']",Mathieu Santonja
0000-0002-6322-6352,2024,Global fine-resolution data on springtail abundance and community structure,journal-article,http://dx.doi.org/10.1038/s41597-023-02784-x,"['Anton M. Potapov', 'Ting-Wen Chen', 'Anastasia V. Striuchkova', 'Juha M. Alatalo', 'Douglas Alexandre', 'Javier Arbea', 'Thomas Ashton', 'Frank Ashwood', 'Anatoly B. Babenko', 'Ipsa Bandyopadhyaya', 'Carolina Riviera Duarte Maluche Baretta', 'Dilmar Baretta', 'Andrew D. Barnes', 'Bruno C. Bellini', 'Mohamed Bendjaballah', 'Matty P. Berg', 'Verónica Bernava', 'Stef Bokhorst', 'Anna I. Bokova', 'Thomas Bolger', 'Mathieu Bouchard', 'Roniere A. Brito', 'Damayanti Buchori', 'Gabriela Castaño-Meneses', 'Matthieu Chauvat', 'Mathilde Chomel', 'Yasuko Chow', 'Steven L. Chown', 'Aimee T. Classen', 'Jérôme Cortet', 'Peter Čuchta', 'Ana Manuela de la Pedrosa', 'Estevam C. A. De Lima', 'Louis E. Deharveng', 'Enrique Doblas Miranda', 'Jochen Drescher', 'Nico Eisenhauer', 'Jacintha Ellers', 'Olga Ferlian', 'Susana S. D. Ferreira', 'Aila S. Ferreira', 'Cristina Fiera', 'Juliane Filser', 'Oscar Franken', 'Saori Fujii', 'Essivi Gagnon Koudji', 'Meixiang Gao', 'Benoit Gendreau-Berthiaume', 'Charles Gers', 'Michelle Greve', 'Salah Hamra-Kroua']",Mathieu Santonja
