Nom_archive,Date de publication,Titre_unique,Sans_référencement
HAL,2025,Influence of Avocado Plantations as Driver of Land Use and Land Cover Change in Chile’s Aconcagua Basin,True
HAL,2025,Multitemporal Monitoring of Ecuadorian Andean High Wetlands Using Radar and Multispectral Remote Sensing,True
HAL,2025,Spatio-temporal dynamics of L-band zeroth-order vegetation scattering albedo from SMAP observations in tropical forests,True
HAL,2025,Dynamics and patterns of land cover change in the Piura River Basin (Peruvian Pacific slope and coast) in the last two decades,True
HAL,2025,An assessment of L-band surface soil moisture products from SMOS and SMAP in the tropical areas,True
HAL,2025,Seasonal variations in vegetation water content retrieved from microwave remote sensing over Amazon intact forests,True
HAL,2025,Estimate of Greenland and Antarctic ice-sheet total discharge from multiple GRACE solutions,True
HAL,2025,Widespread and Exceptional Reduction in River Water Levels Across the Amazon Basin During the 2023 Extreme Drought Revealed by Satellite Altimetry and SWOT,True
HAL,2025,Large live biomass carbon losses from droughts in the northern temperate ecosystems during 2016-2022,True
HAL,2025,A near-real-time tropical deforestation monitoring algorithm based on the CuSum change detection method,True
HAL,2025,Spatio-Temporal Dynamics of the Lanalhue Lake Basin in South-Central Chile,True
HAL,2025,CuSum-Nrt as a Crop Monitoring System: A Sentinel-1 Application to Sunflower and Sorghum in Southwestern France,True
HAL,2025,A New Calibration of Soil Roughness Effects in the SMOS-IC Algorithm for Soil Moisture and VOD Retrievals,True
HAL,2025,State of the art and for remote sensing monitoring of carbon dynamics in African tropical forests,True
HAL,2025,"Coastal flood vulnerability assessment, a satellite remote sensing and modeling approach",True
HAL,2025,Hy-TeC: a hybrid vision transformer model for high-resolution and large-scale mapping of canopy height,True
HAL,2025,Consistent Coupled Patterns of Teleconnection Between Rainfall in the Ogooué River Basin and Sea Surface Temperature in Tropical Oceans,True
HAL,2025,Long-Term Monitoring of the Titicaca Lake Water Storage Variations : From Nadir Altimetry to Swot,True
HAL,2025,SWOT Monitoring of Land-Water Interfaces Topography: Intertidal Coastal Areas and River Floodplains,True
HAL,2025,Low Water Maps of the Groundwater Table in the Inner Niger Delta Using Multisatellite Datasets Over 2000-2022,True
HAL,2025,Surface Water Extent and Volume in the Inner Niger Delta (IND) Over 2000-2022 Using Multispectral Imagery and Radar Altimetry,True
