Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Kane Cheikhou Akhmed,2025.0,EcoSysML: A metamodel for Socio-Ecological Systems (SES) integrating machine learning,True,A référencer
HAL,Traore Cheick Amed Diloma Gabriel,2025.0,Agent-based modeling of the spatio-temporal distribution of Sahelian transhumant herds,True,A référencer
HAL,Bah Alassane,2025.0,A Gama tool to study the Senegalese artisanal fisheries dynamics,True,A référencer
HAL,Mamadou Sané,2024.0,État de l'art de l'approche multi-agents pour modéliser le comportement spatial des troupeaux en systèmes d'élevage extensif,True,A référencer
ORCID,Auteurs non renseignés,2025.0,Artificial Intelligence-Based on Automatic Detection of Diabetic Eye Diseases : A Systematic Review,A déposer sur HAL,False
ORCID,Auteurs non renseignés,2025.0,Deep Learning-Based Diagnosis of Leukemia in Africa: Case of Acute Lymphoblastic and Acute Myeloid Leukemia in Senegal,A déposer sur HAL,False
ORCID,Auteurs non renseignés,2025.0,"Habitability for a connected, unequal and changing world",A déposer sur HAL,False
ORCID,"Sterly, H.",2025.0,"Habitability for a connected, unequal and changing world",A déposer sur HAL,False
ORCID,Auteurs non renseignés,2024.0,Deep Learning-based Land Use and Land Cover Changes Detection from Satellite Imagery : a case study of the city of Richard Toll,A déposer sur HAL,False
ORCID,Auteurs non renseignés,2024.0,Agent-Based Model of Transhumant Decision-Making Processes in Senegal,A déposer sur HAL,False
ORCID,"Traore, C.A.D.G.",2024.0,Agent-based model of transhumant decision-making processes in senegal,A déposer sur HAL,False
ORCID,Auteurs non renseignés,2024.0,Deep Learning-Based Enumeration of Pirogues Using Google Earth Images: A Case Study of Artisanal Fishing Landing Sites in Senegal,A déposer sur HAL,False
ORCID,Auteurs non renseignés,2024.0,Sahelian transhumance simulator (STS),A déposer sur HAL,False
ORCID,"Traore, C.A.D.G.",2024.0,Sahelian transhumance simulator (STS)[Formula presented],A déposer sur HAL,False
ORCID,Cheick Amed Diloma Gabriel Traore,2024.0,Sahelian transhumance simulator (STS),A déposer sur HAL,False
