Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Dupuis Louise,2025,Méthode d'analyse des stratégies en faveur de la biodiversité. Analyse de la capacité à initier un changement transformateur. Application à la troisième stratégie nationale pour la biodiversité (SNB3),True,A référencer
HAL,Vera Pierre,2025,Prognostic Value of FDG PET Metabolic Parameters Before and After 42 Gy of Radiochemotherapy in Patients with Inoperable Stage III Nonsmall Cell Lung Cancer,True,A référencer
HAL,Langlais Alexandra,2025,"La PAC, une réponse encore pertinente aux changements globaux ?",True,A référencer
HAL,Langlais Alexandra,2025,Carbon farming : quel accompagnement juridique pour quelle transition agroécologique ?,True,A référencer
HAL,Hervé-Fournereau Nathalie,2025,Justice sociale et pacte vert pour l'Europe : un rendez-vous manqué ?,True,A référencer
HAL,Hervé-Fournereau Nathalie,2025,Chronique annuelle Droit de l'environnement de l'Union européenne et Pacte vert pour l'Europe,True,A référencer
HAL,Hervé-Fournereau Nathalie,2025,"Question 15 : Droit de l'eau?, droit à l'eau?",True,A référencer
HAL,Dutoit Thierry,2024,Regards croisés sur les concepts d’ingénierie environnementale et d’ingénierie climatique,True,A référencer
HAL,Euzen Agathe,2024,Tout comprendre (ou presque) sur l'eau,True,A référencer
HAL,Hervé-Fournereau Nathalie,2024,Justice sociale et le pacte vert pour l'Europe : un rendez-vous manqué,True,A référencer
HAL,Vera Pierre,2024,"Adaptive radiotherapy (up to 74 Gy) or standard radiotherapy (66 Gy) for patients with stage III non-small-cell lung cancer, according to [18F]FDG-PET tumour residual uptake at 42 Gy (RTEP7–IFCT-1402): a multicentre, randomised, controlled phase 2 trial",True,A référencer
HAL,Baldacci Simon,2024,Lorlatinib for advanced anaplastic lymphoma kinase–positive non–small cell lung cancer: Results of the IFCT-1803 LORLATU cohort,True,A référencer
HAL,Langlais Alexandra,2024,What place for contractual commitments in the protection of European agricultural soils? The example of carbon sequestration,True,A référencer
HAL,Langlais Alexandra,2024,Le carbon farming comme business model ou comment le Green Deal amorce une nouvelle relation entre l'environnement et l'agriculture ?,True,A référencer
HAL,Lemoine-Schonne Marion,2024,Construire le droit des ingénieries climatiques Au croisement des enjeux climatiques et écosystémiques,True,A référencer
HAL,Hervé-Fournereau Nathalie,2024,Propos introductifs,True,A référencer
HAL,Langlais Alexandra,2024,Enjeux juridiques et interdisciplinaires des recherches sur la séquestration du carbone dans les sols agricoles,True,A référencer
HAL,Langlais Alexandra,2024,The new Common Agricultural Policy: reflecting an agro-ecological transition. The legal perspective,True,A référencer
HAL,Lemoine-Schonne Marion,2024,Construire le droit des ingénieries climatiques Au croisement des enjeux climatiques et écosystémiques,True,A référencer
HAL,Fouqueray Timothée,2025,"Les échanges fonciers agricoles, levier pour la transition agroécologique de l’élevage ?",False,A référencer
