Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Thi Phuong Linh Huynh,2025,Environmental changes and inequalities in the Mekong region: a systematic mapping,True,A référencer
HAL,Grosjean Lucas,2025,Distribution Model: Separation of Concerns to Facilitate the Distribution of Agent-Based Models,True,A référencer
HAL,Grosjean Lucas,2025,Modèle de distribution: une approche pour faciliter la distribution de modèles à base d'agents,True,A référencer
HAL,Brugière Arthur,2025,Handling multiple levels in agent-based models of complex socio-environmental systems: A comprehensive review,True,A référencer
HAL,Biré Léo,2025,"RÁC, a Serious Agent-Based Simulation Game to Drive Discussion on Waste Management in Vietnamese Irrigation Systems",True,A référencer
HAL,Phuong Linh H.T.,2025,Cartographie systématique de la région du Mékong pour mieux comprendre les liens entre inégalités et changements environnementaux,True,A référencer
HAL,Drogoul Alexis,2025,Coupling Agent-Based Simulations and VR universes: the case of GAMA and Unity,True,A référencer
HAL,Do Nguyen Thanh,2025,"Exploring VR Interaction Possibilities: Prototyping the flood simulation in Dong Hoi, Quang Binh Province with SIMPLE's Coupling Tool in Unity and GAMA",True,A référencer
HAL,Lesquoy Baptiste,2025,Behind the scenes: an overview of the GAMA platform's environment and development practices,True,A référencer
HAL,Grosjean Lucas,2025,Distribution model: an approach to facilitate the distribution of agent-based model,True,A référencer
HAL,Truong Tuan Nghia,2025,Moov'Hanoi : A Data-Driven Agent-Based Model for Simulating Multimodal Urban Mobility in Hanoi,True,A référencer
HAL,Taillandier Patrick,2025,SIMPLE Toolchain: Coupling GAMA simulation with VR universe,True,A référencer
HAL,Dolinska Aleksandra,2024,Co-production opportunities seized and missed in decision-support frameworks for climate-change adaptation in agriculture – How do we practice the “best practice”?,True,A référencer
HAL,Taillandier Patrick,2024,COMOKIT v2 : A multi-scale approach to modeling and simulating epidemic control policies,True,A référencer
HAL,Hutzler Guillaume,2024,Data Gardens: an artistic proposal towards the representation of distributed and dynamic data using multiagent systems,True,A référencer
HAL,Chapuis Kevin,2024,Generation of Synthetic Populations in Social Simulations: A Review of Methods and Practices,True,A référencer
HAL,Drogoul Alexis,2024,"La modélisation ""libérée",True,A référencer
