Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Main Oscar,2025,Targeting Enhanced Digestibility: Prioritizing Low Pith Lignification to Complement low p-Coumaric Acid content as environmental stress intensity increase,True,A référencer
HAL,Marmagne Anne,2025,Evidence of the specific roles of autophagy in senescent leaves and maturing seeds,True,A référencer
HAL,Marmagne Anne,2025,A tissue-specific rescue strategy reveals the local roles of autophagy in leaves and seeds for resource allocation,True,A référencer
HAL,Masclaux‐daubresse Céline,2025,Proteomic analyses reveal new autophagy partner involved in lipid transfer,True,A référencer
HAL,Avila Ospina Liliana,2025,"The identification of new cytosolic glutamine synthetase and asparagine synthetase genes in barley (Hordeum vulgare L.), and their expression during leaf senescence",True,A référencer
HAL,Chardon Fabien,2024,Characterization of the Functional Allele of the NAM-B1 Gene to Increase the Wheat Grain Protein Concentration,True,A référencer
HAL,Chardon Fabien,2024,RémoBlé : améliorer la remobilisation de l’azote pour augmenter la concentration en protéines du blé,True,A référencer
HAL,Lee Juhyeon,2024,Phytochrome-interacting factors PIF4 and PIF5 directly regulate autophagy during leaf senescence in Arabidopsis,True,A référencer
HAL,Le Gouis Jacques,2024,Caractériser l’effet de l’allèle fonctionnel du gène NAM-B1 pour augmenter la concentration en protéines du grain de blé tendre,True,A référencer
HAL,Hoffmann Beate,2024,Modifying SWEET-mediated sugar transport to improve nitrogen remobilization and use efficiency in Arabidopsis,True,A référencer
HAL,Mahmud Mubarak,2024,Assessing Nutrient Safety Net and Crop Yield in a Mediterranean Agroforestry Using 15N Labelling Experiment,True,A référencer
HAL,Decouard Bérengère,2024,Maize (Zea mays L.) interaction with the arbuscular mycorrhizal fungus Rhizophagus irregularis allows mitigation of nitrogen deficiency stress: physiological and molecular characterization,True,A référencer
HAL,Bouchez Isabelle,2024,"NBR1, a plant selective autophagy receptor, associates with lipid droplets in germinating seeds and contributes to seed longevity",True,A référencer
HAL,Bouchez Isabelle,2024,"NBR1, a plant selective autophagy receptor, associates with lipid droplets in germinating seeds and contributes to seed longevity",True,A référencer
HAL,Masclaux‐daubresse Céline,2024,Autophagy in Plant Senescence,True,A référencer
HAL,Masclaux‐daubresse Céline,2024,Autophagy and plant proteases for N remobilization during leaf senescence,True,A référencer
HAL,Masclaux‐daubresse Céline,2024,Response to darkness senescence and low nitrate availability of nitrogen use efficiency in Arabidopsis thaliana,True,A référencer
HAL,Masclaux‐daubresse Céline,2024,HOW PROTEOMIC STUDIES HELP US TO UNDERSTAND ESSENTIAL ROLES OF AUTOPHAGY IN PLANTS,True,A référencer
HAL,Masclaux‐daubresse Céline,2024,Autophagy play a role in nitrogen allocation and C/N content in seeds.,True,A référencer
HAL,Masclaux-Daubresse Celine,2024,Autophagy in N management at the whole plant level.,True,A référencer
HAL,Masclaux-Daubresse Céline,2024,Autophagy and plant proteases for nutrient remobilization during leaf senescence,True,A référencer
HAL,Masclaux‐daubresse Céline,2024,Autophagy and chloroplast degradation,True,A référencer
HAL,El Mazlouzi Mohamed,2025,Responses of common bean to water stress and ozone during seed filling: focus on some physiological and agronomical parameters,True,A référencer
HAL,David Laure C,2024,BdNRT2A and BdNRT3.2 are the major components of the High-Affinity nitrate Transport System in Brachypodium distachyon,True,A référencer
ORCID,Maxence James,2025.0,A Brassica napus water soluble chlorophyll binding protein (WSCP1) delays chlorophyll degradation and inhibits serine proteases during dark-induced leaf senescence in Arabidopsis thaliana,A déposer sur HAL,False
ORCID,Maxence James,2025.0,"V‐ATPases and amino acid catabolism are strongly disturbed in the roots of autophagy mutants in Arabidopsis, impacting water use efficiency and tricarboxylic acid metabolism",A déposer sur HAL,False
ORCID,Laure C. David,2025.0,BdNRT2A and BdNRT3.2 Are the Major Components of the High‐Affinity Nitrate Transport System in Brachypodium distachyon,A déposer sur HAL,False
ORCID,Julien Renou,2024.0,A cellulose synthesis inhibitor affects cellulose synthase complex secretion and cortical microtubule dynamics,A déposer sur HAL,False
ORCID,Sebastian T. Schenk,2024.0,Nitrate activates a MKK3-dependent MAPK module via NLP transcription factors in Arabidopsis,A déposer sur HAL,False
ORCID,Oscar Main,2024.0,Targeting Enhanced Digestibility: Prioritizing Low Pith Lignification to Complement low p-Coumaric Acid content as environmental stress intensity increase,A déposer sur HAL,False
ORCID,Maxence James,2024.0,Multi-scale phenotyping of senescence-related changes in roots ofRapeseedin response to nitrogen deficiency,A déposer sur HAL,False
