Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Léger Emmanuel,2025,Brief Communication: Mimicking periglacial landforms and processes in an ice-rich layered permafrost system with polydispersed melamine materials: a new concept,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Costard F.,2024,Deciphering Martian Flood Infiltration Processes at Hebrus Valles: Insights From Laboratory Experiments and Remote Sensing Observations,True,A référencer
HAL,Zhang Zongyu,2024,Analysis of the Martian subsurface from the observation of the Rover Subsurface Penetrating Radar (RoSPR) onboard Tianwen,True,A référencer
HAL,Schmidt Frédéric,2024,Cold late Hesperian Climate,True,A référencer
HAL,Séjourné Antoine,2024,"Constraining the ice-content and timing of deposition of ice-rich deposits in Utopia Planitia: SHARAD, stratigraphy and crater counting",True,A référencer
HAL,Costard Francois,2024,Tsunami on Mars: Implications for the duration and timing of a northern ocean,True,A référencer
HAL,Costard Francois,2024,Understanding Martian megaflood-infiltration Landscapes at Hebrus Valles through Laboratory Experiments,True,A référencer
HAL,Costard Francois,2024,"Variability of the thermal regime of the frozen islands in the Lena floodplain, Yakutia",True,A référencer
HAL,Saintenoy Albane,2024,Overcoming data scarcity of active layer thicknesses using geophysics,True,A référencer
