Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Pierre-Antoine Versini,2025.0,Designing Resilient Green Roofs for Climate-Adaptive Sponge Cities: A Decision Support Tool for Zero Emission Compliance,True,A référencer
HAL,Tchiguirinskaia Ioulia,2025.0,Multifractal Phase Transitions for the “Transformative Shift” Towards a Shared Value Economy,True,A référencer
HAL,Versini Pierre Antoine,2025.0,Prévision des coupures de routes par submersion lors des crues soudaines dans le Gard,True,A référencer
HAL,Vermeire Marie-Liesse,2025.0,Dynamics of sub-Sahelian soil microbiome in response to 7 years of repeated application of organic waste products,True,A référencer
HAL,Nobile Cécile,2025.0,Développement d'outils d'aide à la fertilisation favorisant le recours aux Mafor pour les cultures tropicales,True,A référencer
HAL,Versini Antoine,2025.0,Assessment of soil nitrogen to improve nitrogen fertiliser recommendations for sugarcane in Réunion,True,A référencer
HAL,Nobile Cécile,2025.0,Sugarcane response to phosphorus fertilization in the highly diversified pedological contexts of Réunion Island,True,A référencer
HAL,Chevalier Léa,2025.0,Internal translocation of N in sugarcane: belowground storage and remobilisation at regrowth?,True,A référencer
HAL,Chevalier Léa,2025.0,Sugarcane responds to nitrogen fertilization by reducing root biomass without modifying root N accumulation,True,A référencer
HAL,Jamoteau Floriane,2025.0,15-years of organic fertilization led to an increase of total C but also turnover of native-C using 13C,True,A référencer
HAL,Poultney Daniel,2025.0,Nitrogen budget and evaluation of mineral and organic fertiliser N losses from a soil-sugarcane agroecosystem,True,A référencer
HAL,Poultney Daniel,2025.0,Optimising N2O measures following the application of mineral and organic nitrogen fertiliser to sugarcane,True,A référencer
HAL,Chaput Maxime,2025.0,Modeling the impact of soil and climatic variability on sugarcane growth response to mineral and organic fertilisers,True,A référencer
HAL,Viaud Pauline,2025.0,Analysis resource use efficiency in sugarcane-legume intercropping system using STICS model,True,A référencer
HAL,Ramos Marion,2025.0,Soil spectral signatures for sugarcane fertiliser recommendations through an adapted soil typology in Réunion,True,A référencer
HAL,Chaput Maxime,2025.0,Modelling the impact of soil and climatic variability on sugarcane growth response to mineral and organic fertilisers,True,A référencer
HAL,Poultney Daniel,2025.0,Contribution of organic fertilisers to nitrogen nutrition in sugarcane and nitrate leaching in sugarcane agroecosystems in Réunion,True,A référencer
HAL,Frascaria-Lacoste Nathalie,2025.0,"La restauration socio-écologique, une transposition concrète du concept normatif des solutions fondées sur la nature",True,A référencer
HAL,Qiu Yangzi,2024.0,Space variability impacts on hydrological responses of nature-based solutions and the resulting uncertainty: a case study of Guyancourt (France),True,A référencer
HAL,Ramanathan Arun,2024.0,A multifractal based approach to simulate reference rainfall scenarios for hydrological applications,True,A référencer
HAL,Ramanathan Arun,2024.0,"A Universal Multifractal-based approach to Model Pore Size Distribution, Water Retention and Hydraulic Conductivity of Granular Green Roof Substrates",True,A référencer
HAL,Ramanathan Arun,2024.0,Optimizing Zero Emission Green Roof Designs using Multifractal Reference Rainfall Simulations,True,A référencer
HAL,Alvanitakis Manon,2024.0,Hétérogénéité des bilans de nutriments entre les gisements de MAFORs et les besoins des cultures des différentes communes de l’île de la Réunion,True,A référencer
HAL,Clivot Hugues,2024.0,Modélisation de l'évolution des stocks de carbone organique dans les sols : travaux et perspectives de recherche autour du modèle AMG,True,A référencer
HAL,Versini Pierre-Antoine,2024.0,Evapotranspiration evaluation by 3 different protocols on a large green roof in the greater Paris area,True,A référencer
HAL,Ramanathan Arun,2024.0,"A universal multifractal-based method to model pore size distribution, water retention and hydraulic conductivity of granular green roof substrates",True,A référencer
HAL,Ramanathan S Arun,2024.0,Simulating Evapotranspiration in Green roofs using a Multifractal approach,True,A référencer
ORCID,Antoine Versini,2025.0,Au(III)-Catalyzed Domino Cyclization / Functionalization Reactions: an Efficient Entry to Heterocycles,A déposer sur HAL,False
