Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Riggi L.G.A.,2025.0,Establishing assessment criteria for soil bioindicators: insights from case studies in Europe,True,A référencer
HAL,Kedzierski Mikaël,2025.0,Microplastiques dans les sols français : sources et occurrences,True,A référencer
HAL,Kedzierski Mikaël,2025.0,Microplastics in French soil: from sources to consequences,True,A référencer
HAL,Laroche Bertrand,2025.0,"La connaissance des sols au travers du programme Inventaire, Gestion et Conservation des Sols",True,A référencer
HAL,Pueyo Pauline,2025.0,Troisième collecte nationale d’analyses en éléments traces métalliques dans les sols agricoles français,True,A référencer
HAL,Bispo Antonio,2025.0,"Effets environnementaux des changements d'affectation des sols liés à des réorientations agricoles, forestières, ou d'échelle territoriales : une revue critique de la littérature scientifique",True,A référencer
HAL,Bispo Antonio,2025.0,Le sol - Un patrimoine vulnérable,True,A référencer
HAL,del Duca Sara,2025.0,Comparison of LUCAS and Italian Sampling Procedures for Harmonising Physicochemical and Biological Soil Health Indicators,True,A référencer
HAL,Palazot Maialen,2025.0,First National References of Microplasticcontamination of French Soils,True,A référencer
HAL,Chenu Claire,2025.0,Strengthening policy through science: the contribution of the EJP SOIL programme to EU Soil Monitoring and Resilience Directive Proposal,True,A référencer
HAL,Bispo Antonio,2025.0,Les programmes du GIS Sol : 20 ans d'ajustement en réponse aux enjeux,True,A référencer
HAL,Matson Amanda,2025.0,A framework for setting soil carbon targets and thresholds in agricultural soils,True,A référencer
HAL,Cottin Aurélien,2025.0,Harmonized Datasets of microbiological parameters from a French national-scale soil monitoring survey,True,A référencer
HAL,Matson Amanda,2025.0,Four approaches to setting soil health targets and thresholds in agricultural soils,True,A référencer
HAL,Séré Geoffroy,2024.0,Selection of soil health indicators for modelling soil functions to promote smart urban planning,True,A référencer
HAL,Bispo Antonio,2024.0,GIS Sol: the French consortium in charge for more than 20 years of collecting and disseminating soil information,True,A référencer
HAL,Froger Claire,2024.0,Comparing LUCAS Soil and national systems: Towards a harmonized European Soil monitoring network,True,A référencer
HAL,Meurer Katharina H E,2024.0,How does national SOC monitoring on agricultural soils align with the EU strategies? An example using five case studies,True,A référencer
HAL,Froger Claire,2024.0,First glance of french soil contamination by pesticide residues and the need for broad-scale monitoring,True,A référencer
HAL,Palazot M.,2024.0,First national reference of microplastic contamination of french soils and the need for further monitoring,True,A référencer
HAL,Bakacsi Z,2024.0,High-resolution thematic soil mapping at EU level based ont the combined use of LUCAS and national soil monitoring data in the framework of the EJP Soil Project,True,A référencer
HAL,Augusto Laurent,2024.0,Evaluation du puits de carbone dans les sols forestiers français,True,A référencer
HAL,Tondini E.,2024.0,Different approaches to soil monitoring: comparison between national soil information monitoring systems (N-SIMS) and LUCAS soil,True,A référencer
HAL,Froger Claire,2024.0,Comparing soil properties between LUCAS Soil and national soil information monitoring system (N-SIMS): major differences and implications for future policies to evaluate soil quality,True,A référencer
HAL,Bispo Antonio,2024.0,"National soil data in EU Countries, where do we stand?",True,A référencer
HAL,Saby Nicolas P. A.,2024.0,Monitoring pH and P K MG levels in French soils between 2003 and 2020 using the French soil analysis database (base de données des analyses de terre),True,A référencer
HAL,Bispo Antonio,2024.0,R&amp;D dans le contexte de la directive sur les sols,True,A référencer
HAL,Bispo Antonio,2024.0,Connaitre et faire connaitre les sols,True,A référencer
HAL,Poinçot Flavien,2024.0,"The French Network of scientific and technical expertise on soil: Feedback from a hub to stimulate interactions between experts, decision makers and local authorities.",True,A référencer
HAL,Bispo Antonio,2024.0,Partager et co-construire en recherche participative sur les sols : enjeux des données,True,A référencer
HAL,Matson Amanda,2024.0,A framework for setting soil health targets and thresholds in agricultural soils,True,A référencer
HAL,Laurent Nadia,2024.0,Effect of organic amendments on soil enzymatic activities. Results of the French “Bioindicator program”.,True,A référencer
HAL,Bispo Antonio,2024.0,Dados e indicadores para avaliar e mapear a saúde do solo,True,A référencer
HAL,Mason Eloïse,2024.0,Bilan des 20 premières années des productions scientifiques du Réseau de mesures de la qualité des sols (RMQS),True,A référencer
HAL,Delahaie Amicie,2024.0,Rock-Eval®-RMQS: Monitoring the Characteristics of SOM on the French Territory with Rock-Eval® 6 Thermal Analysis to Assess its Stability,True,A référencer
HAL,Palazot Maialen,2024.0,First national reference of microplastic contamination of French soils,True,A référencer
HAL,Carne G.,2024.0,Mass balance approach to assess the impact of cadmium decrease in mineral phosphate fertilizers on health risk: The case-study of French agricultural soils,True,A référencer
HAL,Froger Claire,2024.0,Contamination diffuse des sols agricoles et urbains : état des connaissances et données disponibles,True,A référencer
HAL,Delahaie Amicie,2024.0,Complementarity and drivers of thermal and physical soil organic carbon fractions at the scale of mainland France,True,A référencer
HAL,Rabot Eva,2024.0,Relevance of the organic carbon to clay ratio as a national soil health indicator,True,A référencer
HAL,Mason E,2024.0,Sustainable soil and land management: a systems-oriented overview of scientific literature,True,A référencer
HAL,Bispo Antonio,2024.0,Sols,True,A référencer
HAL,Martin Manuel P,2024.0,Les données du GIS Sol pour appuyer les politiques d’atténuation et d’adaptation au changement climatique,True,A référencer
HAL,Froger Claire,2024.0,"Projet Phytosol Résidus de pesticides dans les sols français : présence, risques et persistance",True,A référencer
HAL,Desbourdes Sacha,2024.0,Roll-up / Kakemono RMQS,True,A référencer
HAL,Bispo Antonio,2024.0,Poster RMQS séminaire FairCarboN,True,A référencer
HAL,Bispo Antonio,2024.0,Les enjeux de l'évaluation de la santé des sols,True,A référencer
HAL,Lemercier Blandine,2024.0,Évolutions du pH et des teneurs en P K Mg dans les sols de France hexagonale entre 2003 et 2020 à partir de la Base de Données des Analyses de Terre,True,A référencer
HAL,Froger Claire,2024.0,"Spatial variations, origins, and risk assessments of polycyclic aromatic hydrocarbons in French soils",True,A référencer
HAL,Mason Eloise,2024.0,Policy brief on soil monitoring systems,True,A référencer
