Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Ninot Gregory,2025,"The NPIS Model: A Standardized, Consensus-Based Framework for Evaluating Non-Pharmacological Interventions",True,A référencer
HAL,Pousse Noémie,2025,Les impacts écologiques et économiques du tassement des sols,True,A référencer
HAL,Legout Arnaud,2025,Comment évaluer la fertilité chimique en forêt ?,True,A référencer
HAL,Legout Arnaud,2025,Définition de la fertilité chimique des écosystèmes forestiers et rôle de la gestion dans sa préservation,True,A référencer
HAL,Darboux Frédéric,2025,Préserver les sols forestiers de l’érosion,True,A référencer
HAL,Legout Arnaud,2025,Quel est l’impact des plantations de Douglas sur les sols forestiers ?,True,A référencer
HAL,Legout Arnaud,2025,Comment évaluer la fertilité chimique en forêt ?,True,A référencer
HAL,El Khatib Mohamed,2025,Bitcoin Burn Addresses: Unveiling the Permanent Losses and Their Underlying Causes,True,A référencer
HAL,Martin Manon,2024,Hydraulic properties for a wide range of undisturbed and compacted French forest soils: in situ measurements and estimation with the BEST method,True,A référencer
HAL,Martin Manon,2024,Characterization and prediction of hydraulic properties of traffic-compacted forest soils based on soil information and traffic treatments,True,A référencer
HAL,Legout Arnaud,2024,"La tempête de 1999 : effet d’une coupe à blanc involontaire sur le fonctionnement d’une hêtraie de faible fertilité minérale (Fougères, 35)",True,A référencer
HAL,Legout Arnaud,2024,"Bilan de fertilité minérale et dynamique des nutriments dans une hêtraie de faible fertilité minérale (Fougères, 35)",True,A référencer
HAL,Legout Arnaud,2024,Le réseau Amendement pour le suivi sur le long terme de la restauration ou du maintien de la fertilité en forêt,True,A référencer
HAL,Zeller Bernhard,2024,Le réseau Douglas : un dispositif dédié à la compréhension de l’effet de cette essence sur le cycle de l’azote,True,A référencer
HAL,Moitry Emmanuel,2024,Les conséquences de l’érosion sur le milieu aquatique,True,A référencer
HAL,Darboux Frédéric,2024,L'érosion : des mécanismes à une méthode générale de réduction,True,A référencer
HAL,Khalfallah Fadwa,2024,Les traits des essences forestières déterminent la composition de la matière organique du sol en interaction avec le contexte pédoclimatique,True,A référencer
HAL,Henry Charline,2024,Lutter contre l'érosion des sols forestiers : introduction du dossier,True,A référencer
HAL,Saint‐andré Laurent,2024,Sols - Impacts de la gestion sur la fertilité et le carbone des sols forestiers,True,A référencer
HAL,Clesse Margaux,2024,"Tree species drive soil fertility change during the 43 years after plantation - A dual approach (soil sampling and input-output mass balance) study of the Breuil-Chenue common garden experiment (Burgundy, France)",True,A référencer
HAL,Lequy Émeline,2024,Aeolian dust deposition rates in Northern French forests and inputs to their biogeochemical cycles,True,A référencer
