Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Stella Patrick,2025,Processes of soil ozone deposition: dependence of the resistance to soil deposition to surface humidity and soil texture,True,A référencer
HAL,Coimbra Pedro Henrique H,2025,"Evaluation of a novel approach to partitioning respiration and photosynthesis using eddy covariance, wavelets and conditional sampling",True,A référencer
HAL,Ciuraru Raluca,2025,Agricultural recycling of organic waste products: volatile organic compounds emission and secondary organic aerosol formation,True,A référencer
HAL,Liu Yang,2025,Organic Fertilizers Application: Impacts on VOCs and Air Quality Implications,True,A référencer
HAL,Loubet Benjamin,2025,Online fluxes of pesticides over bare soil in France with a PTRMS: results from French the Online-PTR4-Pest study,True,A référencer
HAL,Haider Kawssar Mujtaba,2025,Chemical characterization of volatile organic compounds emitted by animal manure and their ozone reactivity,True,A référencer
HAL,Liu Yang,2025,Green waste fertilization and its atmospheric implications: VOC and aerosol dynamics in a cover-crop field,True,A référencer
HAL,Ciuraru Raluca,2025,Secondary Organic aerosol Formation by Organic waste Recycling in Agriculture (SOFORA project),True,A référencer
HAL,Ciuraru Raluca,2025,Volatile organic compounds (VOCs) and new particle formation from agricultural recycling of organic waste products,True,A référencer
HAL,Ciuraru Raluca,2025,Volatile organic compounds and new particle formation from agricultural recycling of organic waste products,True,A référencer
HAL,Haider Kawssar Mujtaba,2025,Emissions of Volatile Organic Compounds from Animal Manure: Chemical Composition and Ozone Reactivity,True,A référencer
HAL,Abis Letizia,2025,Biogenic VOC profiles emissions of Rapeseed leaf litter and their SOA formation potential,True,A référencer
HAL,Ciuraru Raluca,2025,Biogenic volatile organic compounds at air litter interface,True,A référencer
HAL,Lafouge Florence,2025,Emission of biogenic volatile organic compounds from plant litter decomposition,True,A référencer
HAL,Lafouge Florence,2025,Fluxes of biogenic volatile organic compounds in a green oak forest,True,A référencer
HAL,Ciuraru Raluca,2025,Volatile organic compounds and Secondary Organic Aerosols from laboratory to field comparison;,True,A référencer
HAL,Bsaibes Sandy,2025,Variability of OH reactivity in a rapeseed field: Results from the COV3ER experiment in April 2017,True,A référencer
HAL,Kammer Julien,2025,Effect of agricultural practices on Biogenic Volatile Organic Compound (BVOC) emissions from agricultural crops,True,A référencer
HAL,Ciuraru Raluca,2025,Biogenic volatile organic compounds (BVOC) emissions and ozone uptake on soil surfaces,True,A référencer
HAL,Ciuraru Raluca,2025,Biogenic volatile organic compounds emissions and ozone uptake on soil surfaces,True,A référencer
HAL,Ciuraru Raluca,2025,Ozone uptake and deposition on soil surfaces,True,A référencer
HAL,Abis Letizia,2025,Microbial volatile organic compounds (mVOCs) emission by soil,True,A référencer
HAL,Loubet Benjamin,2025,Online pesticide concentration and fluxes measurements over crops with a PTRMS shows unexpected volatilisation rates,True,A référencer
HAL,Haider K.M.,2025,Secondary organic aerosol formation from digested biowastes ozonolysis,True,A référencer
HAL,Ciuraru Raluca,2025,New particle formation from agricultural recycling of organic waste products,True,A référencer
HAL,Haider Kawssar Mujtaba,2025,Emission Inventories of Volatile Organic Compounds from Different Sewage Sludge Samples,True,A référencer
HAL,Ciuraru Raluca,2025,Volatile organic compounds emission and secondary organic aerosols formation from organic waste products,True,A référencer
HAL,"Loubet, Benjamin",2025,"Volatile organic compounds sources and sinks in a wheat canopy. Analysis based on combined eddy-covariance fluxes, in-canopy profiles and chamber measurements with a PTR-TOF-Qi-MS",True,A référencer
HAL,Hoang Ngoc Minh,2025,Development of an airborne Eddy covariance system dedicated to greenhouse gases (CO2/CH4) and energy fluxes measurements of heterogeneous landscapes onboard fixed-wing UAV,True,A référencer
HAL,Deng Shuaishuai,2025,Detection of the effects of hydraulic activation of stomata (HAS) on the water use efficiency of crops,True,A référencer
HAL,Che Ke,2025,Optimizing CO2 emission estimates in Paris through enhanced urban atmospheric monitoring,True,A référencer
HAL,Lafouge Florence,2025,Online measurement with Proton Transfer Reaction Mass Spectrometry of two widely used herbicides in agriculture,True,A référencer
