Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Laatabi Ahmed,2025,A Survey on the Use of Agent-Based Modeling and Simulation for the Vehicle Routing Problem,True,A référencer
HAL,Arnejo Zenith,2025,LUNTIAN: An Agent-Based Model of an Industrial Tree Plantation for Promoting Sustainable Harvesting in the Philippines,True,A référencer
HAL,Levy Jordan,2025,TimeCIEL: Contextual Interactive Ensemble Learning for Time Series Classification,True,A référencer
HAL,Arnejo Zenith,2025,A Dynamic Reconstitution of the Vegetation of a pre-Neolithic French Mediterranean territory using Plant Functional Types,True,A référencer
HAL,Arnejo Zenith,2025,Automatic generation of ABM Narratives using Simulation Traces and LLM,True,A référencer
HAL,Cueille Elisa,2025,Assessing the impact of crisis cell decisions during flash flood,True,A référencer
HAL,Arnejo Zenith,2025,Communicating Agent-Based Models to Stakeholders: A Scoping Review,True,A référencer
HAL,Arnejo Zenith,2025,Exploring Sustainable Industrial Tree Plantation through Agent-Based Modeling: A Case Study from the Philippines,True,A référencer
HAL,Lesquoy Baptiste,2025,Behind the scenes: an overview of the GAMA platform's environment and development practices,True,A référencer
HAL,Arnejo Zenith,2025,Towards Transparent Agent-based Models: Visualizing ABM Process Flows from Simulation Traces,True,A référencer
HAL,Lomborg Kamilla,2024,Environmental drivers of hominin dispersal patterns during the early-middle Pleistocene transition : a methodological enquiry,True,A référencer
HAL,Korbmacher Raphael,2024,Empirical Comparison of Different Pedestrian Trajectory Prediction Methods at High Densities,True,A référencer
HAL,Taillandier Patrick,2024,COMOKIT v2 : A multi-scale approach to modeling and simulating epidemic control policies,True,A référencer
