Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Gauvain Alexandre,2025,HydroModPy: A Python toolbox for deploying catchment-scale shallow groundwater models,True,A référencer
HAL,Poteaux Noémie,2025,"What a peaty contribution to global warming! An interdisciplinary study of atmospheric and hydrologic carbon fluxes in a temperate peatland in the Jura Mountains, eastern France",True,A référencer
HAL,Crapart Camille,2025,Specific carbon fluxes in rivers from long-term monitoring,True,A référencer
HAL,Roques Clément,2025,Groundwater controls on headwater stream dynamics,True,A référencer
HAL,Abhervé Ronan,2024,HydroModPy: A Python toolkit to automate the deployment of groundwater models with subsurface-surface interactions on multiple sites,True,A référencer
HAL,Fouché Julien,2024,Suprapermafrost groundwater transfers high concentrations of aged dissolved organic carbon to Greenlandic rivers,True,A référencer
HAL,Le Borgne Tanguy,2024,Fracture networks as reactors,True,A référencer
HAL,Gauvain Alexandre,2024,HydroModPy: Une application python pour automatiser le déploiement des modèles de bassin versant à grande échelle,True,A référencer
HAL,Bremaud Margot,2024,"Estimation de l'énergie disponible à l'échelle du bassin versant de Guidel (Morbihan, France) par une approche thermodynamique",True,A référencer
ORCID,Clément Roques,2025.0,Groundwater controls on headwater stream dynamics,A déposer sur HAL,False
ORCID,Alexandre Gauvain,2025.0,HydroModPy: A Python toolbox for deploying catchment-scale shallow groundwater models ,A déposer sur HAL,False
ORCID,Mélissa Garry,2024.0,"<i>Ferriphaselus amnicola</i> strain GF-20, a new iron- and thiosulfate-oxidizing bacterium isolated from a hard rock aquifer",A déposer sur HAL,False
