Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Gaigne Carl,2025.0,Aligning Competitiveness and Sustainability: How Border Adjustments Can Strengthen the EU’s Agricultural Policy,True,A référencer
HAL,Guyomard Hervé,2025.0,The next reform of the CAP: The variables in the equation,True,A référencer
HAL,Brunetti Roberto,2024.0,"Land, Wealth, and Taxation",True,A référencer
HAL,Brunetti Roberto,2024.0,"Credit Market Imperfections, Urban Land Rents and the Henry George Theorem",True,A référencer
HAL,Gaigne Inrae Carl,2024.0,Agricultural transitions and the dynamics of specialisation,True,A référencer
HAL,Gaigne Carl,2024.0,Transitions agricoles et dynamiques de spécialisation,True,A référencer
HAL,Gaigne Carl,2024.0,Avancées récentes en microéconomie appliquée. Introduction,True,A référencer
HAL,Brunetti Roberto,2024.0,"Credit Market Imperfections, Urban Land Rents and the Henry George Theorem",True,A référencer
HAL,Aubert Francis,2024.0,Industrial location and labour demand: a history of change between agglomeration and dispersion,True,A référencer
HAL,Aubert Francis,2024.0,Les espaces ruraux et la politique d'aménagement du territoire,True,A référencer
