Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Le Terrier Christophe,2025,Impact of intensive prone position therapy on outcomes in intubated patients with ARDS related to COVID-19,True,A référencer
HAL,Razazi Keyvan,2025,Ventilator-associated pneumonia related to extended-spectrum beta-lactamase producing Enterobacterales during severe acute respiratory syndrome coronavirus 2 infection: risk factors and prognosis,True,A référencer
HAL,Razazi Keyvan,2025,Care of the critically ill begins in the emergency medicine setting,True,A référencer
HAL,Garcia Chloe,2025,Lateglacial and Holocene palaeoenvironmental evolution of alkaline peatlands in the Somme valley (France): between climate and anthropogenic forcing,True,A référencer
HAL,Gauthier Caroline,2025,The role of information attainment on Front-of-Package labels and individual empowerment impacting boycott behavior,True,A référencer
HAL,Phouybanhdyt Brian,2025,"Datation 14C sur ECHoMICADAS, LSCE, Gif-sur-Yvette : actualisation des protocoles de chimie",True,A référencer
HAL,Jacob Jérémy,2025,Molecular imprints preserved in guano accumulations from southern France caves,True,A référencer
HAL,Bruxelles Laurent,2025,Bat guano in caves: a hig-resolution paleoenvironmental archive of climate change and anthropization,True,A référencer
HAL,Razazi Keyvan,2024,Ventilator-associated pneumonia related to extended-spectrum beta-lactamase producing Enterobacterales during severe acute respiratory syndrome coronavirus 2 infection: risk factors and prognosis,True,A référencer
HAL,Schmidt Matthieu,2024,"Benefits and risks of noninvasive oxygenation strategy in COVID-19: a multicenter, prospective cohort study (COVID-ICU) in 137 hospitals",True,A référencer
HAL,Schmidt Matthieu,2024,Predicting 90-day survival of patients with COVID-19: Survival of Severely Ill COVID (SOSIC) scores,True,A référencer
HAL,Massart Nicolas,2024,Characteristics and prognosis of bloodstream infection in patients with COVID-19 admitted in the ICU: an ancillary study of the COVID-ICU study,True,A référencer
HAL,Massart Nicolas,2024,Correction to: Characteristics and prognosis of bloodstream infection in patients with COVID‑19 admitted in the ICU: an ancillary study of the COVID‑ICU study,True,A référencer
HAL,Le Terrier Christophe,2024,Early prone positioning in acute respiratory distress syndrome related to COVID-19: a propensity score analysis from the multicentric cohort COVID-ICU network—the ProneCOVID study,True,A référencer
HAL,Hajage David,2024,Extracorporeal Membrane Oxygenation for Severe Acute Respiratory Distress Syndrome Associated with COVID-19: An Emulated Target Trial Analysis,True,A référencer
HAL,Giabicani Mikhael,2024,Limitation of life-sustaining therapies in critically ill patients with COVID-19: a descriptive epidemiological investigation from the COVID-ICU study,True,A référencer
HAL,Schmidt Matthieu,2024,"Benefits and risks of noninvasive oxygenation strategy in COVID-19: a multicenter, prospective cohort study (COVID-ICU) in 137 hospitals",True,A référencer
HAL,Giabicani Mikhael,2024,Limitation of life-sustaining therapies in critically ill patients with COVID-19: a descriptive epidemiological investigation from the COVID-ICU study,True,A référencer
HAL,Debizet Gilles,2024,Rapport intermédiaire n° 2 : projet de Recherche Écoquartier NEXUS Énergie,True,A référencer
HAL,Castanet Cyril,2024,"Wetland landscapes in the Southern Maya Lowlands (Naachtun, Guatemala) from the ancient agroecosystems to the tropical biosphere reserve: Ecology, exploitation and management of water and soil resources, and heritage legacy",True,A référencer
HAL,Schmidt Matthieu,2024,"Benefits and risks of noninvasive oxygenation strategy in COVID-19: a multicenter, prospective cohort study (COVID-ICU) in 137 hospitals",True,A référencer
HAL,Le Terrier Christophe,2024,Early prone positioning in acute respiratory distress syndrome related to COVID-19: a propensity score analysis from the multicentric cohort COVID-ICU network—the ProneCOVID study,True,A référencer
HAL,Schmidt Matthieu,2024,Predicting 90-day survival of patients with COVID-19: Survival of Severely Ill COVID (SOSIC) scores,True,A référencer
HAL,Massart Nicolas,2024,Characteristics and prognosis of bloodstream infection in patients with COVID-19 admitted in the ICU: an ancillary study of the COVID-ICU study,True,A référencer
