Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Gomez Cécile,2025,Cartographie et analyse de changements spectraux sur une chronique de données Sentinel-2: Peut-on spatialiser des trajectoires d'états de surface ?,True,A référencer
HAL,Kumari Sweta,2024,Reviewing the Trajectory of Vis-NIR and MIR Spectroscopic Soil Studies in India,True,A référencer
HAL,Ternikar C. R.,2024,Visible and infrared lab spectroscopy for soil texture classification : analysis of entire spectra v/s reduced spectra,True,A référencer
HAL,Wadoux Alexandre M. J.-C.,2024,Un projet de formation francophone en télédétection et cartographie des sols par modélisation statistique,True,A référencer
HAL,Courault Romain,2024,"Assessment of terrestrial carbon stocks from regional to agricultural landscapes using SMAP-L4 Carbon Net Ecosystem Exchange dataset: review and application (Maradi, Republic of Niger)",True,A référencer
HAL,Poulet F.,2024,"Martian surface mineralogy from Observatoire pour la Minéralogie, l'Eau, les Glaces et l'Activité on board the Mars Express spacecraft (OMEGA/MEx): Global mineral maps",True,A référencer
HAL,Loizeau D.,2024,Phyllosilicates in the Mawrth Vallis region of Mars,True,A référencer
HAL,Jouglet D.,2024,Hydration state of the Martian surface as seen by Mars Express OMEGA: 1. Analysis of the 3 μ m hydration feature,True,A référencer
HAL,Poulet F.,2024,Mineralogy of Terra Meridiani and western Arabia Terra from OMEGA/MEx and implications for their formation,True,A référencer
HAL,Poulet F.,2024,Phyllosilicates on Mars and implications for early martian climate,True,A référencer
HAL,Gomez Cécile,2024,Remote sensing of soils : a tool for digital soil mapping. Challenges and limitations.,True,A référencer
ORCID,C. G. Kusuma,2025.0,Predicting Soil Nutrient Classes Using Vis–<scp>NIR</scp> Spectroscopy to Support Sustainable Farming Decisions,A déposer sur HAL,False
ORCID,Chirag Rajendra Ternikar,2024.0,Visible and infrared lab spectroscopy for soil texture classification: Analysis of entire spectra v/s reduced spectra,A déposer sur HAL,False
