Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Castaldi Andrea,2025,Multiblock Metabolomics Responses of the Diatom Phaeodactylum tricornutum Under Benthic and Planktonic Culture Conditions,True,A référencer
HAL,Liénart Camilla,2025,Relationship between bacterial compartment and particulate organic matter (POM) in coastal systems: An assessment using fatty acids and stable isotopes,True,A référencer
HAL,Pouilly Marc,2025,"Trophic Structure and Mercury Biomagnification in Tropical Fish Assemblages, Iténez River, Bolivia",True,A référencer
HAL,Roussel Théotime,2025,Limnospira (Cyanobacteria) chemical fingerprint reveals local molecular adaptation,True,A référencer
HAL,Riera Elisabeth,2024,Des structures artificielles plus sûres pour l'environnement marin,True,A référencer
HAL,Riera Elisabeth,2024,Establishing complexity targets to enhance artificial reef designs,True,A référencer
HAL,David Frank,2024,Sex-specific seasonal variations in the fatty acid and carotenoid composition of sea cucumber gonads and implications for aquaculture,True,A référencer
HAL,Riera Elisabeth,2024,Artificial reef effectiveness changes among types as revealed by underwater hyperspectral imagery,True,A référencer
HAL,Cartaxana Paulo,2024,Photosynthesis from stolen chloroplasts can support sea slug reproductive fitness,True,A référencer
HAL,Spilmont Nicolas,2024,Impact of the Phaeocystis globosa spring bloom on the intertidal benthic compartment in the eastern English Channel: a synthesis.,True,A référencer
ORCID,Andrea Castaldi,2025.0,Multiblock Metabolomics Responses of the Diatom <i>Phaeodactylum tricornutum</i> Under Benthic and Planktonic Culture Conditions,A déposer sur HAL,False
ORCID,Alexandre Desparmet,2025.0,Reactive oxygen species drive downward vertical migration in diatom microphytobenthic biofilms as a strategy to cope with oxidative stress,A déposer sur HAL,False
