Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bonnet Celine,2025,Click and Collect Entry Regulation in the Grocery Retail Sector,True,A référencer
HAL,Gilot-Fromont Emmanuelle,2025,Impacts sur la santé publique de la dynamique des populations de renards,True,A référencer
HAL,Doco-Fenzy Martine,2025,Focus on deletions and duplications identified by Optical Genome Mapping technique in a cohort of 100 patients: comparison with MCA,True,A référencer
HAL,Wirth Thomas,2025,Does Spinocerebellar ataxia 27B mimic cerebellar multiple system atrophy?,True,A référencer
HAL,Gilot-Fromont Emmanuelle,2025,Évaluation des impacts sur la santé publique de la dynamique des populations de renards,True,A référencer
HAL,Thomas Hortense,2024,Expanding the genetic and clinical spectrum of Tatton-Brown-Rahman syndrome in a series of 24 French patients,True,A référencer
HAL,Gautier Michel,2024,Méthodes d’évaluation des risques sanitaires et environnementaux et des enjeux socio-économiques associés aux plantes obtenues au moyen de certaines nouvelles techniques génomiques (NTG),True,A référencer
HAL,Maxim Laura,2024,Moustique tigre en France hexagonale : risque et impacts d’une arbovirose,True,A référencer
HAL,Caputo Sandrine M,2024,5′ Region Large Genomic Rearrangements in the BRCA1 Gene in French Families: Identification of a Tandem Triplication and Nine Distinct Deletions with Five Recurrent Breakpoints,True,A référencer
HAL,Wirth Thomas,2024,Natural History and Phenotypic Spectrum of GAA‐ FGF14 Sporadic Late‐Onset Cerebellar Ataxia (SCA27B),True,A référencer
HAL,Paty Marie-Claire,2024,"Epidémies dues à un arbovirus transmis par le moustique Aedes albopictus en France hexagonale: probabilité d'apparition, ampleur de la transmission et impacts sanitaires, économiques et sociaux",True,A référencer
