Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Isoardi Delphine,2025,"Mobility, Animal Production, and Supply Strategies in the Western Alpine Arc and Its Mediterranean Margins: A Synthesis of Recent Research on the Iron Age",True,A référencer
HAL,Isoardi Delphine,2025,Des outils interdisciplinaires pour l’étude des activités pastorales de la Basse Provence aux Alpes occidentales durant l’âge du Fer,True,A référencer
HAL,Mocci Florence,2025,Protohistoric to Medieval pastoralism in the Western Alps: The origins and development of long-distance transhumance,True,A référencer
HAL,Walsh Kevin,2025,"À la croisée des méthodes : entre analyses bioarchéologiquess, paléoenvironnementales et archéologie culturelle ou comment appréhender l’histoire pastorale des sociétés provençales et alpines sur le long terme",True,A référencer
HAL,Dulias Katharina,2025,The use of sedimentary ancient DNA from lakes in tracing human-environment interactions in the Western Alps,True,A référencer
HAL,Knockaert Juliette,2025,"Le pastoralisme dans tous ses états : exploitation des ressources et gestion des troupeaux dans l’Arc alpin occidental et ses marges méditerranéennes du Néolithique au Moyen Âge (France, Suisse et Italie)",True,A référencer
HAL,Julien Andréa,2025,Dynamiques millénaires de la végétation et des pratiques agro-pastorales sur deux sites des Alpes du Nord : La tourbière des Glières et le lac des Laouchets,True,A référencer
HAL,Julien Andréa,2025,Millennial dynamics of vegetation and agropastoral activities recorded from two sites in the Northern Alps: the Glières peat bog and the Laouchets lake,True,A référencer
HAL,Julien Andréa,2025,7000 years of vegetation dynamics and agro-pastoral activities on the glières plateau (french northern alps),True,A référencer
HAL,Julien Andréa,2025,A methodological approach to elaborate a modern reference in order to evaluate the application of the Landscape Reconstruction Algorithm in the Northern French Alps,True,A référencer
HAL,Julien Andréa,2025,"A 7,000 years trajectory of socio-ecosystems in the montane belt of the northern French Alps",True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Foucher Anthony,2025,Persistence of environmental DNA in cultivated soils: implication of this memory effect for reconstructing the dynamics of land use and cover changes,True,A référencer
HAL,Messager Erwan,2025,"Two Millennia of Complexity and Variability in a Perialpine Socioecological System (Savoie, France): The Contribution of Palynology and sedaDNA Analysis",True,A référencer
HAL,Giguet-Covex Charline,2025,Long-term trajectories of mountain agro-ecosystems in the North-Western Alps,True,A référencer
HAL,Lin Qi,2025,Transient social–ecological dynamics reveal signals of decoupling in a highly disturbed Anthropocene landscape,True,A référencer
HAL,Bajard Manon,2025,Pastoralism increased vulnerability of a subalpine catchment to flood hazard through changing soil properties,True,A référencer
HAL,Bajard Manon,2025,Pastoralism increased vulnerability of a subalpine catchment to flood hazard through changing soil properties,True,A référencer
HAL,Julien Andréa,2025,Performance of the REVEALS model to reconstruct present mountain vegetation cover in the North-Western Alps: A model evaluation for past land cover reconstruction,True,A référencer
HAL,Arnaud Fabien,2024,A tribute to Bruno Wilhelm’s legacy in reading the geological record of lakes,True,A référencer
HAL,Giguet-Covex Charline,2024,The Sources and Fates of Lake Sedimentary DNA,True,A référencer
HAL,Lin Qi,2024,Transient social-ecological dynamics reveal signals of decoupling in a highly disturbed Anthropocene landscape,True,A référencer
HAL,Julien Andréa,2024,Evaluation of the Landscape Reconstruction Algorithm in the Northern French Alps: a methodological approach with modern analogues,True,A référencer
