Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Vignaud Léa,2025,Trace the life history of reef fish by studying the isotopic composition of their eye lens,True,A référencer
HAL,Dromard Charlotte R.,2025,Impact du réchauffement climatique sur les récifs coralliens,True,A référencer
HAL,Ruiz Eliot,2025,In situ estimation of active dispersal abilities in reef fish early life stages using tracking technologies,True,A référencer
HAL,Vignaud Léa,2025,Isotopic Niches of Fish Larvae During Coral Reef Recruitment in a Caribbean Reef,True,A référencer
HAL,Bravo Henrique,2024,Dining on corals: stable isotope evidence for close trophic connection between gall crabs (Cryptochiridae) and their stony coral hosts,True,A référencer
HAL,Chynel Mathias,2024,Sargassum beaching on mangrove sediments shifts microbial and crab metabolisms and enhances blue carbon storage,True,A référencer
HAL,Chatagnon Amélia,2024,Monitoring regenerated nitrogen in reef food webs following Sargassum mass strandings,True,A référencer
HAL,Bon Mélanie,2024,"Impact of the 2023 bleaching event on corals of Martinique, French West Indies",True,A référencer
HAL,Vignaud Léa,2024,How the spatial variation in recruitment could explain the adult distribution of caribbean reef fish?,True,A référencer
HAL,Tailame Anne-Lise,2024,OPALE : un Observatoire des Pollutions Agricoles aux AntilLEs le long du continuum terre-mer,True,A référencer
HAL,Dromard Charlotte R,2024,Monitoring agricultural pollutions from the catchment area to coastal areas,True,A référencer
