Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Farhani Nesrine,2025,Evapotranspiration estimates in Sahel regions using an ensemble contextual model: medium &amp; high spatial resolution data comparison,True,A référencer
HAL,Mwangi Samuel,2025,Ensemble evapotranspiration estimates and uncertainties: EVASPA,True,A référencer
HAL,Chaffaut Quentin,2025,Detectability of the daily evapotranspiration cycle in superconducting gravimeter timeseries according to the measurement configuration,True,A référencer
HAL,Raynaud-Schell Brune,2025,Quantifying groundwater recharge in karstic mediterranean environments controlling surface water and energy transfers,True,A référencer
HAL,Olioso Albert,2025,Daily Evapotranspiration and Water Stress L2 products from the TRISHNA mission.,True,A référencer
HAL,Farhani Nesrine,2025,Remotely sensed evapotranspiration estimates in Sahel regions using EVASPA S-SEBI Sahel (E3S) model: Uncertainty analysis,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modélisation des transferts d'énergie et d'eau à l'interface Surface-Atmosphère dans les forêts méditerranéenne en zone karstique,True,A référencer
HAL,Collet Léna,2025,Modélisation de l’évolution des ressources hydrologiques et végétales au Sahel agropastoral sous contrainte climatique et anthropique,True,A référencer
HAL,Etchanchu Jordi,2025,Impact des pratiques agricoles sur la modélisation écohydrologique en zone agropastorale endoréique sahélienne,True,A référencer
HAL,Ollivier Chloé,2025,"Caractérisation des processus éco-hydro-géologique autour du site de Ceyrac (Pompignan, Gard)",True,A référencer
HAL,Raynaud--Schell Brune,2025,Modelling surface water and energy transfer in karstic mediterranean forests,True,A référencer
HAL,Farhani Nesrine,2025,Spatially remotely sensed evapotranspiration estimates in Sahel regions using an ensemble contextual model : structural uncertainty estimation and reduction,True,A référencer
HAL,Ollivier Chloé,2025,The contribution of remote sensing data assimilation to simulate daily evapotranspiration of irrigated and non-irrigated crops in semi-arid context,True,A référencer
HAL,Olioso Albert,2025,Multimodel – multidata simulations for mapping evapotranspiration and its uncertainty of estimation from remote sensing data,True,A référencer
HAL,Mwangi Samuel,2024,Ensemble Estimation of Evapotranspiration Using EVASPA: a Multi-Data Multi-Method Analysis,True,A référencer
ORCID,quentin Chaffaut,2025.0,Detectability of the daily evapotranspiration cycle in superconducting gravimeter timeseries according to the measurement configuration,A déposer sur HAL,False
ORCID,Samuel Mwangi,2025.0,Ensemble evapotranspiration estimates and uncertainties: EVASPA,A déposer sur HAL,False
ORCID,Lena Collet,2025.0,Climate Change impacts on hydrological and plant resources in the agro-pastoral Sahel,A déposer sur HAL,False
ORCID,Brune Raynaud--Schell,2025.0,Modelling surface water and energy transfer in karstic mediterranean forests,A déposer sur HAL,False
