Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Tarnus R.,2025,Performances de l'imagerie microonde 2D appliquée à la tomographie entre forages,True,A référencer
HAL,Paillassa Eric,2025,Réseau ESPERENSE : une évaluation participative des essences de demain,True,A référencer
HAL,Veuillen Léa,2025,"Pinus halepensis and P. brutia provenances present similar resilience to drought despite contrasting survival, growth, cold tolerance and stem quality: Insights from a 45 year-old common garden experiment",True,A référencer
HAL,Jonquet Clément,2025,Usages d'AgroPortal dans des systèmes d'information à INRAE,True,A référencer
HAL,Meredieu Céline,2025,Charter for access to IN-SYLVA France Services,True,A référencer
HAL,Meredieu Céline,2025,Charte d’accès aux Services d’IN-SYLVA France,True,A référencer
HAL,Pichot Christian,2025,New and Emerging Directions in the Fields of Antennas and Propagation,True,A référencer
HAL,Ricodeau Nicolas,2024,Conseils d'utilisation des matériels forestiers de reproduction : Pin d'Alep (Pinus halepensis) (2ème édition),True,A référencer
HAL,Ricodeau Nicolas,2024,Conseils d'utilisation des matériels forestiers de reproduction : Pin brutia (<i>Pinus brutia</i> Ten.) (2ème édition),True,A référencer
HAL,Yedlin Matthew,2024,Progress on Ultra-Wideband (UWB) Multi-Antenna radar imaging for MIGA,True,A référencer
HAL,Pichot Christian,2024,De la graine à l'arbre : évolutions démographiques et génétiques durant la régénération,True,A référencer
