Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Horemans Joanna,2025,Combining multiple statistical methods to evaluate the performance of process-based vegetation models across three forest stands,True,A référencer
HAL,El Maayar Mustapha,2025,Validation of the Integrated Biosphere Simulator over Canadian deciduous and coniferous boreal forest stands,True,A référencer
HAL,Delire Christine,2025,Physical properties of Amazonian soils: A modeling study using the Anglo‐Brazilian Amazonian Climate Observation Study data,True,A référencer
HAL,Delire Christine,2025,A numerical study of the influence of the diurnal cycle on the surface energy and water budgets,True,A référencer
HAL,Calvet Jean-Christophe,2025,Mapping Surface Parameters for Mesoscale Modeling in Forested and Deforested Southwestern Amazonia,True,A référencer
HAL,François Louis,2025,Modelling the glacial–interglacial changes in the continental biosphere,True,A référencer
HAL,Delire Christine,2025,Evaluating the performance of a land Surface / ecosystem model with biophysical measurements from contrasting environments,True,A référencer
HAL,Kucharik Christopher,2025,"Testing the performance of a dynamic global ecosystem model: Water balance, carbon balance, and vegetation structure",True,A référencer
HAL,Delire Christine,2025,Simulated Response of the Atmosphere‐Ocean System to deforestation in the Indonesian Archipelago,True,A référencer
HAL,Govindasamy B.,2025,Impact of geoengineering schemes on the terrestrial biosphere,True,A référencer
HAL,Delire Christine,2025,Evaluating the carbon cycle of a coupled atmosphere‐biosphere model,True,A référencer
HAL,Foley Jonathan,2025,Green surprise? How terrestrial ecosystems could affect earth’s climate,True,A référencer
HAL,Naik Vaishali,2025,Sensitivity of global biogenic isoprenoid emissions to climate variability and atmospheric CO 2,True,A référencer
HAL,Snyder P.,2025,Evaluating the influence of different vegetation biomes on the global climate,True,A référencer
HAL,Delire Christine,2025,Long-term internal variability in a coupled atmosphere-biosphere model,True,A référencer
HAL,Snyder Peter,2025,Analyzing the effects of complete tropical forest removal on the regional climate using a detailed three‐dimensional energy budget: An application to Africa,True,A référencer
HAL,Govindasamy B.,2025,Increase of carbon cycle feedback with climate sensitivity: results from a coupled climate and carbon cycle model,True,A référencer
HAL,Bala G.,2025,Multicentury Changes to the Global Climate and Carbon Cycle: Results from a Coupled Climate and Carbon Cycle Model,True,A référencer
HAL,Ramankutty N,2025,Feedbacks between agriculture and climate: An illustration of the potential unintended consequences of human land use activities,True,A référencer
HAL,Bala G.,2025,Combined climate and carbon-cycle effects of large-scale deforestation,True,A référencer
HAL,Delire Christine,2025,"Correction for Bala et al., Combined climate and carbon-cycle effects of large-scale deforestation",True,A référencer
HAL,Amali Amali,2024,Biogeochemical versus biogeophysical temperature effects of historical land-use change in CMIP6,True,A référencer
HAL,Hardouin Lucas,2024,Climate‐Driven Projections of Future Global Wetlands Extent,True,A référencer
HAL,Beranger Sandra,2024,Linking the changes in groundwater recharge to community structure and the functioning of freshwater ecosystems,True,A référencer
ORCID,Lucas Hardouin,2025.0,Assessing the Impact of Climate Change on Global Wetland Extent using CMIP6 multi-model analysis.,A déposer sur HAL,False
