Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Carpentier Alexandre,2025,Importance of the microphytobenthos in the foodweb of tropical mudflats,True,A référencer
HAL,Doray Mathieu,2025,"Monitoring small pelagic fish in the Bay of Biscay ecosystem, using indicators from an integrated survey",True,A référencer
HAL,Moncelon Raphaël,2025,Sediment implication in shift in nutrient limitation and impact on purification capacity: Application on a common Atlantic east coast pond,True,A référencer
HAL,Duran Clélia,2025,Towards a comprehensive view of wetland benthic communities,True,A référencer
HAL,Grandremy Nina,2025,Metazoan zooplankton in the Bay of Biscay: 16 years of individual sizes and abundances from the ZooScan and ZooCAM imaging systems,True,A référencer
HAL,Romagnan Jean-Baptiste,2025,ZooCAMNet : plankton images captured with the ZooCAM,True,A référencer
HAL,Moncelon Raphaël,2025,"Sedimentary geochemistry in P-limited freshwater drained marshes (Charente-Maritime, France): Original drivers for phosphorus mobilization",True,A référencer
HAL,Dupuy Christine,2024,Trophic relationships between metazooplankton communities and their plankton food sources in the Iles Eparses (Western Indian Ocean),True,A référencer
HAL,Moreau Axelle,2024,"Spatio-temporal assessment of the relationship between freshwater invertebrates and environmental characteristics in Vendée wetlands, France",True,A référencer
HAL,Duran Clélia,2024,"Importance of eukaryotes in shaping microbial benthic communities in Charente-maritime marshes, France",True,A référencer
HAL,Moreau Axelle,2024,"Home range sizes and nychthemeral habitat uses by the Northern Shoveler Spatula clypeata on prenuptial stopovers in Vendée marshes, western France",True,A référencer
HAL,Moncelon Raphaël,2024,"Coupling between sediment biogeochemistry and phytoplankton development in a temperate freshwater marsh (Charente-Maritime, France): Evidence of temporal pattern",True,A référencer
HAL,Grandremy Nina,2024,Metazoan zooplankton in the Bay of Biscay: a 16-year record of individual sizes and abundances obtained using the ZooScan and ZooCAM imaging systems,True,A référencer
HAL,Chouvelon Tiphaine,2024,Trophic ecology of European sardine Sardina pilchardus and European anchovy Engraulis encrasicolus in the Bay of Biscay (north-east Atlantic) inferred from delta C-13 and delta N-15 values of fish and identified mesozooplanktonic organisms,True,A référencer
HAL,Grandremy Nina,2024,The ZooScan and the ZooCAM zooplankton imaging systems are intercomparable: A benchmark on the Bay of Biscay zooplankton,True,A référencer
HAL,Gaucherel Cedric,2024,Diagnosis of planktonic trophic network dynamics with sharp qualitative changes,True,A référencer
HAL,Bergeon Lauriane,2024,Effet de la reconnexion d'un marais d'eau douce à la mer sur les communautés planctoniques et l'ichtyofaune: Cas du marais côtier urbain de Tasdon en Charente-Maritime,True,A référencer
HAL,Amann Benjamin,2024,Understanding sediment and carbon accumulation in macrotidal minerogenic saltmarshes for climate resilience,False,A référencer
ORCID,Axelle Moreau,2024.0,"Home range sizes and nychthemeral habitat uses by the Northern Shoveler (Spatula clypeata) on prenuptial stopovers in Vendée marshes, western France",A déposer sur HAL,False
