Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Copard Yoann,2025,Soil Carbon Dynamics Reshaped by Ancient Carbon Quantification,True,A référencer
HAL,Jamoteau Floriane,2025,15-years of organic fertilization led to an increase of total C but also turnover of native-C using 13C,True,A référencer
HAL,Jędrzejowski Maksymilian,2025,How precise can the calibration of a single radiocarbon measurement be?,True,A référencer
HAL,Kader Elias,2025,Fiabilisation de la datation 14C des coquilles d’escargots : vers une approche innovante par la conchyoline,True,A référencer
HAL,Hatté Christine,2025,"Le réseau REFRAIN : une expertise indispensable, à votre disposition, pour des chronologies 14C fiables",True,A référencer
HAL,Phouybanhdyt Brian,2025,"Datation 14C sur ECHoMICADAS, LSCE, Gif-sur-Yvette : actualisation des protocoles de chimie",True,A référencer
HAL,Vercelot Salomé,2025,Variabilité climatique rapide pendant le dernier glaciaire : nouveaux apports chronologiques des séquences loess-paléosols du Nord de la France,True,A référencer
HAL,Fontugne Michel,2024,Global sea level changes as indicated by 14C and 230Th/234U dating of marine terraces in the Persian Gulf and along the Makran Coast (Iran),True,A référencer
HAL,Thil François,2024,14C microsample analysis with ECHoMICADAS facilities: current state of play,True,A référencer
HAL,Hatté Christine,2024,Chronology of dust archives,True,A référencer
HAL,Hatté Christine,2024,14C dating of plant macrofossils,True,A référencer
HAL,Antoine Pierre,2024,Nussloch: 30 years of multidisciplinary research to establish a European reference loess sequence for the last glacial period,True,A référencer
HAL,Henneron Ludovic,2024,Bioenergetic control of soil carbon dynamics across depth,True,A référencer
HAL,Fontugne Michel,2024,Variability of radiocarbon reservoir age effects in lakes and rivers in Anatolia and lasser Caucasus.,True,A référencer
HAL,Irani Rahaghi Abolfazl,2024,Combined Earth observations reveal the sequence of conditions leading to a large algal bloom in Lake Geneva,True,A référencer
HAL,Hatté Christine,2024,14C dating of plant macrofossils,True,A référencer
HAL,Banzet Gilles,2024,Le thésaurus de paléoclimatologie : création et perspectives d'utilisation,True,A référencer
HAL,Castanet Cyril,2024,"Wetland landscapes in the Southern Maya Lowlands (Naachtun, Guatemala) from the ancient agroecosystems to the tropical biosphere reserve: Ecology, exploitation and management of water and soil resources, and heritage legacy",True,A référencer
HAL,Hughes-Allen Lara,2024,"Corrigendum: 14,000-Year Carbon Accumulation Dynamics in a Siberian Lake Reveal Catchment and Lake Productivity",True,A référencer
HAL,Lourdeau Antoine,2024,"Il y a 10 000 ans, sur les rives du fleuve Uruguay, dans le Sud du Brésil.",True,A référencer
HAL,Santos Marcos César Pereira,2024,"Geoarchaeology of open-air sites of the Foz do Chapecó area in the upper Uruguay river, southern Brazil",True,A référencer
ORCID,Michel Fontugne,2024.0,VARIABILITY OF RADIOCARBON RESERVOIR AGE EFFECTS IN LAKES AND RIVERS IN ANATOLIA AND LESSER CAUCASUS,A déposer sur HAL,False
ORCID,François Thil,2024.0,14C MICROSAMPLE ANALYSIS WITH ECHoMICADAS FACILITIES: CURRENT STATE OF PLAY,A déposer sur HAL,False
ORCID,Christine Hatté,2024.0,"RADIOCARBON DATING ON ECHOMICADAS, LSCE, GIF-SUR-YVETTE, FRANCE: NEW AND UPDATED CHEMICAL PROCEDURES",A déposer sur HAL,False
