Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Aurias Aline,2025.0,Mangroves et Dynamique Côtière sur le littoral des Guyanes,True,A référencer
HAL,E. B. Fernandes Marcus,2025.0,"IUCN Red List of Ecosystems, Mangroves of the North Brazil Shelf",True,A référencer
HAL,Couteron Pierre,2025.0,Linking remote-sensing information to tropical forest structure : the crucial role of modelling,True,A référencer
HAL,Longépée Esméralda,2024.0,Mangroves require social-ecological systemic research,True,A référencer
HAL,Staquet Adrien,2024.0,Establishment of mangroves on a new mud bank by a combination of UAS SfM photogrammetry and LiDAR monitoring,True,A référencer
HAL,Blanchard Elodie,2024.0,Monitoring mangroves with multi-sensor Earth Observation data sets: from one-shot historical cartography to online and near-real-time monitoring tools,True,A référencer
HAL,Anthony Edward,2024.0,Nearshore intertidal topography and topographic-forcing mechanisms of an Amazon-derived mud bank in French Guiana,True,A référencer
HAL,Anthony Edward,2024.0,The Amazon-influenced muddy coast of South America: A review of mud-bank–shoreline interactions,True,A référencer
HAL,Gardel Antoine,2024.0,A better understanding of mud cracking processes gained from in situ measurements on an intertidal mudflat in French Guiana,True,A référencer
HAL,Muthusankar Gowrappan,2024.0,A review of the effectiveness of some Asian mangrove restoration initiatives,True,A référencer
HAL,Comte A.,2024.0,Blue carbon credits: a lot of promises but even more uncertainties for the Global South,True,A référencer
HAL,Proisy Christophe,2025.0,Mangroves: a natural early-warning system of erosion on open muddy coasts in French Guiana,True,A référencer
