Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Copard Yoann,2025.0,Soil Carbon Dynamics Reshaped by Ancient Carbon Quantification,True,A référencer
HAL,Rees Frédéric,2025.0,Vers une modélisation mécaniste des interactions trophiques entre racines et microorganismes du sol,True,A référencer
HAL,Rees Frédéric,2025.0,Modelling plant growth and rhizodeposition based on the distribution of sugars within the plant,True,A référencer
HAL,Rees Frédéric,2025.0,RhizoDep: Modelling the contribution of roots to soil carbon dynamics using a 3D Functional-Structural Plant Model,True,A référencer
HAL,Rees Frédéric,2025.0,Modéliser la rhizodéposition pour mieux comprendre le cycle du carbone dans les systèmes sol-plante,True,A référencer
HAL,Chirol Clémentine,2025.0,Effect of texture and management practices on soil structure dynamics and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025.0,Effect of agricultural management practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025.0,Effect of agricultural practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025.0,Effect of agricultural management practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025.0,Effet des pratiques agricoles sur la stabilité structurale des sols et la déprotection des matières organiques lors de cycles de dessiccation-réhumectation,True,A référencer
HAL,Chirol Clémentine,2025.0,"Estimation de la capacité de stockage additionnel de carbone organique dans les sols à horizon 2050 à l'échelle d'un petit territoire, en fonction du type de sol et de la profondeur",True,A référencer
HAL,Chevallier Tiphaine,2025.0,Contribution of inorganic carbon to CO2 emissions under a Mediterranean agroforestry system,True,A référencer
HAL,Cardinael Rémi,2025.0,Organic carbon decomposition rates with depth and contribution of inorganic carbon to CO2 emissions under a Mediterranean agroforestry system,True,A référencer
HAL,Fukumasu Jumpei,2025.0,Effects of long-term soil managements on the nature of OC in organo-mineral associations in temperate arable soils: selective dissolution approach,True,A référencer
HAL,Delahaie Amicie,2025.0,Can secular stable soil organic carbon be isolated? An assessment of Zimmermann fractionation using a long-term bare fallow,True,A référencer
HAL,Chenu Claire,2025.0,Peut-on gérer les sols à la fois pour la sécurité alimentaire et le climat?,True,A référencer
HAL,Chenu Claire,2025.0,Interersarse por los suelos ? Lectio Honoris Causa,True,A référencer
HAL,Chenu Claire,2025.0,"Methods for studying soil organic matter: nature, dynamics, spatial accessibility, and interactions with minerals",True,A référencer
HAL,Chenu Claire,2025.0,Strengthening policy through science: the contribution of the EJP SOIL programme to EU Soil Monitoring and Resilience Directive Proposal,True,A référencer
HAL,Schroeder Julia,2025.0,Corrigendum to “Liming effects on microbial carbon use efficiency and its potential consequences for soil organic carbon stocks” [Soil Biol. Biochem. 191 109342],True,A référencer
HAL,Matson Amanda,2025.0,A framework for setting soil carbon targets and thresholds in agricultural soils,True,A référencer
HAL,Matson Amanda,2025.0,Four approaches to setting soil health targets and thresholds in agricultural soils,True,A référencer
HAL,Joimel Sophie,2025.0,Biodiversité tellurique en agriculture de conservation des sols,True,A référencer
HAL,Kpemoua Tchodjowiè Panaewazou Israël,2024.0,Le carbone organique additionnel stocké grâce à des pratiques agroécologiques est-il stable à l'échelle de la décennie ?,True,A référencer
HAL,Chenu Claire,2024.0,Les sols: une resource à protéger?,True,A référencer
HAL,Chenu Claire,2024.0,Regard d’experts scientifiques et techniques sur la proposition de directive européenne relative à la surveillance et à la résilience des sols,True,A référencer
HAL,Barré Pierre,2024.0,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Barré Pierre,2024.0,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Smith Pete,2024.0,Status of the World's Soils,True,A référencer
HAL,Chenu Claire,2024.0,"Storing additional carbon in soil: different practices, different stabilities of the organic matter?",True,A référencer
HAL,Thorsøe Martin Hvarregaard,2024.0,Correction to: Sustainable soil management: Soil knowledge use and gaps in Europe,True,A référencer
HAL,Almeida Tania Mara Campos De,2024.0,Evolution of Fauna Communities on Newly Installed Rooftop Gardens,True,A référencer
HAL,Froger Claire,2024.0,Comparing LUCAS Soil and national systems: Towards a harmonized European Soil monitoring network,True,A référencer
HAL,Cardinael Rémi,2024.0,Belowground functioning of agroforestry systems: recent advances and perspectives,True,A référencer
HAL,Meurer Katharina H E,2024.0,How does national SOC monitoring on agricultural soils align with the EU strategies? An example using five case studies,True,A référencer
HAL,van Oort Folkert,2024.0,Can long-term fertilization accelerate pedogenesis? Depicting soil processes boosted by annual NPK-inputs since 1928 on bare loess Luvisol (INRAE-Versailles),True,A référencer
HAL,Ranjard Lionel,2024.0,"Emission radio ""La Terre au carré"", France Inter, 3 avril 2024. Les champignons du sol",True,A référencer
HAL,Ferchaud Fabien,2024.0,Changes in soil carbon stocks and distribution under perennial and annual bioenergy crops,True,A référencer
HAL,Tondini E.,2024.0,Different approaches to soil monitoring: comparison between national soil information monitoring systems (N-SIMS) and LUCAS soil,True,A référencer
HAL,Nunan Naoise,2024.0,Heterogeneity and C dynamics in soil,True,A référencer
HAL,Bispo Antonio,2024.0,"National soil data in EU Countries, where do we stand?",True,A référencer
HAL,Poinçot Flavien,2024.0,"The French Network of scientific and technical expertise on soil: Feedback from a hub to stimulate interactions between experts, decision makers and local authorities.",True,A référencer
HAL,Thorsøe Martin Hvarregaard,2024.0,Sustainable soil management: Soil knowledge use and gaps in Europe,True,A référencer
HAL,Matson Amanda,2024.0,A framework for setting soil health targets and thresholds in agricultural soils,True,A référencer
HAL,Chenu Claire,2024.0,The interplay of soil spatial heterogeneity and water in stabilizing and destabilizing soil organic matter,True,A référencer
HAL,Schroeder Julia,2024.0,Response to Čapek and Šantrůčková’s comment to “Liming effects on microbial carbon use efficiency and its potential consequences for soil organic carbon stocks” [Soil Biology and Biochemistry 194: 109437],True,A référencer
HAL,Bölscher Tobias,2024.0,Carbon stabilization in soil after organic amendment application -A comparison of two biomass use scenarios,True,A référencer
HAL,van Oort Folkert,2024.0,Evolutions pédologiques centenaires et bilans géochimiques contemporains : intérêt de l’essai de longue durée en sol nu des 42 parcelles.,True,A référencer
HAL,Houot Sabine,2024.0,Les dispositifs de longue durée à Grignon Dehérain et 36 parcelles,True,A référencer
HAL,Chenu Claire,2024.0,Essai des Closeaux INRA Versailles,True,A référencer
HAL,Chenu Claire,2024.0,Les jachères nues de longue durée: une plateforme pour analyser la dynamique du carbone dans les sols,True,A référencer
HAL,Barré Pierre,2024.0,Étudier le carbone organique persistant des sols à l'aide des jachères nues de longue durée,True,A référencer
HAL,Israel Kpemoua Tchodjowiè,2024.0,Is the additional organic carbon stored thanks to alternative cropping systems and organic waste products application predominantly stable at a decadal timescale?,True,A référencer
HAL,Cardinael Rémi,2024.0,Organic carbon decomposition rates with depth under an agroforestry system in a calcareous soil,True,A référencer
HAL,Cardinael Rémi,2024.0,Spatial variation of earthworm communities and soil organic carbon in temperate agroforestry,True,A référencer
HAL,Védère Charlotte,2024.0,Spatial and temporal evolution of detritusphere hotspots at different soil moistures,True,A référencer
HAL,Pellerin Sylvain,2024.0,Identifying cost-competitive greenhouse gas mitigation potential of French agriculture,True,A référencer
HAL,Bispo Antonio,2024.0,Dados e indicadores para avaliar e mapear a saúde do solo,True,A référencer
HAL,Paz Ana Marta,2024.0,Collected knowledge on the impacts of agricultural soil management practices in Europe,True,A référencer
HAL,Schroeder Julia,2024.0,Liming effects on microbial carbon use efficiency and its potential consequences for soil organic carbon stocks,True,A référencer
HAL,Don Axel,2024.0,Reply letter to Munoz et al. ‘on the importance of time in carbon sequestration in soils and climate change mitigation’—Keep carbon sequestration terminologies consistent and functional,True,A référencer
HAL,Chenu Claire,2024.0,The « 4 per 1000 » initiative. Soils for food security and climate,True,A référencer
HAL,Chenu Claire,2024.0,Closing the loop between soils and lignocelluloses to address global challenges,True,A référencer
HAL,Chenu Claire,2024.0,Decadal and centennial scale stable soil organic carbon : insights from long term bare fallows,True,A référencer
HAL,Chenu Claire,2024.0,Managing soil organic matter in agricultural soils via plant inputs: recent perspectives and knowledge gaps,True,A référencer
HAL,Chenu Claire,2024.0,ODD : Lutte contre la faim / Levier: agriculture,True,A référencer
HAL,Chenu Claire,2024.0,Stockage et stabilisation des matières organiques dans les sols agricoles,True,A référencer
HAL,Paustian Keith,2024.0,CLIMATE MITIGATION POTENTIAL OF REGENERATIVE AGRICULTURE IS SIGNIFICANT!,True,A référencer
HAL,Somogyi Dalma,2024.0,THE BUSINESS CASE FOR INVESTING IN SOIL HEALTH,True,A référencer
HAL,Park Ye Lim,2024.0,Soil Carbon Sequestration in Urban Soils and Its Relation to Microbial Functions,True,A référencer
HAL,Chenu Claire,2024.0,Qualité des sols en milieu urbain,True,A référencer
HAL,Chenu Claire,2024.0,Le projet de directive du parlement européen et du conseil relative à la surveillance et à la résilience des sols,True,A référencer
HAL,Chenu Claire,2024.0,Are SOC storing soils more sensitive / more vulnerable to climate change?A laboratory evaluation for microbial respiration,True,A référencer
HAL,Chenu Claire,2024.0,Les fonctions et services rendus par les sols,True,A référencer
HAL,Chenu Claire,2024.0,Increasing soil organic C storage and persistence in soils: levers associated with microbial and physical controls,True,A référencer
HAL,Chenu Claire,2024.0,Are SOC storing soils more sensitive / more vulnerable to climate change?A laboratory evaluation for temperate agricultural soils,True,A référencer
HAL,Chenu Claire,2024.0,Moisture controls on soil organic matter dynamics: from microbial habitats to sustainable climate-smart soils,True,A référencer
HAL,Kpemoua Tchodjowiè P.I.,2024.0,Drivers of the amount of organic carbon protected inside soil aggregates estimated by crushing: A meta-analysis,True,A référencer
HAL,Kpemoua Tchodjowiè P. I.,2024.0,"Assessment of soil organic carbon (SOC) sensitivity to increasing temperatures, soil moisture, and dry-wet cycles in temperate agricultural soils",True,A référencer
HAL,Kpemoua Tchodjowiè Israel,2024.0,Biogeochemical stability of additional carbon stored under alternative agricultural practices and organic waste product application: what do granulo-densimetric fractionation and Rock-Eval® thermal analysis tell us?,True,A référencer
HAL,Delahaie Amicie,2024.0,Rock-Eval®-RMQS: Monitoring the Characteristics of SOM on the French Territory with Rock-Eval® 6 Thermal Analysis to Assess its Stability,True,A référencer
HAL,Grard Baptiste J.-P.,2024.0,Rooftops farming on urban waste provide many ecosystem services,True,A référencer
HAL,Chenu Claire,2024.0,The potential of carbon farming in Europe,True,A référencer
HAL,Chenu Claire,2024.0,Sustainable agricultural soil management to sequester carbon,True,A référencer
HAL,Chenu Claire,2024.0,La contribution des sols agricoles au changement climatique: adaptation et atténuation,True,A référencer
HAL,Chenu Claire,2024.0,Face au changement climatique: gérer les matières organiques des sols,True,A référencer
HAL,Chenu Claire,2024.0,Soils in the EU Green Deal,True,A référencer
HAL,Chenu Claire,2024.0,La séquestration terrestre du carbone : quel est le rôle des sols?,True,A référencer
HAL,Chenu Claire,2024.0,Towards healthy soils with the EJP SOIL,True,A référencer
HAL,Chenu Claire,2024.0,Europe’s most precious resource: How can we kick start the transition in soil management?,True,A référencer
HAL,Poeplau Christopher,2024.0,Isolating organic carbon fractions with varying turnover rates in temperate agricultural soils – A comprehensive method comparison,True,A référencer
HAL,Rumpel Cornelia,2024.0,Studies from global regions indicate promising avenues for maintaining and increasing soil organic carbon stocks,True,A référencer
HAL,Higgins Suzanne,2024.0,Stocktake study of current fertilisation recommendations across Europe and discussion towards a more harmonised approach,True,A référencer
HAL,Chenu Claire,2024.0,An introduction to the EJP SOIL,True,A référencer
HAL,Chenu Claire,2024.0,Les matières organiques des sols. Formation AgroEcoSol,True,A référencer
HAL,Chenu Claire,2024.0,Healthy soils to combat climate change and end hunger,True,A référencer
HAL,Rumpel Cornelia,2024.0,The role of the 4p1000 initiative in defining research priorities for soil organic carbon under the sustainable development agenda,True,A référencer
HAL,Hirte Juliane,2024.0,"Mutual interactions between decaying plant litter, soil microorganisms and mineral particles, controlled by soil texture",True,A référencer
HAL,Chenu Claire,2024.0,Stabilization-destabilization of soil organic matter in the long term : insights from long term bare fallows,True,A référencer
HAL,Soucémarianadin Laure,2024.0,The contribution of deep soil horizons to persistent organic carbon sequestration in French forest soils,True,A référencer
HAL,Kpemoua Tchodjowiè Panaewazou Israël,2024.0,Les sols stockant du carbone sont-ils plus sensibles au changement climatique ?,True,A référencer
HAL,Schroeder Julia,2024.0,Can we manage microbial carbon use efficiency via liming?,True,A référencer
HAL,Pot Valérie,2024.0,Towards a quantification of the interactions between soil architecture and microbial dynamics under a dynamical soil architecture,True,A référencer
HAL,Delahaie Amicie,2024.0,Complementarity and drivers of thermal and physical soil organic carbon fractions at the scale of mainland France,True,A référencer
HAL,Mason Eloïse,2024.0,Point de vue des acteurs sur l'accès à la connaissance sur les sols en France. Quelles améliorations possibles ?,True,A référencer
HAL,Giacche Giulia,2024.0,Les services écosystémiques culturels et paysagers rendus par les microfermes urbaines,True,A référencer
HAL,Soucémarianadin Laure,2024.0,Predicting 20-year soil organic carbon loss using Rock-Eval 6 thermal analysis,True,A référencer
HAL,Rabot Eva,2024.0,Relevance of the organic carbon to clay ratio as a national soil health indicator,True,A référencer
HAL,Poeplau Christopher,2024.0,Cover crops do increase soil organic carbon stocks—A critical comment on Chaplot and Smith (2023),True,A référencer
HAL,Barre Pierre,2024.0,Microbial and plant-derived compounds both contribute to persistent soil organic carbon in temperate soils,True,A référencer
HAL,Schroeder Julia,2024.0,Liming effects on microbial carbon use efficiency and its potential consequences for soil organic carbon stocks,True,A référencer
HAL,Mason Eloise,2024.0,Stakeholders' point of view on access to soil knowledge in France. What are the opportunities for further improvement?,True,A référencer
HAL,Evans Daniel,2024.0,Sustainable futures over the next decade are rooted in soil science,True,A référencer
HAL,Rumpel Cornelia,2024.0,"The 4p1000 initiative: Opportunities, limitations and challenges for implementing soil organic carbon sequestration as a sustainable development strategy",True,A référencer
HAL,Chenu Claire,2024.0,Carbon farming for soil health and climate,True,A référencer
HAL,Chenu Claire,2024.0,Préservation et augmentation du carbone dans les sols: Etat des lieux et perspectives,True,A référencer
HAL,Chenu Claire,2024.0,Les potentialités de stockage de carbone dans les sols agricoles,True,A référencer
HAL,Chenu Claire,2024.0,Managing soil organic matter in agricultural soils via plant inputs,True,A référencer
HAL,Chenu Claire,2024.0,Increasing soil organic carbon stocks for climate change mitigation and adaptation: what is the sequestration potential?,True,A référencer
HAL,Chenu Claire,2024.0,"How to make Carbon Farming a Success for Climate, Environment and Farmers?",True,A référencer
HAL,Chenu Claire,2024.0,Is sustainable soil management climate-smart?,True,A référencer
HAL,Chenu Claire,2024.0,Increasing organic stocks in agricultural soils : knowledge gaps and potential innovations,True,A référencer
HAL,Chenu Claire,2024.0,Presenting soil health initiatives : A research programme towards the climate-smart and sustainable management of soils,True,A référencer
HAL,Chenu Claire,2024.0,The future of soils: challenges regarding agricultural soils,True,A référencer
HAL,Chenu Claire,2024.0,Soil organic matter to mitigate and to adapt to climate change,True,A référencer
HAL,Chenu Claire,2024.0,When does increased SOC storage yield net removal of greenhouse gases ?,True,A référencer
HAL,Chenu Claire,2024.0,Climate-smart soils : from microhabitats to management,True,A référencer
HAL,Chenu Claire,2024.0,Séquestration terrestre du carbone : qu’est ce que c’est ? Invited presentation (on-line),True,A référencer
HAL,Chenu Claire,2024.0,"La matière organique des sols, qu’est ce que c’est?",True,A référencer
HAL,Chenu Claire,2024.0,Vers une gestion durable des sols,True,A référencer
HAL,Angers Denis,2024.0,A well‐established fact: rapid mineralization of organic inputs is an important factor for soil carbon sequestration,True,A référencer
HAL,Rumpel Cornelia,2024.0,The Role of Soil Carbon Sequestration in Enhancing Human Resilience in Tackling Global Crises Including Pandemics,True,A référencer
HAL,Chenu Claire,2024.0,The role and importance of soil organic carbon for soil health and climate change mitigation,True,A référencer
HAL,Chenu Claire,2024.0,Le sol en quelques mots,True,A référencer
HAL,Chenu Claire,2024.0,"Les sols, une ressource naturelle à la croisée de nombreux enjeux",True,A référencer
HAL,Chenu Claire,2024.0,Climate-smart sustainable soil management for multiple benefits,True,A référencer
HAL,Chenu Claire,2024.0,Soil management for climate and food security,True,A référencer
HAL,Chenu Claire,2024.0,Stocker du carbone dans les sols. Pourquoi et comment ?,True,A référencer
HAL,Chenu Claire,2024.0,Soils for nature-based solutions,True,A référencer
HAL,Chenu Claire,2024.0,Estimer le potentiel de stockage de carbone dans les sols agricoles,True,A référencer
HAL,Barré Pierre,2024.0,"Indicateurs de flux (> décennie) et stockage de carbone dans les sols agricoles, forestiers et urbains",True,A référencer
HAL,Chenu Claire,2024.0,Effets et services environnementaux associés aux modalités de travail du sol,True,A référencer
HAL,Chenu Claire,2024.0,Managing carbon storage in soils for sustainable agroecosystems,True,A référencer
HAL,Chenu Claire,2024.0,Soil microbial hotspots across moisture conditions,True,A référencer
HAL,Chenu Claire,2024.0,Climate-smart sustainable management of agricultural soils to address land degradation and restoration,True,A référencer
HAL,Chenu Claire,2024.0,Microbial habitats shape soil organic matter dynamics. Why care about the microscale when issues are global ?,True,A référencer
HAL,Chenu Claire,2024.0,Soil carbon: key to address vulnerabilities of agriculture to climate change and food security issues,True,A référencer
HAL,Chenu Claire,2024.0,From microbial habitats to sustainable and climate smart soils,True,A référencer
HAL,Chenu Claire,2024.0,Carbon sequestration in soils,True,A référencer
HAL,Chenu Claire,2024.0,Stockage et stabilisation des matières organiques dans les sols,True,A référencer
HAL,Chenu Claire,2024.0,Organic matter as a soil-ution to global challenges ?,True,A référencer
HAL,Chenu Claire,2024.0,Les sols pour la sécurité alimentaire et le climat: l’initiative 4p1000,True,A référencer
HAL,Chenu Claire,2024.0,Soils to address global challenges : the « 4 per 1000 » initiative,True,A référencer
HAL,Chenu Claire,2024.0,Séquestration de carbone dans les sols: Leviers d’action à l’échelle des territoires,True,A référencer
HAL,Chenu Claire,2024.0,Services écosystémiques fournis par la biodiversité des sols : introduction,True,A référencer
HAL,Chenu Claire,2024.0,Séquestration de carbone dans les sols: Leviers d’action à l’échelle des territoires L’initiative 4p1000,True,A référencer
HAL,Chenu Claire,2024.0,Are orchards beneficial for the environment? Benefits from and to carbon storage,True,A référencer
HAL,Grard Baptiste,2024.0,Rooftop farming on urban waste provide many ecosystem services,True,A référencer
HAL,Cortet Jérôme,2024.0,"Mieux intégrer les sols dans la séquence ""Eviter-Réduire-Compenser",True,A référencer
HAL,Raous S.,2024.0,"L'exposition ""Sols fertiles, vies secrètes"" du Sénat, ses panneaux de sensibilisation, leurs déclinaisons, leur diffusion et leurs impacts",True,A référencer
HAL,Barré Pierre,2024.0,"La séquestration de carbone dans les sols agricoles, forestiers et urbains : état des lieux des méthodes d’évaluation et de quantification",True,A référencer
HAL,Aubry Christine,2024.0,Urban Farming: From Discovery to Knowledge in the EEBI Chair,True,A référencer
HAL,Mason Eloise,2024.0,Policy brief on soil monitoring systems,True,A référencer
ORCID,Claire Chenu,2025.0,Pore scale microbial biogeography across different soil types,A déposer sur HAL,False
ORCID,Eloise Mason,2025.0,Scientific Indicators and Stakeholders' Perceptions on Soil Threats in France: How Do They Compare?,A déposer sur HAL,False
