Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Cologna Viktoria,2025,Trust in scientists and their role in society across 68 countries,True,A référencer
HAL,Ménissier Thierry,2025,Comment rendre les Conventions citoyennes pour le climat encore plus démocratiques ?,True,A référencer
HAL,Hognon Louis,2025,A call for robust evaluations of the impacts of serious games for climate change mitigation: example with The Climate Fresk conducted among 2 million participants from 150 countries,True,A référencer
HAL,Teran-Escobar Claudia,2025,"Corrigendum: Individual, Sociodemographic, and Environmental Factors Related to Physical Activity During the Spring 2020 COVID-19 Lockdown",True,A référencer
HAL,Teran-Escobar Claudia,2025,"Understanding the Individual, Sociodemographic and Mobility-Related Factors Associated with Active and Sustainable Mobility: A Mixed-Methods Study",True,A référencer
HAL,Chalabaev Aina,2025,Development of an intervention to change mobility behaviors,True,A référencer
HAL,Teran-Escobar Claudia,2025,"Individual, sociodemographic and environmental factors associated to physical activity during the COVID-19 lockdown",True,A référencer
HAL,Teran-Escobar Claudia,2025,From understanding the factors of active and sustainable mobility to developing a behavior change intervention,True,A référencer
HAL,Teran-Escobar Claudia,2025,D’une pierre deux coups : être écolo et actif physiquement pendant nos déplacements est possible !,True,A référencer
HAL,Teran-Escobar Claudia,2025,À deux ou quatre roues : mobilité et tentations,True,A référencer
HAL,Teran-Escobar Claudia,2025,La ville devant soi : quel avenir pour nos villes ?,True,A référencer
HAL,Teran-Escobar Claudia,2025,"L’activité physique pendant nos déplacements : bénéfique pour la santé, le bien-être et… l’environnement ?",True,A référencer
HAL,Teran-Escobar Claudia,2025,L’individu et le changement de mobilité en ville : au-délà des (bonnes) intentions et de la motivation,True,A référencer
HAL,Teran-Escobar Claudia,2025,Changer l'air (le monde) : Est-ce qu'une folie à nulle autre seconde ?,True,A référencer
HAL,Teran-Escobar Claudia,2025,Les apports de l'économie comportementale et la psychologie à la création des politiques publiques efficaces: MOBILAIR,True,A référencer
HAL,Teran-Escobar Claudia,2025,InterMob: de la compréhension des facteurs influençant la mobilité active et durable à l’élaboration d’une intervention de changement de comportements ciblant le changement de mobilité,True,A référencer
HAL,Teran-Escobar Claudia,2025,Self-control resources and past physical activity as predictors of the evolution of physical activity during COVID-19 lockdown,True,A référencer
HAL,Teran-Escobar Claudia,2025,An interdisciplinary intervention to reduce car use,True,A référencer
HAL,Teran-Escobar Claudia,2025,InterMob: a randomized controlled intervention targeting a more active and sustainable mobility in France,True,A référencer
HAL,Teran-Escobar Claudia,2025,The protective role of usual healthy behaviour when self-control resources are lacking: the case of physical activity during the COVID-19 lockdown,True,A référencer
HAL,Teran-Escobar Claudia,2025,InterMob : protocole d’une intervention contrôlée randomisée ciblant les leviers et les obstacles d’une mobilité plus active et plus durable,True,A référencer
HAL,Pellarin Thierry,2024,Reducing the carbon footprint of a public research laboratory in Geosciences. Assessing a reduction strategy built with laboratory members after a 3-year experimentation,True,A référencer
HAL,Cologna Viktoria,2024,Trust in scientists and their role in society across 67 countries,True,A référencer
HAL,Mede Niels,2024,"Perceptions of Science, Science Communication, and Climate Change Attitudes in 67 Countries: The TISP Dataset",True,A référencer
