Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Carrez Maurice,2025.0,Les pays nordiques,True,A référencer
HAL,Walin Marie,2025.0,L'Espagne,True,A référencer
HAL,Fressard Mathieu,2025.0,Modelling the climate change impact on the SPM transfers of the Rhône river,True,A référencer
HAL,Fabre Clément,2024.0,Organic carbon and mercury exports from pan-Arctic rivers in a thawing permafrost context – A review,True,A référencer
HAL,Archambault-Küch Marie-Laure,2024.0,La mondialisation vue du Liban,True,A référencer
HAL,Archambault-Küch Marie-Laure,2024.0,« Pratiques vestimentaires »,True,A référencer
HAL,Fabre Clément,2024.0,Combining hillslope erosion and river connectivity models to assess large scale fine sediment transfers: Application over the Rhône River (France),True,A référencer
HAL,Fabre Clément,2024.0,La sinologie : la langue chinoise créée par les sinologues ?,True,A référencer
HAL,Archambault Fabien,2024.0,Histoires matérielles,True,A référencer
HAL,Walin Marie,2025.0,Sexualités,True,A référencer
HAL,Djahnine Aissam,2024.0,Detection and severity quantification of pulmonary embolism with 3D CT data using an automated deep learning-based artificial solution,True,A référencer
HAL,Fabre Clément,2024.0,Race et corps dans l'ordinaire colonial (numéro spécial),True,A référencer
HAL,Fabre Clément,2024.0,Introduction. Race et différence des corps en situation coloniale,True,A référencer
HAL,Quennouëlle-Corre Laure,2024.0,LES MONDIALISATIONS DES ANNÉES 1880 AU MILIEU DES ANNÉES 1930,True,A référencer
HAL,Bourguignon Abigail,2024.0,Lire les corps,True,A référencer
ORCID,Clément Fabre,2024.0,La découpe du geste,A déposer sur HAL,False
