Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Chirol Clémentine,2025,Territorial mapping of soil type and land cover influence on ecosystem services,True,A référencer
HAL,Mason-Jones Kyle,2025,And yet they move: microbial movement in soil habitats,True,A référencer
HAL,Chirol Clémentine,2025,Effect of texture and management practices on soil structure dynamics and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effect of agricultural management practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effect of agricultural practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effect of agricultural management practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effet des pratiques agricoles sur la stabilité structurale des sols et la déprotection des matières organiques lors de cycles de dessiccation-réhumectation,True,A référencer
HAL,Chirol Clémentine,2025,"Estimation de la capacité de stockage additionnel de carbone organique dans les sols à horizon 2050 à l'échelle d'un petit territoire, en fonction du type de sol et de la profondeur",True,A référencer
HAL,Séré Geoffroy,2025,Destisol: A decision‐support tool to assess the ecosystem services provided by urban soils for better urban planning,True,A référencer
HAL,Chirol Clémentine,2024,Creek systems in restored coastal wetlands: Morphological evolution and design implications,True,A référencer
HAL,Chenu Claire,2024,The interplay of soil spatial heterogeneity and water in stabilizing and destabilizing soil organic matter,True,A référencer
