Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Poblete-Grant Patricia,2025,Mechanisms Involved in Soil–Plant Interactions in Response to Poultry Manure and Phytase Enzyme Compared to Inorganic Phosphorus Fertilizers,True,A référencer
HAL,Chenu Claire,2025,"Methods for studying soil organic matter: nature, dynamics, spatial accessibility, and interactions with minerals",True,A référencer
HAL,Khairallah Wissal,2024,Unstable geogenic carbon controls mediterranean cropland soils organic carbon stocks and dynamics,True,A référencer
HAL,A. Jerray,2024,N2O emissions from cropland and grassland management systems are determined by soil organic quality and soil physical parameters rather than carbon stock and denitrifier abundances.,True,A référencer
HAL,Franzisco Ruiz,2024,Adsorption and thermal stability of dissolved organic matter on Ca- and Mg-exchanged montmorillonite: Implications for persistence in soils and sediments,True,A référencer
HAL,Colombini G,2024,Impacts des apports de composts urbains sur la contamination en microplastiques des sols d’un site du SOERE PRO (Qualiagro).,True,A référencer
HAL,Zi Yacouba,2024,"Effect of traits of earthworms belonging to Lumbricidae family on the nature, protection, and stabilization of soil organic matter",True,A référencer
HAL,Kopittke Peter M,2024,Healthy soil for healthy humans and a healthy planet,True,A référencer
HAL,Rumpel Cornelia,2024,Management of belowground inputs is crucial to maintain soil carbon storage under climate change,True,A référencer
HAL,Klumpp Katja,2024,Carbon sink activity of managed grasslands: case study of two multi-treatment field sites,True,A référencer
HAL,Sadet-Bourgeteau Sophie,2024,Émissions de composés organiques volatils biogéniques (COVb) par les sols agricoles. DICOV (APR Primequal) : Rôle de la diversité microbienne et de la composition biochimique de la matière organique dans les émissions de COVb,True,A référencer
HAL,Crème Alexandra,2024,Monitoring grassland management effects on soil organic carbon – a matter of scale,True,A référencer
HAL,Vidal Alix,2024,Impact of organic amendments on plant biomass and carbon transfer in the soil,True,A référencer
HAL,Védère Charlotte,2024,Comment le statut hydrique du sol influence le devenir des matières organiques du sol ? Une revue des processus à des échelles variées,True,A référencer
HAL,Chenu Claire,2024,The « 4 per 1000 » initiative. Soils for food security and climate,True,A référencer
HAL,Rumpel Cornelia,2024,Studies from global regions indicate promising avenues for maintaining and increasing soil organic carbon stocks,True,A référencer
HAL,Védère Charlotte,2024,Diversity of soil biopores and their influence on soil water infiltration under various pedoclimatic conditions,True,A référencer
HAL,Rumpel Cornelia,2024,The role of the 4p1000 initiative in defining research priorities for soil organic carbon under the sustainable development agenda,True,A référencer
HAL,Gilmullina Aliia,2024,"Organic matter content, quality and microbial functioning in soils under grazing versus mowing: what is the difference ?",True,A référencer
HAL,Aubertin Marie-Liesse,2024,Characterization of six different biochar-compost mixtures and the effect of a physical alteration on their kinetics of mineralization,True,A référencer
HAL,Crème A.,2024,"Ley grassland under temperate climate had a legacy effect on soil organic matter quantity, biogeochemical signature and microbial activities",True,A référencer
HAL,Rumpel Cornelia,2024,"The 4p1000 initiative: Opportunities, limitations and challenges for implementing soil organic carbon sequestration as a sustainable development strategy",True,A référencer
HAL,Vedere Charlotte,2024,Effect of Fresh and Aged Amendments on Alleviating Water-Stress Impacts on Plant Growth and Soil Microbial Functioning,True,A référencer
HAL,Rumpel Cornelia,2024,The Role of Soil Carbon Sequestration in Enhancing Human Resilience in Tackling Global Crises Including Pandemics,True,A référencer
ORCID,Chao Song,2025.0,The role of earthworms in the transformation of labile plant litter into mineral-associated organic matter,A déposer sur HAL,False
ORCID,Francisco Ruiz,2024.0,Iron’s role in soil organic carbon (de)stabilization in mangroves under land use change,A déposer sur HAL,False
ORCID,Francisco Ruiz,2024.0,Iron’s role in soil organic carbon (de)stabilization in mangroves under land use change,A déposer sur HAL,False
