Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Eon Mélissa,2025,Chemical landscape of invasive aquatic plant exometabolomes,True,A référencer
HAL,Dutartre Alain,2025,"Un demi-siècle d'une saga ""plantes aquatiques exotiques envahissantes"" dans les lacs et étangs du littoral aquitain ou ""Des besoins de gestion vers la recherche !",True,A référencer
HAL,Jamoneau Aurélien,2025,Fact or Fiction? The Battle Between Native and Exotic Isoetid Species,True,A référencer
HAL,Larson Danelle M,2025,Global aquatic Isoëtes Database (acronym GaID) as of 2024,True,A référencer
HAL,Azzella Mattia M,2025,What do we know about the ecology of aquatic Isoëtes species? Data gaps and opportunities to improve the global protection of truly iconic plants,True,A référencer
HAL,Azzella Mattia M,2024,Global assessment of aquatic Isoëtes species ecology,True,A référencer
HAL,Maury-Brachet Régine,2024,Lacs Aquitains et mercure,True,A référencer
HAL,Jamoneau Aurélien,2024,Role of biotic interactions in patterning epiphytic diatoms assemblages,True,A référencer
HAL,Ribaudo Cristina,2024,Corrigendum: Invasive Aquatic Plants as Ecosystem Engineers in an Oligo-Mesotrophic Shallow Lake,True,A référencer
ORCID,Jérémy Mayen,2025.0,Invasive primary producers modulate carbon fluxes and associated carbon budgets in temperate shallow lakes,A déposer sur HAL,False
ORCID,Mattia M. Azzella,2024.0,Global assessment of aquatic <i>Isoëtes</i> species ecology,A déposer sur HAL,False
