Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bourgeois Carine F,2025,Four decades of data indicate that planted mangroves stored up to 75% of the carbon stocks found in intact mature stands,True,A référencer
HAL,Parmentier Jean-Baptiste,2025,Le système Fluvio-Lacustre fossile du sud de Grande Terre de Nouvelle-Calédonie : Caractérisation de l'impact des processus sédimentaires et post-dépôts sur la dynamique des éléments métalliques,True,A référencer
HAL,Mathian Maximilien,2025,Le futur des mangroves des îles carbonatées sans apport détritique : étude de la diagenèse précoce de sédiments des mangroves d'Ouvéa (Nouvelle-Calédonie),True,A référencer
HAL,Dumas Pascal,2025,Ressources et menaces face au changement climatique. Quelles sont les conséquences du réchauffement climatique ? Quelles sont nos ressources pour y faire face ?,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Robin Sarah Louise,2025,Dynamics of major and trace elements during leaf litter decomposition in semi-arid mangrove subject to urban runoff,True,A référencer
HAL,Robin Sarah Louise,2024,Leaf litter degradation in an urban semi-arid mangrove forest,True,A référencer
HAL,Robin Sarah Louise,2024,Polycyclic aromatic hydrocarbons (PAHs) in mangrove ecosystems: A review,True,A référencer
HAL,Deborde Jonathan,2024,"Concentrations and fractionation of carbon, iron, sulfur, nitrogen and phosphorus in mangrove sediments along an intertidal gradient (semi-arid climate, New Caledonia)",True,A référencer
HAL,Noël Vincent,2024,Ni cycling in mangrove sediments from New Caledonia,True,A référencer
HAL,Robin Sarah Louise,2024,Influence of species and stand position on isotopic and molecular composition of leaf litter during degradation in an urban mangrove forest,True,A référencer
HAL,Robin Sarah Louise,2024,Millennial-aged organic matter preservation in anoxic and sulfidic mangrove soils: Insights from isotopic and molecular analyses,True,A référencer
HAL,Robin Sarah,2024,Millennial-aged organic matter sequestration and preservation in anoxic and sulfidic mangrove soils: insights from isotopic and molecular analyses,True,A référencer
HAL,Parmentier Jean-Baptiste,2024,Fossil Fluvio-Lacustrine System of the Southern Grande Terre of New Caledonia : Paleo-environmental Archives and Dynamics of Trace METALlic Elements (TME),True,A référencer
HAL,Parmentier Jean-Baptiste,2024,Fluvio-lacustrine formation of New Caledonia: post-deposit processes and dynamics of trace metallic elements,True,A référencer
HAL,Jacotot Adrien,2024,Soil concentrations and atmospheric emissions of biogenic hydrogen sulphide (H2S) in a Rhizophora mangrove forest,True,A référencer
