Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Molenat Jérôme,2025,"OMERE: A Long-Term Observatory of Soil and Water Resources, in Interaction with Agricultural and Land Management in Mediterranean Hilly Catchments",True,A référencer
HAL,Benabdelghaffar Aya,2025,"Assessment of the Impact of Land Use and Climate Changes on the Agro-Hydrological Response of Lebna Watershed (Cap Bon, Tunisia)",True,A référencer
HAL,Coulouma Guillaume,2024,Les sols associés aux infrastructures du paysage. Exemple des ravines en Tunisie,True,A référencer
HAL,Pastor Amandine,2024,The impact of climate change and land use change in a fire-prone forest in NW Portugal,True,A référencer
HAL,Khairallah Wissal,2024,Organic carbon stocks and exports in a Mediterranean cultivated catchment,True,A référencer
HAL,Amri Samar,2024,Feedback On An Erosive Control System Based On Contour Benches In A Tunisian Semi-Arid Catchment,True,A référencer
HAL,Hamdi Radhouane,2024,"Impact of weather types on rainfall, runoff and sediment yield in a mediterranean cultivated catchment (kamech, Tunisia)",True,A référencer
HAL,Sabatier Pierre,2024,"Erosion physique au sein de la Zone Critique : calibration d’enregistrement sédimentaire avec des données d’observation in-situ (Kamech, OZCAR)",True,A référencer
HAL,Braud Isabelle,2024,Use of hydrological signatures to characterize the hydrological functioning of catchments from the OZCAR French Critical Zone,True,A référencer
HAL,Hamdi Radhouane,2024,"Impact of weather types on rainfall, runoff and sediment yield in a Mediterranean cultivated landscape",True,A référencer
HAL,Raclot Damien,2024,"Impact of land use on runoff, sediment and carbon exports in two small headwater catchments in central Morocco",True,A référencer
HAL,Ciampalini Rossano,2024,Modelling soil erosion focusing on event-size occurrences under global change in a vineyard catchment,True,A référencer
HAL,Mbodj Djibril,2024,Mesure et facteurs de variabilité de la susceptibilité magnétique dans un bassin versant viticole méditerranéen,True,A référencer
HAL,Khairallah Wissal,2024,Impact de l’érosion hydrique sur la biodégradabilité du carbone organique dans un petit bassin versant rural tunisien,True,A référencer
HAL,Khairallah Wissal,2024,Quantification of organic carbon lateral exports in a mediterranean cultivated catchment,True,A référencer
HAL,Rebaï Houda,2024,Identification of the factors driving the spatial distribution and activity of gully network in a mediterranean semi-arid catchment,True,A référencer
HAL,Khairallah Wissal,2024,Impact of water erosion on the fate of soil organic carbon in a mediterranean cultivated catchment,True,A référencer
HAL,Khairallah Wissal,2024,Unstable geogenic carbon controls mediterranean cropland soils organic carbon stocks and dynamics,True,A référencer
HAL,Ebengo Merveil,2024,Modélisation événementielle et distribuée de l'érosion hydrique des sols et des transferts de carbone en région méditerranéenne avec Mhydas_Erosion,True,A référencer
HAL,Fabre Jean-Christophe,2024,OpenFLUID: a software environment for modelling fluxes in landscapes – application on distributed hydrological modelling of farmed catchments,True,A référencer
HAL,Roger Chloé,2024,Which hydrological signatures of intermittence of rivers and streams in order to identify causes and ecological impacts ?,True,A référencer
HAL,Arrebei Nassima,2024,Assessment of Soil Erosion with RUSLE 3D and USPED in the Nekor Watershed (Northern Morocco),True,A référencer
HAL,Hostache Renaud,2024,Caractérisation spatiale de l’aléa inondation à partir d’images satellites RADAR,True,A référencer
HAL,Brini Imen,2024,Contribution of InSAR coherence images to evaluate surface elevation change detected from multi-temporal photogrammetric imagery,True,A référencer
HAL,Berrabhi Ihssane,2024,Transfert du carbone organique du sol par érosion hydrique dans un micro-bassin cultivé et un micro-bassin forestier dégradé du centre du Maroc (bassin versant de l’Oued Mellah),True,A référencer
HAL,Rebai H.,2024,Facteurs et dynamique du ravinement dans le bassin versant de Fidh Ali (Tunisie) de 1952 à 2009,True,A référencer
HAL,El Boukhari A.,2024,Caractérisation de la dégradation des sols pour la région septentrionale du Maroc,True,A référencer
HAL,Taleb Roukia Boukhari,2024,"Evaluation Des Performances Du Modele Agro-Hydrologique SWAT à Reproduire Le Fonctionnement Hydrologique Du Bassin Versant Nakhla (Rif occidental, Maroc)",True,A référencer
HAL,Yassin Mohamed,2024,Contribution à l’évaluation de l’impact de l’aménagement des bassins versants de l’Oued Mellah et Allal El Fassi au Maroc,True,A référencer
HAL,Sauvadet Marie,2024,Déterminisme du ruissellement et de l'érosion hydrique de la parcelle au versant en milieu méditerranéen marneux,True,A référencer
HAL,Rebai Houda,2024,Facteurs du ravinement dans la Dorsale tunisienne et le Cap Bon,True,A référencer
ORCID,Laurène Marien,2024.0,"Modelling the impact of global changes on soil erosion in a mountain mixed pasture catchment (Sicily, IT)",A déposer sur HAL,False
