Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Coimbra Pedro Henrique H,2025,"Evaluation of a novel approach to partitioning respiration and photosynthesis using eddy covariance, wavelets and conditional sampling",True,A référencer
HAL,Liu Guohua,2025,Higher sample sizes and observer inter‐calibration are needed for reliable scoring of leaf phenology in trees,True,A référencer
HAL,Berveiller Daniel,2024,Net Ecosystem Productivity of a mature temperate deciduous oak forest: reconciling flux and biometric estimates,True,A référencer
HAL,Bourguet Denis,2024,Diffusion et promotion de la méthode scientifique et des sciences,True,A référencer
HAL,Herig Coimbra Pedro Henrique,2024,Contribution of wavelets to decrease gap filling in turbulent surface fluxes measurements,True,A référencer
HAL,Delpierre Nicolas,2024,Growth is not just about wood : investigating the link between ecosystem carbon uptake and net primary productivity in three European forests,True,A référencer
HAL,Carrara Arnaud,2024,Radiation measurements at ICOS ecosystem stations,True,A référencer
HAL,Delpierre Nicolas,2024,“Green pointillism”: detecting the within-population variability of budburst in temperate deciduous trees with phenological cameras,True,A référencer
HAL,Delpierre Nicolas,2024,Phenology across scales: an intercontinental analysis of leaf-out dates in temperate deciduous tree communities,True,A référencer
ORCID,Tanguy Postic,2025.0,"PHOREAU v1.0: a new process-based model to predict forest functioning, from tree ecophysiology to forest dynamics and biogeography",A déposer sur HAL,False
ORCID,Tanguy Postic,2025.0,"Supplementary material to ""PHOREAU v1.0: a new process-based model to predict forest functioning, from tree ecophysiology to forest dynamics and biogeography""",A déposer sur HAL,False
ORCID,Zhaohui Li,2025.0,Atmospheric dryness effects on canopy chlorophyll fluorescence and GPP in a deciduous forest during heat waves,A déposer sur HAL,False
ORCID,Nicolas Delpierre,2025.0,Growth is not just about wood : investigating the link between ecosystem carbon uptake and net primary productivity in three European forests,A déposer sur HAL,False
ORCID,Daniel Berveiller,2025.0,Net Ecosystem Productivity of a mature temperate deciduous oak forest: reconciling fluxand biometric estimates,A déposer sur HAL,False
ORCID,Hamadou Balde,2024.0,"Investigating the responses of sun-induced chlorophyll fluorescence, gross primary production and their inter-relationship to abiotic factors changes in a temperate deciduous forest",A déposer sur HAL,False
ORCID,Hamadou Balde,2024.0,"Supplementary material to ""Investigating the responses of sun-induced chlorophyll fluorescence, gross primary production and their inter-relationship to abiotic factors changes in a temperate deciduous forest""",A déposer sur HAL,False
