Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,de Verdal Hugues,2025.0,"Performance de la sélection phénomique chez le riz et le sorgho. Effets de la structure, de la taille des populations et des interactions génétique - environnement sur les précisions de prédiction",True,A référencer
HAL,Bachelier Bruno,2025.0,Feuille de Route des recherches Cirad à 10 ans sur la filière Coton,True,A référencer
HAL,Burgarella Concetta,2025.0,The road to sorghum domestication: evidence from nucleotide diversity and gene expression patterns,True,A référencer
HAL,Pereira Luiz Filipe P.,2025.0,Genome-wide association study identify SNPs and genomic regions for lipids and diterpenes contents in Coffea arabica related to its domestication,True,A référencer
HAL,Adam Myriam,2025.0,Embracing new practices in plant breeding for agroecological transition: A diversity‐driven research agenda,True,A référencer
HAL,Le Moigne Nicolas,2025.0,Towards sustainable plant fibres for thermoplastic biocomposites: Selection and fractionation as keys,True,A référencer
HAL,de Verdal Hugues,2025.0,Performance of phenomic selection in rice: Effects of population size and genotype-environment interactions on predictive ability,True,A référencer
HAL,Sene Mamadou,2024.0,Building a sorghum grain : a transcriptome roadmap targeting protein content and digestibility,True,A référencer
HAL,Terrier Nancy,2024.0,Digging into the transcriptome of a developing sorghum grain to find the culprits of protein content and low digestibility,True,A référencer
HAL,Jaffuel Sylvie,2024.0,Anatomicals traits at stem level of sorghum could you help optimize the selection of performing genotypes targeted to biomass applications,True,A référencer
HAL,Barron Cecile,2024.0,Contribution of multispectral autofluorescence imaging to histochemistry in understanding sorghum internode hydrolysis pattern ?,True,A référencer
HAL,Höfte Herman,2024.0,Programme d’Investissements d’Avenir - Biotechnologies &amp; Bioressources,True,A référencer
HAL,Jeanroy Alain,2024.0,LE MISCANTHUS Une biomasse d'avenir,True,A référencer
ORCID,David L. Gibbs,2025.0,Robust Cluster Prediction Across Data Types Validates Association of Sex and Therapy Response in GBM,A déposer sur HAL,False
ORCID,David Pot,2024.0,CRDC Program Collaborator Names from NCI Cancer Research Data Commons: Cloud-Based Analytic Resources,A déposer sur HAL,False
ORCID,Erika Kim,2024.0,CRDC Program Collaborator Names from NCI Cancer Research Data Commons: Lessons Learned and Future State,A déposer sur HAL,False
ORCID,David Pot,2024.0,Data from NCI Cancer Research Data Commons: Cloud-Based Analytic Resources,A déposer sur HAL,False
ORCID,Erika Kim,2024.0,Data from NCI Cancer Research Data Commons: Lessons Learned and Future State,A déposer sur HAL,False
ORCID,Erika Kim,2024.0,Figure S1 from NCI Cancer Research Data Commons: Lessons Learned and Future State,A déposer sur HAL,False
ORCID,Erika Kim,2024.0,Figure S2 from NCI Cancer Research Data Commons: Lessons Learned and Future State,A déposer sur HAL,False
ORCID,David Pot,2024.0,NCI Cancer Research Data Commons: Cloud-Based Analytic Resources,A déposer sur HAL,False
ORCID,Erika Kim,2024.0,NCI Cancer Research Data Commons: Lessons Learned and Future State,A déposer sur HAL,False
ORCID,David Pot,2024.0,Supplementary Material from NCI Cancer Research Data Commons: Cloud-Based Analytic Resources,A déposer sur HAL,False
