Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Chirol Clémentine,2025.0,Territorial mapping of soil type and land cover influence on ecosystem services,True,A référencer
HAL,Chirol Clémentine,2025.0,"Estimation de la capacité de stockage additionnel de carbone organique dans les sols à horizon 2050 à l'échelle d'un petit territoire, en fonction du type de sol et de la profondeur",True,A référencer
HAL,van der Kellen Ingride,2025.0,Recent weathering promotes C storage inside large phyllosilicate particles in forest soil,True,A référencer
HAL,Hoeffner Kevin,2025.0,"AVATAR-SOL, une méthode en développement pour évaluer l'impact des pratiques de gestion sur l'activité biologique des sols",True,A référencer
HAL,Mezerette Florian,2025.0,"The influence of minerals and cations contents on carbon sequestration in temperate French forests’ soils, and their effects on carbon dynamics",True,A référencer
HAL,Arrieta-Escobar Javier,2024.0,3D Printing: Challenges and Opportunities for its Application in Soil Science,True,A référencer
HAL,Khalfallah Fadwa,2024.0,Les traits des essences forestières déterminent la composition de la matière organique du sol en interaction avec le contexte pédoclimatique,True,A référencer
HAL,Derrien Delphine,2024.0,Les pratiques et facteurs influençant le stockage de carbone organique dans les sols forestiers,True,A référencer
HAL,Saint‐andré Laurent,2024.0,Sols - Impacts de la gestion sur la fertilité et le carbone des sols forestiers,True,A référencer
HAL,Poeplau Christopher,2024.0,Isolating organic carbon fractions with varying turnover rates in temperate agricultural soils – A comprehensive method comparison,True,A référencer
