Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Ansaldi Lucile,2025.0,Optimisation of forest management under climate change in the French maritime pine (Pinus pinaster Aiton) forests,True,A référencer
HAL,Labarre Clémence,2024.0,Viabilité du pin maritime Massif des Landes de Gascogne,True,A référencer
HAL,Roupsard Olivier,2024.0,Monitoreo de servicios ecosistémicos en un observatorio de cafetales agroforestales. Recomendaciones para el sector cafetalero,True,A référencer
HAL,Loustau Denis,2024.0,Modeling climate change effects on the potential production of French plains forests at the sub-regional level,True,A référencer
HAL,Musavi Talie,2024.0,Stand age and species richness dampen interannual variation of ecosystem-level photosynthetic capacity,True,A référencer
HAL,Sabbatini Simone,2024.0,High-precision datasets from monitoring stations based on eddy covariance measurements: what six years of quality evaluation process of ICOS ecosystem stations have to tell,True,A référencer
HAL,Loubet Benjamin,2024.0,Comparison of soil organic carbon stock change with eddy covariance carbon balance at an ICOS crop ecosystem site reveals unexplained carbon losses,True,A référencer
HAL,Deirmendjian Loris,2024.0,Hydrological and ecological controls on dissolved carbon concentrations in groundwater and carbon export to surface waters in a temperate pine forest watershed,True,A référencer
HAL,van der Woude Auke M,2024.0,Author Correction: Temperature extremes of 2022 reduced carbon uptake by forests in Europe,True,A référencer
HAL,Papale Dario,2024.0,"Standards and Open Access are the ICOS Pillars Reply to ""Comments on 'The Integrated Carbon Observation System in Europe",True,A référencer
