Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Rouault Pierre,2025,Integration of sentinel-2 data into the SIMETAW model for assessing irrigation water requirements and evapotranspiration,True,A référencer
HAL,Al-Mashharawi Samer K,2025,Accounting for biomass water equivalent variations in soil moisture retrievals from cosmic ray neutron sensor,True,A référencer
HAL,El Hajj Marcel,2025,Synergistic Use of Ground-Based GNSS-R and Sentinel-2 Imagery for Soil Moisture Estimation Across an Irrigated Grassland,True,A référencer
HAL,Tshingomba Urcel Kalenga,2025,Monitoring of Irrigated Mediterranean Crops in Southeastern France from Sentinel 1 &amp; 2 Data,True,A référencer
HAL,Bouarfa Sami,2025,Anticiper pour mieux planifier – Éditorial,True,A référencer
HAL,Olioso Albert,2025,SVAT modeling over the Alpilles-ReSeDA experiment: comparing SVAT models over wheat fields,True,A référencer
HAL,Abubakar Mukhtar,2025,Detection of Irrigated Permanent Grasslands with Sentinel-2 Based on Temporal Patterns of the Leaf Area Index (LAI),True,A référencer
HAL,Bsaibes Aline,2024,Albedo and LAI estimates from FORMOSAT-2 data for crop monitoring,True,A référencer
HAL,Massiot Gaspar,2024,Monitoring the risk of <i>Legionella</i> infection using a general Bayesian network updated from temporal measurements in agricultural irrigation with reclaimed wastewater,True,A référencer
HAL,Rouault Pierre,2024,"GRASS COVER, TREE DENSITY, AND LEAF DEVELOPMENT OF MEDITERRANEAN ORCHARDS FROM HIGH RESOLUTION DATA",True,A référencer
HAL,Hobbs Stephen,2024,Surface layer profiles of air temperature and humidity measured from unmanned aircraft,True,A référencer
ORCID,Claude Doussan,2025.0,Assessing the possibilities of Sentinel products for qualifying and quantifying soil water status of agricultural systems in southern France&#160;,A déposer sur HAL,False
