Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Vialatte Aude,2025,"Protecting crops with plant diversity: Agroecological promises, socioeconomic lock-in, and political levers",True,A référencer
HAL,Bougherara Douadia,2025,Risk Taking with Left-and Right-Skewed Lotteries *,True,A référencer
HAL,Bougherara Douadia,2025,Agri-environmental contracts and improving sequences of payments: A choice experiment,True,A référencer
HAL,Bontemps Christophe,2025,Do Risk Preferences Really Matter? The Case of Input Use in Agriculture,True,A référencer
HAL,Bougherara Douadia,2025,Accounting for spatially heterogeneous preferences while managing invasive species : a choice experiment,True,A référencer
HAL,Bougherara Douadia,2025,Eliciting Preferences for Sequences of Payment in Agri-Environmental Schemes,True,A référencer
HAL,Lapierre Margaux,2025,How to design AES to cope with uncertainty? Insights from the option value,True,A référencer
HAL,Lapierre Margaux,2025,A Choice Experiment To Test Commitment Flexibility And Peer-learning In Agrienvironmental Schemes,True,A référencer
HAL,Bougherara Douadia,2025,L’utilisation de l’économie expérimentale en économie agricole,True,A référencer
HAL,Le Velly Gwenolé,2025,Des mesures agro-environnementales innovantes pour sortir des pesticide,True,A référencer
HAL,Schaak Henning,2025,How Well Can Experts Predict Farmers' Risk Preferences ?,True,A référencer
HAL,Bonein Aurélie,2025,Fairness Preferences in Risk: Evidence from an Online Experiment,True,A référencer
HAL,Bougherara Douadia,2025,Les outils numériques d’aide à la décision pour la réduction des pesticides : une perspective économique,True,A référencer
HAL,Fundaro Mathis,2025,An online experiment,True,A référencer
HAL,Bougherara Douadia,2025,"Innovativeness, innovation adoption and priming: Nudging farmers in a large-scale randomized experiment in France",True,A référencer
HAL,Bougherara Douadia,2025,"Mieux comprendre la demande et l'offre dans les AMAP (Associations de Maintien de l'Agriculture Paysanne), Bilan du projet Métaprogramme DID'IT « Déterminants et impact de la diète, interactions et transitions »",True,A référencer
HAL,Lapierre Margaux,2025,Designing Agri-Environmental Schemes to cope with uncertainty,True,A référencer
HAL,Bougherara Douadia,2024,Améliorer les outils numériques d’aide à la décision pour la protection phytosanitaire des cultures,True,A référencer
ORCID,Henning Schaak,2024.0,Who can predict farmers’ choices in risky gambles?,A déposer sur HAL,False
