Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Boukortt Nour,2025,Bridging the gap: Oxygen and nutrient budgets in the Loire estuary using a benthic-pelagic box model,True,A référencer
HAL,Thibault de Chanvalon A.,2025,Two dimensional mapping of iron release in marine sediments at submillimetre scale,True,A référencer
HAL,Moncelon Raphaël,2025,Sediment implication in shift in nutrient limitation and impact on purification capacity: Application on a common Atlantic east coast pond,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Boukortt Nour El Imene,2025,Is reducing phosphorus inputs sufficient to reduce hypoxia in estuaries? The example of the Loire estuary,True,A référencer
HAL,Castillejos Sepúlveda Andrea,2025,Two-Dimensional Mapping of Arsenic Concentration and Speciation with Diffusive Equilibrium in Thin-Film Gels,True,A référencer
HAL,Moncelon Raphaël,2025,"Sedimentary geochemistry in P-limited freshwater drained marshes (Charente-Maritime, France): Original drivers for phosphorus mobilization",True,A référencer
HAL,Mouret Aurélia,2024,Two-dimensional determination of dissolved manganese in sediment porewaters,True,A référencer
HAL,Moncelon Raphaël,2024,"Coupling between sediment biogeochemistry and phytoplankton development in a temperate freshwater marsh (Charente-Maritime, France): Evidence of temporal pattern",True,A référencer
HAL,Barrois Jean-Marie,2024,"Modeling of phosphate flux induced by flood resuspension on a macrotidal estuarine mudflat (Seine, France)",True,A référencer
HAL,Metzger Edouard,2024,The exceptional winter flood of Loire river 2021: an unexpected source of methane in the inner estuary,True,A référencer
HAL,Barhdadi Mohammed,2024,Biogeochemical cycling of manganese and iron in a macrotidal and hyperturbid estuary subject to flow-driven sedimentation,True,A référencer
HAL,Jauffrais Thierry,2024,Effect of light on photosynthetic efficiency of sequestered chloroplasts in intertidal benthic foraminifera (<i>Haynesina germanica</i> and <i>Ammonia tepida</i>),True,A référencer
HAL,Nascimento-Silva Grazielle,2025,Phosphate buffering in mangrove sediment pore water under eutrophication and deforestation influences,True,A référencer
ORCID,Maxime Daviray,2025.0,From electrical cable bacteria acidification to eelgrass colonisation: seasonal monitoring of foraminiferal ecology and shell preservation on estuarine mudflats.,A déposer sur HAL,False
ORCID,Nour El Imene Boukortt,2025.0,Impact of Particle Resuspension on Oxygen Consumption and Nutrient Cycling in a Turbid Estuary: Insights from the Loire Estuary,A déposer sur HAL,False
ORCID,Edouard Metzger,2025.0,The exceptional winter flood of Loire river 2021: an unexpected source of methane in the inner estuary,A déposer sur HAL,False
ORCID,Mohammed Barhdadi,2025.0,"Vivianite as a phosphorus sink in estuarine systems:&#160;The case study of the Brillantes mudflat, Loire, France",A déposer sur HAL,False
