Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Gundesli Yasin,2025,Stomata of shade-adapted leaves of European beech are more responsive to changes in light conditions than light-adapted leaves,True,A référencer
HAL,Yao Yitong,2024,Future Drought‐Induced Tree Mortality Risk in Amazon Rainforest,True,A référencer
HAL,Joetzjer Emilie,2024,Responses of European forest fluxes to the 2022 heatwave and drought recorded by ICOS Eddy-covariance stations,True,A référencer
HAL,Yao Yitong,2024,"The impacts of elevated CO<sub>2</sub> on forest growth, mortality, and recovery in the Amazon rainforest",True,A référencer
HAL,Delpierre Nicolas,2024,Growth is not just about wood : investigating the link between ecosystem carbon uptake and net primary productivity in three European forests,True,A référencer
HAL,Joetzjer Emilie,2024,Carbon assimilation limitations during and after the European 2022 drought and heat wave,True,A référencer
HAL,van der Woude Auke M,2024,Author Correction: Temperature extremes of 2022 reduced carbon uptake by forests in Europe,True,A référencer
HAL,Delpierre Nicolas,2024,Phenology across scales: an intercontinental analysis of leaf-out dates in temperate deciduous tree communities,True,A référencer
HAL,Bastos A.,2024,"Impacts of extreme summers on European ecosystems: a comparative analysis of 2003, 2010 and 2018",True,A référencer
ORCID,Emilie Joetzjer,2025.0,Carbon assimilation limitations during and after the European 2022 drought and heat wave,A déposer sur HAL,False
