Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Ceschia Eric,2025.0,"Monitoring, reporting and verification of soil organic carbon stock changes at arable land: Cookbook for assessment in different MRV contexts and proposition of a harmonised approach",True,A référencer
HAL,Stella Patrick,2025.0,Processes of soil ozone deposition: dependence of the resistance to soil deposition to surface humidity and soil texture,True,A référencer
HAL,Bamiere Laure,2025.0,Storing carbon in French agricultural soils: potential and cost of additionnal storage,True,A référencer
HAL,Baud Fraile Emilio,2025.0,Assessment of climate mitigation potential of French grasslands using the land surface model ORCHIDEE-GM,True,A référencer
HAL,Diop Souleymane,2025.0,Balancing biogeochemical gains and surface albedo shifts: climate impacts of no-tillage and mulching in Southern Africa,True,A référencer
HAL,Ceschia Eric,2025.0,Baseline in agriculture for quantifying SOC stock changes: lesson learned from Marvic,True,A référencer
HAL,Ceschia Eric,2025.0,Le carbone dans les grandes cultures,True,A référencer
HAL,Diop Souleymane,2025.0,Modelling albedo and the energy budget using the STICS soil-crop model – Application to two Sub-Saharan sites,True,A référencer
HAL,Do Nascimento Bendini Hugo,2024.0,Estimating Winter Cover Crop Biomass in France Using Optical Sentinel-2 Dense Image Time Series and Machine Learning,True,A référencer
HAL,Antonenko Veronika,2024.0,Impact of the Russian invasion on wheat biomass in Ukraine,True,A référencer
HAL,Barillot Romain,2024.0,"Modéliser l’impact des évènements climatiques extrêmes sur la production agricole : Ce que peuvent, et ne peuvent pas (encore) faire nos modèles",True,A référencer
HAL,Bigeard Guillaume,2024.0,Evapotranspiration monitoring based on thermal infrared data over agricultural landscapes: comparison of a simple energy budget model and a SVAT model,True,A référencer
HAL,Fauvel Mathieu,2024.0,"Iota2 ne fait pas que de la classification, elle produit aussi des indicateurs environnementaux !",True,A référencer
HAL,Poeplau Christopher,2024.0,Cover crops do increase soil organic carbon stocks—A critical comment on Chaplot and Smith (2023),True,A référencer
HAL,Bazzi Hassan,2024.0,Assimilating Sentinel-2 data in a modified vegetation photosynthesis and respiration model (VPRM) to improve the simulation of croplands CO2 fluxes in Europe,True,A référencer
ORCID,Emilio Baud Fraile,2025.0,Assessment of climate mitigation potential of French grasslands using the land surface model ORCHIDEE-GM,A déposer sur HAL,False
ORCID,Souleymane Diop,2025.0,Balancing biogeochemical gains and surface albedo shifts: climate impacts of no-tillage and mulching in Southern Africa,A déposer sur HAL,False
ORCID,Ke Yu,2025.0,Quantification of the biogeophysical impact of crop residue management in Europe,A déposer sur HAL,False
ORCID,Souleymane Diop,2025.0,Interaction between soil type and cropping system on albedo dynamics leads to contrasted impact on climate mitigation,A déposer sur HAL,False
