Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,de Freitas Mathilde,2025.0,Ability of the STICS soil-crop model for simulating performances and inter-specific interactions in tropical cereal-legume intercropping,True,A référencer
HAL,Couedel Antoine,2025.0,"Soil fertility change outweighs climate change impact on maize yield in sub-Saharan Africa, a multi-model study",True,A référencer
HAL,Falconnier Gatien N.,2025.0,Modeling of climate change impacts on maize yields in low-nitrogen conditions in Africa,True,A référencer
HAL,Lopes dos Santos Mariely,2025.0,Evaluation of soybean multi-model responses to elevated CO2 with experimental data,True,A référencer
HAL,Constantin Julie,2025.0,Implantation des cultures intermédiaires: assurer la réussite de la levée pour produire les services écosystémiques visés,True,A référencer
HAL,Lopes dos Santos Mariely,2025.0,Soybean Multi-Model Simulations Under Elevated Atmospheric CO2,True,A référencer
HAL,Carton Nicolas,2025.0,Produire des légumineuses à graines au moyen de l'association avec une céréale : cas de la lentille et du lupin blanc d'hiver,True,A référencer
HAL,Briard Diane,2025.0,Dé coïncider pour mieux anticiper : les crises alimentaires et environnementales au centre des crises systémiques,True,A référencer
HAL,Lebreton Pierre,2025.0,Effect of sowing patterns and species proportions of cereal–legume intercrops on weed control,True,A référencer
HAL,Lebreton Pierre,2025.0,Effet des motifs spatiaux et des proportions de semis dans les associations céréale - légumineuse sur le contrôle des adventices,True,A référencer
HAL,Couëdel Antoine,2025.0,Modeling agroecological intensification in the tropics with the Stics model-lessons learned and way forward,True,A référencer
HAL,Gaudio Noémie,2024.0,Design and assessment of diversified low input cropping systems in SW France: an application of agroecological principles aiming at drastically decrease pesticides and fertilizer-N use,True,A référencer
HAL,Kherif Omar,2024.0,The first calibration and evaluation of the STICS soil-crop model on chickpea-based intercropping system under Mediterranean conditions,True,A référencer
HAL,Mamy Laure,2024.0,Measurement and modelling of water flows and pesticide leaching under low input cropping systems,True,A référencer
HAL,Lammoglia Sabine-Karen,2024.0,Sequential use of the STICS crop model and of the MACRO pesticide fate model to simulate pesticides leaching in cropping systems,True,A référencer
HAL,Lammoglia Sabine-Karen,2024.0,Sensitivity analysis of the STICS-MACRO model to identify cropping practices reducing pesticides losses,True,A référencer
HAL,Lammoglia Sabine-Karen,2024.0,Assessing human health risks from pesticide use in conventional and innovative cropping systems with the BROWSE model,True,A référencer
HAL,Vezy Rémi,2024.0,Modeling Key Interactions in Bi-Specific Intercropping Systems: Enhancing the STICS Soil-Crop Model for Sustainable Agriculture,True,A référencer
HAL,Justes Eric,2024.0,Minéralisation en azote des matières organiques du sol : des prévisions plus précises validées sur le terrain,True,A référencer
HAL,Justes Eric,2024.0,Une nouvelle équation simple et robuste pour estimer la minéralisation en azote de la matière organique des sols français de grandes cultures,True,A référencer
HAL,Seimandi-Corda Gaëtan,2024.0,Are intercrops and cover crops efficient to mitigate pesticide dependency and leaching risks in low input cropping systems?,True,A référencer
HAL,Seimandi-Corda Gaëtan,2024.0,Are intercrops and cover Crops efficient to Mitigate Pesticide Dependency and Leaching Risks in Low Input Cropping Systems?,True,A référencer
HAL,Marette Stéphan,2024.0,Vers des recherches dé-coïncidentes dans un contexte de fragilité des écosystèmes et des systèmes agroalimentaires,True,A référencer
HAL,Debaeke Philippe,2024.0,Availability and integration of agro-environmental data : the French case,True,A référencer
HAL,Marette Stéphan,2024.0,Une recherche dé-coïncidente pour se préparer aux crises environnementales et alimentaires,True,A référencer
HAL,Lebreton Pierre,2024.0,L’association céréale et légumineuse à l’essai,True,A référencer
HAL,Strullu Loïc,2024.0,Chapter 7. Biomass and nitrogen partitioning,True,A référencer
HAL,Beaudoin Nicolas,2024.0,Chapter 2. Overall description of the modelled system,True,A référencer
HAL,Ripoche Dominique,2024.0,Chapter 1. Introduction,True,A référencer
HAL,Poeplau Christopher,2024.0,Cover crops do increase soil organic carbon stocks—A critical comment on Chaplot and Smith (2023),True,A référencer
HAL,Lebreton Pierre,2024.0,Effet des motifs spatiaux et des proportions de semis dans les associations céréales-légumineuses sur le contrôle des adventices,True,A référencer
HAL,Deguine Jean-Philippe,2025.0,Agroecological crop protection for sustainable agriculture,True,A référencer
HAL,Falconnier Gatien N.,2024.0,Modelling climate change impacts on maize yields under low nitrogen input conditions in sub‐Saharan Africa,True,A référencer
ORCID,Pierre Lebreton,2024.0,"Optimal species proportions, traits and sowing patterns for agroecological weed management in legume–cereal intercrops",A déposer sur HAL,False
ORCID,Sofia Hadir,2024.0,Root growth and belowground interactions in spring wheat /faba bean intercrops,A déposer sur HAL,False
