Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Crouzet Christian,2025,L’avant pays alpin : de l’extension maximale des glaciers würmiens au remplissage lacustre holocène.,True,A référencer
HAL,Julien Andréa,2025,Dynamiques millénaires de la végétation et des pratiques agro-pastorales sur deux sites des Alpes du Nord : La tourbière des Glières et le lac des Laouchets,True,A référencer
HAL,Julien Andréa,2025,Millennial dynamics of vegetation and agropastoral activities recorded from two sites in the Northern Alps: the Glières peat bog and the Laouchets lake,True,A référencer
HAL,Julien Andréa,2025,7000 years of vegetation dynamics and agro-pastoral activities on the glières plateau (french northern alps),True,A référencer
HAL,Julien Andréa,2025,A methodological approach to elaborate a modern reference in order to evaluate the application of the Landscape Reconstruction Algorithm in the Northern French Alps,True,A référencer
HAL,Julien Andréa,2025,"A 7,000 years trajectory of socio-ecosystems in the montane belt of the northern French Alps",True,A référencer
HAL,Khedim Norine,2025,Topsoil organic matter build‐up in glacier forelands around the world,True,A référencer
HAL,Messager Erwan,2025,"Two Millennia of Complexity and Variability in a Perialpine Socioecological System (Savoie, France): The Contribution of Palynology and sedaDNA Analysis",True,A référencer
HAL,Giguet-Covex Charline,2025,Long-term trajectories of mountain agro-ecosystems in the North-Western Alps,True,A référencer
HAL,Bajard Manon,2025,Pastoralism increased vulnerability of a subalpine catchment to flood hazard through changing soil properties,True,A référencer
HAL,Bajard Manon,2025,Pastoralism increased vulnerability of a subalpine catchment to flood hazard through changing soil properties,True,A référencer
HAL,Julien Andréa,2025,Performance of the REVEALS model to reconstruct present mountain vegetation cover in the North-Western Alps: A model evaluation for past land cover reconstruction,True,A référencer
HAL,Desgué-Itier Olivia,2024,"Accumulation accrue de carbone sédimentaire malgré un contexte de ré-oligotrophisation : Cas des lacs profonds périalpins, France",True,A référencer
HAL,Rotschi Julie,2024,The paradox of increasing long-term carbon sequestration in lake ecosystems despite reoligotrophication : the case of four large French perialpine lakes,True,A référencer
HAL,Arnaud Fabien,2024,A tribute to Bruno Wilhelm’s legacy in reading the geological record of lakes,True,A référencer
HAL,Mazure Théo,2024,Quantifying the impacts of landscape opening on alpine soil erosion dynamics during the Holocene,True,A référencer
HAL,Marquer Laurent,2024,"Palaeovegetation at the Pont-de-Lavaud hominin site, lower Pleistocene, Central France",True,A référencer
HAL,Jomard Hervé,2024,Un lac pour sismomètre long-terme,True,A référencer
HAL,Julien Andréa,2024,Evaluation of the Landscape Reconstruction Algorithm in the Northern French Alps: a methodological approach with modern analogues,True,A référencer
