Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Nüsslein Antonin,2025,Parcellaires et habitats fossiles des forêts du Pays des étangs - Rapport d’opération 2025,True,A référencer
HAL,Soulignac Frédéric,2025,Using 3D modeling and remote sensing capabilities for a better understanding of spatio-temporal heterogeneities of phytoplankton abundance in large lakes,True,A référencer
HAL,Delus Claire Lang,2024,Identification and characterization of « outlier » catchments in the upper part of the Mosel river basin,True,A référencer
HAL,Dambrine Étienne,2024,"Réduction des oxydes de fer, déstockage du carbone des sols noyés, et émission de méthane par un réservoir tropical",True,A référencer
HAL,Dambrine Etienne,2024,"REPARTITION, MORPHOLOGIE ET FONCTIONNEMENT DES PODZOLS DE HAUTE MONTAGNE CRISTALLINE SOUS CLIMAT TEMPÉRÉ",True,A référencer
HAL,Dambrine Etienne,2024,Xylem sap composition : A tool for investigating mineral uptake and cycling in adult spruce,True,A référencer
HAL,Dambrine Étienne,2024,"Réduction des oxydes de fer, déstockage du carbone des sols noyés, et émission de méthane par un réservoir tropical",True,A référencer
HAL,Legout Arnaud,2024,"La tempête de 1999 : effet d’une coupe à blanc involontaire sur le fonctionnement d’une hêtraie de faible fertilité minérale (Fougères, 35)",True,A référencer
HAL,Bock Jérôme,2024,Les structures archéologiques et les peuplements de la forêt domaniale de Haye analysés par laser aéroporté,True,A référencer
HAL,Bock Jérôme,2024,"Le Lidar, outil performant pour cartographier la hauteur des peuplements forestiers",True,A référencer
HAL,Irani Rahaghi Abolfazl,2024,Combined Earth observations reveal the sequence of conditions leading to a large algal bloom in Lake Geneva,True,A référencer
