Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bizeul Rémi,2025.0,"Quantification of erosion sources in a tropical volcanic insular catchment (Galion river, Martinique, France): application of sediment tracing tools to coastal marine environment",True,A référencer
HAL,Gallet Raphaël,2025.0,Un banc mécanique d'ouverture de carottes disponible à la reproduction en open source.,True,A référencer
HAL,Sleire Jarle Børve,2025.0,Multiple late Holocene glacier advances on the sub-Antarctic Kerguelen (49°S) islands: Evidence from a 1200 yr sediment core from a glacial threshold basin,True,A référencer
HAL,Julien Andréa,2025.0,7000 years of vegetation dynamics and agro-pastoral activities on the glières plateau (french northern alps),True,A référencer
HAL,Messager Erwan,2025.0,"Two Millennia of Complexity and Variability in a Perialpine Socioecological System (Savoie, France): The Contribution of Palynology and sedaDNA Analysis",True,A référencer
HAL,Giguet-Covex Charline,2025.0,Long-term trajectories of mountain agro-ecosystems in the North-Western Alps,True,A référencer
HAL,Lin Qi,2025.0,Transient social–ecological dynamics reveal signals of decoupling in a highly disturbed Anthropocene landscape,True,A référencer
HAL,Bajard Manon,2025.0,Pastoralism increased vulnerability of a subalpine catchment to flood hazard through changing soil properties,True,A référencer
HAL,Bajard Manon,2025.0,Pastoralism increased vulnerability of a subalpine catchment to flood hazard through changing soil properties,True,A référencer
HAL,Le Roux Gaël.,2025.0,Sphagnum peatlands of Reunion Island: potential and limitations as environmental archives for the Quaternary of the Indian Ocean.,True,A référencer
HAL,Arnaud Fabien,2025.0,Carottage Continental France : appel à proposition d'opération,True,A référencer
HAL,Revel Marie,2025.0,Le lac Abhé en République Djiboutienne : comparaison de la prospection sismique à haute résolution et d'une séquence sédimentaire sur les derniers 6500 ans,True,A référencer
HAL,Revel Marie,2025.0,Retour d’expérience de la mission de carottage et de sismique au sein du lac Abhé en République Djiboutienne en 2023,True,A référencer
HAL,Chapron Emmanuel,2024.0,"Bilan des opérations de cartographies géophysiques et de carottages dans les lacs de maars du massif central depuis 2008 (Lacs Pavin, Chauvet, Tazenat, Bouchet, St-Front et Issarlès)",True,A référencer
HAL,Arnaud Fabien,2024.0,A tribute to Bruno Wilhelm’s legacy in reading the geological record of lakes,True,A référencer
HAL,Tuestad Talin,2024.0,Late Glacial-Holocene cirque glacier chronology on sub-Antarctic Kerguelen Archipelago (49°S) based on cosmogenic 36Cl exposure dating,True,A référencer
HAL,Montade Vincent,2024.0,Montane rainforest dynamics under changes in climate and human impact during the past millennia in northern Madagascar,True,A référencer
HAL,Rossi Magali,2024.0,"HERMIN – Héritage des exploitations minières : transfert, rémanence et remobilisation du plomb, de l’antimoine et du nickel dans la zone critique",True,A référencer
HAL,Mills Keely,2024.0,Deciphering long-term records of natural variability and human impact as recorded in lake sediments: a palaeolimnological puzzle,True,A référencer
HAL,Le Roy Melaine,2024.0,"Calendar-dated glacier variations in the Western European Alps during the Neoglacial: the Mer de Glace record, Mont Blanc massif",True,A référencer
HAL,Roberts Neil,2024.0,"A tale of two lakes: a multi-proxy comparison of Lateglacial and Holocene environmental change in Cappadocia, Turkey",True,A référencer
HAL,Arnaud Fabien,2024.0,Demande de labellisation d’un Instrument National : Carottage Continental France,True,A référencer
HAL,Fabbri Stefano C,2024.0,Deciphering the sedimentary imprint of tsunamis and storms in the Lesser Antilles (Saint Martin): A 3500-year record in a coastal lagoon,True,A référencer
HAL,Deline Philip,2024.0,"Mapping of morainic complexes and reconstruction of glacier dynamics north-east of Cook Ice Cap, Kerguelen Archipelago (49°S)",True,A référencer
HAL,Braconnot Pascale,2024.0,Livre Blanc - Paléoclimats et Paléoenvironnements,True,A référencer
HAL,Rapuc William,2024.0,"Human and climate impacts on the Critical Zone dynamic over the past 10,000 years in the French Alps",True,A référencer
HAL,Bellet Emeline,2024.0,Reconstruction of air temperatures at Kerguelen based on brGDGT,True,A référencer
HAL,Bonet Richard,2024.0,Indicators of climate: Ecrins National Park participates in long-term monitoring to help determine the effects of climate change,True,A référencer
