Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,James Maxence,2025,"V‐ATPases and amino acid catabolism are strongly disturbed in the roots of autophagy mutants in Arabidopsis, impacting water use efficiency and tricarboxylic acid metabolism",True,A référencer
HAL,Chardon Fabien,2025,Seed composition in Arabidopsis dataset collection,True,A référencer
HAL,Marmagne Anne,2025,Evidence of the specific roles of autophagy in senescent leaves and maturing seeds,True,A référencer
HAL,Marmagne Anne,2025,A tissue-specific rescue strategy reveals the local roles of autophagy in leaves and seeds for resource allocation,True,A référencer
HAL,Chardon Fabien,2024,Characterization of the Functional Allele of the NAM-B1 Gene to Increase the Wheat Grain Protein Concentration,True,A référencer
HAL,Chardon Fabien,2024,RémoBlé : améliorer la remobilisation de l’azote pour augmenter la concentration en protéines du blé,True,A référencer
HAL,Le Gouis Jacques,2024,Caractériser l’effet de l’allèle fonctionnel du gène NAM-B1 pour augmenter la concentration en protéines du grain de blé tendre,True,A référencer
HAL,Hoffmann Beate,2024,Modifying SWEET-mediated sugar transport to improve nitrogen remobilization and use efficiency in Arabidopsis,True,A référencer
HAL,Hirt Heribert,2024,PlantACT! – how to tackle the climate crisis,True,A référencer
HAL,Chardon Fabien,2024,Nitrogen use efficiency and seed filling in response to climate change,True,A référencer
HAL,Masclaux‐daubresse Céline,2024,Autophagy and plant proteases for N remobilization during leaf senescence,True,A référencer
HAL,Masclaux‐daubresse Céline,2024,Multiple omics uncover the roles of autophagy on maintaining the balance of endomembrane compositions in Arabidopsis,True,A référencer
HAL,Masclaux‐daubresse Céline,2024,Response to darkness senescence and low nitrate availability of nitrogen use efficiency in Arabidopsis thaliana,True,A référencer
HAL,Masclaux‐daubresse Céline,2024,HOW PROTEOMIC STUDIES HELP US TO UNDERSTAND ESSENTIAL ROLES OF AUTOPHAGY IN PLANTS,True,A référencer
HAL,Masclaux-Daubresse Celine,2024,Autophagy in N management at the whole plant level.,True,A référencer
HAL,Masclaux-Daubresse Céline,2024,Autophagy and plant proteases for nutrient remobilization during leaf senescence,True,A référencer
HAL,Vilaine Françoise,2024,Recent advances in the long-distance transport of sugars by the phloem and consequences on source-sink relations,True,A référencer
HAL,Ressayre Adrienne,2024,Recovering the complexity in scientific knowledge: towards automatically reconstructing the maize floral transition gene regulatory network,True,A référencer
ORCID,Maxence James,2024.0,Multi-scale phenotyping of senescence-related changes in roots ofRapeseedin response to nitrogen deficiency,A déposer sur HAL,False
