Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Calone Roberta,2025,Assessing the Environmental and Productive Implications of Soil Management Strategies for Sustainable Agriculture: A Combined Process-Based Modelling and Fuzzy Logic-Based Index Approach,True,A référencer
HAL,Calone Roberta,2025,Revealing trade-offs in cropping systems sustainability by piecing together pedo-climatic datasets and agronomic knowledge with fuzzy logic,True,A référencer
HAL,Delandmeter Mathieu,2025,"Estimating CO2 fluxes (GPP, RECO, NEE) of diversified crop rotations from STICS outputs",True,A référencer
HAL,Valentin Célestin,2025,Reducing the use of plant protection products and greenhouse gas emissions in arable farming systems in northern France (System-Eco+),True,A référencer
HAL,Mouny Jean-Christophe,2025,Adapation du modèle AMG pour simuler l'évolution du stock de carbone du sol sous une culture énergétique pérenne : cas du miscanthus,True,A référencer
HAL,Chabrier Patrick,2025,"Development, deployment and execution of simulation workflows to study the impact of climate change on dairy farms",True,A référencer
HAL,Barré Pierre,2024,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Barré Pierre,2024,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Morvan Thierry,2024,Focus sur quelques résultats marquants résultant du suivi expérimental d’EFELE,True,A référencer
HAL,Besnard Alain,2024,Le LIGNOGUIDE : une aide aux choix des cultures biomasse,True,A référencer
HAL,Agbohessou Yélognissè,2024,Modelling CO2 and N2O emissions from a tropical semi-arid parkland cultivated with groundnut and millet,True,A référencer
HAL,Cadoux Stéphane,2024,Choix des cultures énergétiques. Comment concilier productivité et impacts environnementaux ?,True,A référencer
HAL,Mary Bruno,2024,Agriculture de conservation des sols et atténuation du changement climatique,True,A référencer
HAL,Ferchaud Fabien,2024,Gestion des sols et de leur fertilité en agriculture de conservation des sols,True,A référencer
HAL,Vitte Guillaume,2024,Soil structure and root distribution of biomass crops in a deep loamy soil,True,A référencer
HAL,Strullu Loic,2024,Paramétrage et validation d'une nouvelle espèce dans le modèle STICS : le triticale,True,A référencer
HAL,Graux Anne-Isabelle,2024,Evolution under climate change of the resilience of the services provided by the cultivated areas of the Pays de Fougères,True,A référencer
HAL,Ferchaud Fabien,2024,Changes in soil carbon stocks and distribution under perennial and annual bioenergy crops,True,A référencer
HAL,Drochon Simon,2024,Paramétrage de la version de recherche « plantes pérennes » du modèle STICS pour une culture énergétique pérenne : le switchgrass (Panicum virgatum),True,A référencer
HAL,Ferchaud Fabien,2024,Belowground biomass and root distribution of two perennial biomass crops in a deep loamy soil,True,A référencer
HAL,Durand Patrick,2024,Model predictions of streamwater nitrate concentrations under agriculture changes: how good are they?,True,A référencer
HAL,Strullu Loic,2024,Comparing nitrogen fluxes in different cropping systems dedicated to lignocellulosic biomass production,True,A référencer
HAL,Peyrard Céline,2024,Management practices of Miscanthus x giganteus strongly influence soil properties and N2O emissions,True,A référencer
HAL,Peyrard Céline,2024,Combining a field experiment and modelling to understand the effect of management practices on N2O emissions in Miscanthus x giganteus,True,A référencer
HAL,Leroy Julie,2024,Assessment of nitrogen fluxes in miscanthus,True,A référencer
HAL,Vertès Francoise,2024,Grasslands for soil organic matter storage in crop-livestock systems.,True,A référencer
HAL,Ferchaud Fabien,2024,AMG_base,True,A référencer
HAL,Ferchaud Fabien,2024,"Do agricultural practices impact carbon, nitrogen and phosphorus stoichiometry in plants and soils on the long-term?",True,A référencer
HAL,Clivot Hugues,2024,Modélisation de l'évolution des stocks de carbone organique dans les sols : travaux et perspectives de recherche autour du modèle AMG,True,A référencer
HAL,Mary Bruno,2024,Chapter 12. Carbon and nitrogen transformations in soil and balances,True,A référencer
HAL,Mary Bruno,2024,Chapter 6. Nitrogen acquisition by plants,True,A référencer
ORCID,Yélognissè Agbohessou,2025.0,Modelling CO2 and N2O emissions from a tropical semi-arid parkland cultivated with groundnut and millet,A déposer sur HAL,False
ORCID,"Chaves, B.",2024.0,Modelling decomposition of crop residue mulches and the associated N<sub>2</sub>O emissions in a no-till system in southern Brazil,A déposer sur HAL,False
