Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Abadie Camille,2025.0,Evidence for Vegetation Acclimation to Atmospheric Dryness During European Droughts From a Land Surface Model,True,A référencer
HAL,Xiao Chenwei,2025.0,Deforestation Increases Vegetation Vulnerability to Drought Across Biomes,True,A référencer
HAL,Ardaneh Kazem,2025.0,"Fast, and Accurate Radiative Transfer for Land Surface Models",True,A référencer
HAL,Ayrault Sophie,2025.0,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Rivas Henry,2024.0,Country-scale crop-specific phenology from disaggregated PROBA-V,True,A référencer
HAL,Becker Melanie,2024.0,Prospective Surfaces Continentales,True,A référencer
HAL,Becker Melanie,2024.0,Rapport du groupe thématique « surfaces continentales » du Tosca pour le séminaire de prospective scientifique du CNES,True,A référencer
HAL,Liu Liyang,2024.0,Solar Radiation Triggers the Bimodal Leaf Phenology of Central African Evergreen Broadleaved Forests,True,A référencer
HAL,Su Yongxian,2024.0,Observed strong atmospheric water constraints on forest photosynthesis using eddy covariance and satellite-based data across the Northern Hemisphere,True,A référencer
HAL,Porcar-Castell Albert,2024.0,Beyond APAR and NPQ: Factors Coupling and Decoupling SIF and GPP Across Scales,True,A référencer
ORCID,Rubaya Pervin,2025.0,"Importance of plant functional type, dynamic vegetation, and fire interactions for process-based modeling of gross carbon uptake across the drylands of western North America",A déposer sur HAL,False
ORCID,Rubaya Pervin,2025.0,"Supplementary material to ""Importance of plant functional type, dynamic vegetation, and fire interactions for process-based modeling of gross carbon uptake across the drylands of western North America""",A déposer sur HAL,False
ORCID,Antoine Berchet,2025.0,Improved understanding of anthropogenic and biogenic carbonyl sulfide (COS) fluxes in western Europe from long-term continuous mixing ratio measurements,A déposer sur HAL,False
ORCID,Camille Abadie,2025.0,Revisiting vegetation carbon and water flux representation during drought events in the ORCHIDEE land surface model,A déposer sur HAL,False
ORCID,Henry Rivas,2024.0,Country-Scale Crop-Specific Phenology from Disaggregated PROBA-V,A déposer sur HAL,False
ORCID,Chenwei Xiao,2024.0,Deforestation increases vegetation vulnerability to drought across biomes,A déposer sur HAL,False
ORCID,Nicolas Viovy,2024.0,Heat stress: an underestimated impact of climate change on vegetation,A déposer sur HAL,False
ORCID,Antoine Berchet,2024.0,Can we gain knowledge on COS anthropogenic and biogenic emissions from a single atmospheric mixing ratios measurement site?,A déposer sur HAL,False
ORCID,Sylvie Charbit,2024.0,Modelling snowpack on ice surfaces with the ORCHIDEE land surface model: Application to the Greenland ice sheet,A déposer sur HAL,False
