Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Le Bodo Yann,2025.0,Révision de la taxation des boissons sucrées en France : quelles intentions pour quels effets ?,True,A référencer
HAL,Bénard Marc,2024.0,Association entre l’impulsivité et le surpoids dans la cohorte NutriNet-Santé,True,A référencer
HAL,Bénard Marc,2024.0,Association entre l’impulsivité et le statut pondéral en population général,True,A référencer
HAL,Bénard Marc,2024.0,Association between impulsivity and weight status in a general population,True,A référencer
HAL,Bénard Marc,2024.0,Association entre l’impulsivité et le surpoids dans la cohorte NutriNet-Santé,True,A référencer
HAL,Bénard Marc,2024.0,"Association entre l’impulsivité, la consommation alimentaire, le grignotage, et les troubles du comportement alimentaire en population générale",True,A référencer
HAL,Bénard Marc,2024.0,Association between impulsivity and weight status in a general population.,True,A référencer
HAL,Bénard Marc,2024.0,"Association between consideration of future consequences, food choice motives, and food intake in a general population",True,A référencer
HAL,Bénard Marc,2024.0,"Impulsivity is associated with food intake, snacking, and eating disorders in a general population",True,A référencer
HAL,Bénard Marc,2024.0,The association between consideration of future consequences and food intake is mediated by food choice motives in a French adult population,True,A référencer
