Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Marin Valentin,2025,Relative Effects of Eutrophication and Warming on Freshwater Ecosystems Across Ecological Levels,True,A référencer
HAL,Silverthorn Teresa,2025,Small Water Impoundments Have Local and Longitudinal Impacts on Carbon Cycling Along a River Network,True,A référencer
HAL,Lamouroux Nicolas,2025,A synopsis of the RhônEco programme: a long-term observatory of the Rhône River ecological restoration.,True,A référencer
HAL,Mari Emma,2025,"Greenhouse gas dynamics in fishponds: management versus environmental controls in a complex aqua-agriculture system, France",True,A référencer
HAL,Nobre Regina Lucia Guimarães,2025,Diatom assemblages colonizing floating photovoltaic floaters are distinct from those in benthic and pelagic compartments of gravel pit lakes,True,A référencer
HAL,Nobre Regina Lucia Guimarães,2025,Diatom assemblages colonizing floating photovoltaic floaters are distinct from those in benthic and pelagic compartments of gravel pit lakes,True,A référencer
HAL,Vouhe Paul,2025,Potential impacts of floating photovoltaics on carbon fluxes across aquatic-terrestrial boundaries,True,A référencer
HAL,Nobre Regina L.G.,2025,Floating photovoltaics strongly reduce water temperature: A whole-lake experiment,True,A référencer
HAL,Douce Pauline,2025,Mise en évidence d’une dynamique éco-évolutive au sein des mares des Iles Kerguelen (Subantarctique) à partir d’une expérimentation en mésocosmes sur des communautés de macrophytes,True,A référencer
HAL,Douce Pauline,2025,Functional response of the macrophyte species L. australis R.Br. to combined biotic interactions and thermal stress. Consequences for aquatic ecosystem productivity and nutrient cycles,True,A référencer
HAL,Tocaben Mathieu,2025,RhônEco : A long term ecological observatory for monitoring the restoration of the Rhône river in a global change context,True,A référencer
HAL,Frainer André,2025,Plant Litter Decomposition as a Tool for Stream Ecosystem Assessment,True,A référencer
HAL,Costello David,2025,Global Patterns and Controls of Nutrient Immobilization on Decomposing Cellulose in Riverine Ecosystems,True,A référencer
HAL,Cousin Basile,2024,Quelles évolutions des pratiques scientifiques dans le suivi de la restauration écologique du Rhône,True,A référencer
HAL,Cousin Basile,2024,De l'étude écologique des processus écosystémiques à l'analyse de leur émergence dans les arènes des scientifiques et des gestionnaires,True,A référencer
HAL,Cousin Basile,2024,Greenhouse gases fluxes from floodplain channels are governed by their hydrological connectivity: the case of the Rhône River,True,A référencer
HAL,Dambrine Étienne,2024,"Réduction des oxydes de fer, déstockage du carbone des sols noyés, et émission de méthane par un réservoir tropical",True,A référencer
HAL,Tiegs Scott,2024,Human activities shape global patterns of decomposition rates in rivers,True,A référencer
