Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Maguet Enora,2025,Modélisation quantitative et spatialisation des données archéobotaniques en forêt de Paimpont : présentation des résultats,True,A référencer
HAL,Pearce Elena A,2025,Beyond the closed-forest paradigm: Cross-scale vegetation structure in temperate Europe before the late-Quaternary megafauna extinctions,True,A référencer
HAL,Pearce Elena A,2025,Drivers of Vegetation Structure Differ Between Proposed Natural Reference Conditions for Temperate Europe,True,A référencer
HAL,Mazier Florence,2025,"La peste noire, une pandémie moins mortelle que ce qui a été communément établi",True,A référencer
HAL,Mazier Florence,2025,Quand les palynologues prêtent main forte aux historiens,True,A référencer
HAL,Julien Andréa,2025,Performance of the REVEALS model to reconstruct present mountain vegetation cover in the North-Western Alps: A model evaluation for past land cover reconstruction,True,A référencer
HAL,Gaillard Marie-José,2024,Olands vegetationhistoria och florautveckling de senaste 12 500 aren,True,A référencer
HAL,Röhm Caterina,2024,Holocene REVEALS-based diversity changes across Europe,True,A référencer
HAL,Zapolska Anhelina,2024,What can climate-forced vegetation modelling and pollen-based reconstructions tell us about anthropogenic impact on European vegetation of the Holocene ?,True,A référencer
HAL,Masi A.,2024,Big data palaeoecology : a new approach in palynology to reconstruct historical key events such as the Black Death across Europe,True,A référencer
HAL,Serge Maria Antonia,2024,Pollen-based land-cover change in Europe over the Holocene : exploring the resilience of vegetation communities and species dynamics through time,True,A référencer
HAL,Mazier Florence,2024,Exploring past environments and energy regimes,True,A référencer
HAL,Mazier Florence,2024,Creating maps of past land cover based on pollen-vegetation modelling,True,A référencer
HAL,Serge Maria Antonia,2024,Pollen-based quantitative reconstructions of past natural anthropogenic landscape openess over the Holocene,True,A référencer
HAL,Mazier Florence,2024,"PEPES PAYSAGE 2016 POPEYE. Du pollen aux paléopaysages montagnards, vers un développement méthodologique",True,A référencer
HAL,Githumbi E.,2024,Quantitative Land-cover change in west African over the Holocene : Case Study Cameroon,True,A référencer
HAL,Serge Maria Antonia,2024,Pollen-based quantitative reconstructions of past natural and anthropogenic landscape openess over the Holocene,True,A référencer
HAL,Mazier Florence,2024,ERV modelling workshop Theory,True,A référencer
HAL,Mazier Florence,2024,REVEALS modelling workshop Theory,True,A référencer
HAL,Mazure Théo,2024,Quantifying the impacts of landscape opening on alpine soil erosion dynamics during the Holocene,True,A référencer
HAL,Mazier Florence,2024,Impact of past land-cover on the dynamics of ecosystem services and plant diveristy over the past 200 years,True,A référencer
HAL,Maguet Enora,2024,Modélisation quantitative et spatialisation des données archéobotaniques en forêt de Paimpont : présentation des résultats,True,A référencer
HAL,Maguet Enora,2024,"Modélisation des données chronologiques, géomorphologiques et palynologiques du site de la Haute-Ile (Neuilly sur Marne) : proposition de restitution d’un paysage du Mésolithique récent/final",True,A référencer
HAL,Mazier Florence,2024,RESALPYR : Réseau de surveillance des lacs d’altitude pyrénéens,True,A référencer
HAL,Mazier Florence,2024,RESALPYR : Réseau de surveillance des lacs d’altitude pyrénéens,True,A référencer
HAL,Ergin Esra,2024,Relative Pollen Productivity Estimates for Mediterranean Plant Taxa: A New Study Region in Turkey,True,A référencer
HAL,Julien Andréa,2024,Evaluation of the Landscape Reconstruction Algorithm in the Northern French Alps: a methodological approach with modern analogues,True,A référencer
HAL,Bisson Ugo,2024,Pollen productivity estimates for past land-cover reconstruction in mountains regions,True,A référencer
HAL,Rohm Caterina,2024,Changes in plant diversity and vegetation structure based on REVEALS reconstructed vegetation in Europe during the Holocene,True,A référencer
HAL,Zapolska Anhelina,2024,What can climate-forced vegetation modelling and pollen-based reconstructions tell us about anthropogenic impact on European vegetation of the Holocene ?,True,A référencer
HAL,Nikulina Anastasia,2024,Hunter-gatherer impact on European interglacial vegetation: A modelling approach,True,A référencer
ORCID,Elena A. Pearce,2024.0,Higher abundance of disturbance‐favoured trees and shrubs in European temperate woodlands prior to the late‐Quaternary extinction of megafauna,A déposer sur HAL,False
