Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Ouattara Boris,2025,"Small fires, big gap: high-resolution VIIRS data reveal widespread underestimation of emissions in sub-Saharan Africa",True,A référencer
HAL,Ouattara Boris,2025,"Fire Impacts, vegetation recovery, and environmental drivers in West African savannas (2014-2023): a high-resolution remote sensing assessment",True,A référencer
HAL,Guo Zhixuan,2025,Reconstructed global monthly burned area maps from 1901 to 2020,True,A référencer
HAL,Moreno M. Vanesa,2025,Global intercomparison of functional pyrodiversity from two satellite sensors,True,A référencer
HAL,Genet Marion,2025,Persistence of a wind-driven fire regime in Mediterranean France over the past 8200 years revealed by a marine paleoecological record,True,A référencer
HAL,Nogueira Pereira Messias Joana,2025,Can we go beyond burned area assessment with fire patch metrics from global remote rensing?,True,A référencer
HAL,Ruffault Julien,2025,"Contribution of human, climate and biophysical drivers to the spatial distribution of wildfires in a French Mediterranean area: where do wildfires start and spread?",True,A référencer
HAL,Ruffault Julien,2025,Modeling canopy fuel moisture content (CFMC) with the plant-hydraulic model SurEau-Ecos,True,A référencer
HAL,García Mariano,2025,Characterizing Global Fire Regimes from Satellite-Derived Products,True,A référencer
HAL,Yebra Marta,2025,"Globe-LFMC, a global plant water status database for vegetation ecophysiology and wildfire applications",True,A référencer
HAL,Chuvieco Emilio,2025,Historical background and current developments for mapping burned area from satellite Earth observation,True,A référencer
HAL,Oliveras Menor Imma,2025,Integrated fire management as an adaptation and mitigation strategy to altered fire regimes,True,A référencer
HAL,Ouattara Boris,2025,Enhancing burned area monitoring with VIIRS dataset: a case study in Sub-Saharan Africa,True,A référencer
HAL,Arrogante-Funes Fátima,2025,Mapping and assessment of ecological vulnerability to wildfires in Europe,True,A référencer
HAL,Gharbi Fatma,2025,"Differential response to water deficit stress and shade in two wheat (Triticum durum Desf.) cultivars: growth, water relations, osmolyte accumulation and photosynthetic pigments",True,A référencer
HAL,Majdalani Georgia,2025,Fire regime analysis in lebanon (2001-2020): combining remote sensing data in a scarcely documented area,True,A référencer
HAL,Kouachi Mostefa E.,2025,Forty-Year Fire History Reconstruction from Landsat Data in Mediterranean Ecosystems of Algeria following International Standards,True,A référencer
HAL,Chuvieco Emilio,2025,"Towards an integrated approach to wildfire risk assessment: when, where, what and how may the landscapes burn",True,A référencer
HAL,Belhadj-Khedher Chiraz,2025,Saharan Hot and Dry Sirocco Winds Drive Extreme Fire Events in Mediterranean Tunisia (North Africa),True,A référencer
HAL,Chiffard Jules,2025,Adaptive niche‐based sampling to improve ability to find rare and elusive species: simulations and field tests,True,A référencer
HAL,Adeline Karine,2025,SENTHYMED/MEDOAK multi-scale experiment to validate Sentinel-2 and imaging spectroscopy vegetation products over French Mediterranean oak forests,True,A référencer
HAL,Adeline Karine,2025,Projet SentHyMED : bases de données multi-échelles et simulation de paysages de chênaies méditerranéennes par modélisation directe du transfert radiatif pour des images multi- et hysperspectrales,True,A référencer
HAL,Staudt Michael,2025,Do volatile organic compound emissions of Tunisian cork oak populations originating from contrasting climatic conditions differ in their responses to summer drought ?,True,A référencer
HAL,Bowring Simon P K,2024,"Road fragment edges enhance wildfire incidence and intensity, while suppressing global burned area",True,A référencer
HAL,van der Meersch Victor,2024,Biological mechanisms are necessary to improve projections of species range shifts,True,A référencer
HAL,Yebra Marta,2024,"Globe-LFMC 2.0, an enhanced and updated dataset for live fuel moisture content research",True,A référencer
HAL,Leblond Nelly,2024,Regional fire patterns in the La Plata Basin: Role of Landscape and Human Practices from global fire datasets,True,A référencer
HAL,Khairoun Amin,2024,Coarse-resolution burned area datasets severely underestimate fire-related forest loss,True,A référencer
ORCID,Boris Ouattara,2025.0,"Small fires, big gap: High-resolution VIIRS data reveal widespread underestimation of emissions in sub-Saharan Africa",A déposer sur HAL,False
ORCID,Boris Ouattara,2025.0,"Fire Impacts, vegetation Recovery, and environmental drivers in West African savannas (2014–2023): A High-Resolution remote sensing assessment",A déposer sur HAL,False
ORCID,Rodrigo San Martin,2025.0,"What controls fire size in the South American Gran Chaco? Exploring atmospheric, landscape, and anthropogenic drivers",A déposer sur HAL,False
ORCID,Georgie Elias,2025.0,Multiple asynchronous drought facets drive Mediterranean natural and cultivated ecosystems,A déposer sur HAL,False
ORCID,Boris Ouattara,2024.0,Enhancing burned area monitoring with VIIRS dataset: A case study in Sub-Saharan Africa,A déposer sur HAL,False
ORCID,Fatma Rezgui,2024.0,Assessment of <i>Pinus halepensis</i> Forests’ Vulnerability Using the Temporal Dynamics of Carbon Stocks and Fire Traits in Tunisia,A déposer sur HAL,False
