Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Vernet Pierre-Antoine,2025.0,Investing in a no-till planter in Cambodia: A promising opportunity for certain categories ofservice providers,True,A référencer
HAL,Leng Vira,2025.0,Diachronic assessment of soil organic C and N dynamics under long-term no-till systems in the tropical upland of Cambodia,True,A référencer
HAL,de Oliveira Ferreira Ademir,2025.0,Can no-till restore soil organic carbon to levels under natural vegetation in a subtropical and tropical Typic Quartzipisamment?,True,A référencer
HAL,Leng Vira,2025.0,Soil organic carbon and nitrogen dynamics under long-term conservation agriculture systems in Cambodia,True,A référencer
HAL,Niino Yuji,2025.0,Conservation agriculture in Southeast Asia,True,A référencer
HAL,de Moraes Sa Joao Carlos,2025.0,Carbon management practices and benefits in Conservation Agriculture systems: soil organic carbon fraction losses and restoration,True,A référencer
HAL,de Moraes Sa Joao Carlos,2025.0,Carbon management practices and benefits in Conservation Agriculture systems: carbon sequestration rates,True,A référencer
HAL,Boulakia Stéphane,2025.0,Nutrient management practices and benefits in Conservation Agriculture systems,True,A référencer
HAL,Beesa Natthidech,2025.0,Species characterization and population dynamics of Hirschmanniella mucronata in lowland rice fields managed under conservation agriculture in Cambodia,True,A référencer
HAL,Boulakia Stéphane,2025.0,42. Conservation agriculture,True,A référencer
HAL,Sarthou Jean-Pierre,2025.0,Approche système de la mise en œuvre des piliers de l’agriculture de conservation des sols,True,A référencer
HAL,Thoumazeau Alexis,2025.0,Biofunctool®: a new set of indicators to assess the impact of land management onsoil functioning,True,A référencer
HAL,Sarthou Jean-Pierre,2024.0,Approche système de la mise en oeuvre des piliers de l’agriculture de conservation des sols,True,A référencer
HAL,Vernet Pierre-Antoine,2024.0,Investing in a no-till planter in Cambodia: A promising opportunity for certain categories of service providers,True,A référencer
HAL,Suong Malyna,2024.0,"Impact of a conservation agriculture system on soil characteristics, rice yield, and root-parasitic nematodes in a Cambodian lowland rice field",True,A référencer
HAL,Deguine Jean-Philippe,2025.0,Agroecological crop protection for sustainable agriculture,True,A référencer
ORCID,João Carlos de Moraes Sá,2024.0,Relationship of Microbial and Fertility Attributes to Organic Carbon Accumulation in a Subtropical Weathered Soil Impacted by a Long-Term Tillage Chronosequence,A déposer sur HAL,False
ORCID,Federico Gomez,2024.0,A dataset for soil organic carbon in agricultural systems for the Southeast Asia region,A déposer sur HAL,False
