Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Sanjuan Federico,2025,Visualizing organic matter content in organic-rich shales through Terahertz imaging,True,A référencer
HAL,Ouvrard Stéphanie,2025,Assessment of C storage of a Technosol under short rotation coppice management,True,A référencer
HAL,Deconinck Jean-François,2025,"Diagenetic and environmental control of the clay mineralogy, organic matter and stable isotopes (C, O) of Jurassic (Pliensbachian-lowermost Toarcian) sediments of the Rodiles section (Asturian Basin, Northern Spain).",True,A référencer
HAL,Riboulleau Armelle,2025,Identifying controls on organic matter enrichments in hemipelagic settings: a biomarker approach,True,A référencer
HAL,Ricard Clémentine,2025,Influence of mineral and organic matrices on the thermal characterization of microplastics,True,A référencer
HAL,Heinonsalo J,2025,"Effects of biochar, ligneous soil amendments, and a microbial stimulant on soil biological activity, and carbon content and stability after two-years of their application in a boreal cropland",True,A référencer
HAL,Munier Thomas,2025,"Climatic and weathering conditions in southern high latitudes during the Turonian-Santonian interval: New insights from IODP Site U1512 (Bight Basin, Southern Australia)",True,A référencer
HAL,Mathian Maximilien,2025,Le futur des mangroves des îles carbonatées sans apport détritique : étude de la diagenèse précoce de sédiments des mangroves d'Ouvéa (Nouvelle-Calédonie),True,A référencer
HAL,Khedim Norine,2025,Topsoil organic matter build‐up in glacier forelands around the world,True,A référencer
HAL,Reboulet Stéphane,2025,Ammonoid and nannoplankton abundance in Valanginian (early Cretaceous) limestone–marl successions from the southeast France Basin: carbonate dilution or productivity?,True,A référencer
HAL,Giraud Fabienne,2025,"Minor changes in surface-water fertility across the oceanic anoxic event 1d (latest Albian, SE France) evidenced by calcareous nannofossils",True,A référencer
HAL,Kpemoua Tchodjowiè Panaewazou Israël,2024,Le carbone organique additionnel stocké grâce à des pratiques agroécologiques est-il stable à l'échelle de la décennie ?,True,A référencer
HAL,Marchal Lise,2024,Polycyclic aromatic hydrocarbon dynamics in soils along proglacial chronosequences in the Alps,True,A référencer
HAL,Barré Pierre,2024,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Barré Pierre,2024,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Chenu Claire,2024,"Storing additional carbon in soil: different practices, different stabilities of the organic matter?",True,A référencer
HAL,Lebrun Thauront Johanne,2024,Prediction of soil pyrogenic carbon contents from Rock-Eval® thermal analysis: a machine-learning based model,True,A référencer
