Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Richard-Molard Céline,2025,"Présentation du projet SILICOL : Simuler l'association Colza-Féverole pour définir un idéotype de colza apte à l'association, vigoureux et productif en conduite agroécologique",True,A référencer
HAL,Richard-Molard Céline,2025,"Avancement du projet SILICOL : Définir un idéotype de colza apte à l'association, vigoureux et productif en conduite agroécologique par des approches de modélisation",True,A référencer
HAL,Richard-Molard Céline,2025,"Etat d'avancement du projet SILICOL : Définir un idéotype de colza apte à l'association, vigoureux et productif en conduite agroécologique par des approches de modélisation",True,A référencer
HAL,Gérault Tristan,2025,Modelling C and N root-soil exchanges with 3D root and shoot growth based on plant ecophysiology: the Wheat-BRIDGES approach,True,A référencer
HAL,Rees Frédéric,2025,Quantifying C and N root-soil exchanges within a mixture of winter oilseed rape and faba bean,True,A référencer
HAL,Attard Agnès,2025,RhizosPHARE: An interdisciplinary network dedicated to the understanding of the rhizodeposits-mediated communication between roots and soil organisms,True,A référencer
HAL,Gérault Tristan,2025,How are local soil availability signals integrated through uptake and rhizodeposition for plastic root growth? The new Wheat-BRIDGES model approach,True,A référencer
HAL,Uwase Imeda,2025,Fuelling the underground: A matter of perspectives,True,A référencer
HAL,Gérault Tristan,2025,Modelling carbon and nitrogen exchanges at the soil-root interface: from local exchanges to whole-plant architecture growth,True,A référencer
HAL,Rees Frédéric,2025,Vers une modélisation mécaniste des interactions trophiques entre racines et microorganismes du sol,True,A référencer
HAL,Rees Frédéric,2025,Modelling plant growth and rhizodeposition based on the distribution of sugars within the plant,True,A référencer
HAL,Rees Frédéric,2025,RhizoDep: Modelling the contribution of roots to soil carbon dynamics using a 3D Functional-Structural Plant Model,True,A référencer
HAL,Rees Frédéric,2025,Modéliser la rhizodéposition pour mieux comprendre le cycle du carbone dans les systèmes sol-plante,True,A référencer
HAL,Detrey Jeremy,2025,Do mixed-species agricultural systems increase root C stock and C sequestration in subsoil? New data from across Europe,True,A référencer
HAL,Gérault Tristan,2025,"How can local sugar concentrations in roots regulate the exchanges of C & N between shoots, roots and soil ?",True,A référencer
HAL,Voyard Auriane,2024,Crop roots - a hidden source of methanol,True,A référencer
HAL,Voyard Auriane,2024,Are crops significant sources of Volatile Organic Compounds? A bi-compartmented chamber setup for investigating VOC emissions from aboveground and belowground,True,A référencer
HAL,Portell Xavier,2024,Editorial : Celebrating the work of Early Career Researchers in Soil Science,True,A référencer
